"LANDING_YEAR","MANAGEMENT_GROUP_CODE","COMPLEX1_CODE","COMPLEX2_CODE","PACFIN_SPECIES_CODE","COMMON_NAME","NPS_WEIGHT_MTONS","NPS_REVENUE","NPS_CF","SPS_WEIGHT_MTONS","SPS_REVENUE","SPS_CF","CWA_WEIGHT_MTONS","CWA_REVENUE","CWA_CF","CLW_WEIGHT_MTONS","CLW_REVENUE","CLW_CF","WA5_WEIGHT_MTONS","WA5_REVENUE","WA5_CF","CLO_WEIGHT_MTONS","CLO_REVENUE","CLO_CF","TLA_WEIGHT_MTONS","TLA_REVENUE","TLA_CF","NPA_WEIGHT_MTONS","NPA_REVENUE","NPA_CF","CBA_WEIGHT_MTONS","CBA_REVENUE","CBA_CF","BRA_WEIGHT_MTONS","BRA_REVENUE","BRA_CF","OR1_WEIGHT_MTONS","OR1_REVENUE","OR1_CF","OR4_WEIGHT_MTONS","OR4_REVENUE","OR4_CF","CCA_WEIGHT_MTONS","CCA_REVENUE","CCA_CF","ERA_WEIGHT_MTONS","ERA_REVENUE","ERA_CF","BGA_WEIGHT_MTONS","BGA_REVENUE","BGA_CF","BDA_WEIGHT_MTONS","BDA_REVENUE","BDA_CF","SFA_WEIGHT_MTONS","SFA_REVENUE","SFA_CF","MNA_WEIGHT_MTONS","MNA_REVENUE","MNA_CF","MRA_WEIGHT_MTONS","MRA_REVENUE","MRA_CF","SBA_WEIGHT_MTONS","SBA_REVENUE","SBA_CF","LAA_WEIGHT_MTONS","LAA_REVENUE","LAA_CF","SDA_WEIGHT_MTONS","SDA_REVENUE","SDA_CF","CA2_WEIGHT_MTONS","CA2_REVENUE","CA2_CF","ASP_WEIGHT_MTONS","ASP_REVENUE","ASP_CF","TOTAL_WEIGHT_MTONS","TOTAL_REVENUE","TOTAL_CF"
"1981","GRND","FLAT","....","BSOL","BUTTER SOLE",,,"*",0,0,"",,,"*",,,"*",0,0,"",,,"*",0,0,"",,,"*",,,"*",4.61,2193,"",0,0,"",0,0,"",7.85,3192,"",,,"*",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"*",,,"*",0,0,"",0,0,"",0,0,"",12.46,5385,"*"
"1981","GRND","FLAT","....","CSOL","CURLFIN SOLE",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",,,"*",,,"*",,,"*",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"*"
"1981","GRND","FLAT","....","DOVR","DOVER SOLE",1070.07,483459,"",97.1,43617,"",392.33,183284,"",330.44,150872,"",0,0,"",1416.12,676187,"",6.41,2815,"",1235.38,580063,"",2068.27,1025616,"",557.59,278846,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",7173.71,3424760,""
"1981","GRND","FLAT","....","DVR1","NOM. DOVER SOLE",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",1402.46,662027,"",4315.88,2102968,"",1623.97,815375,"",241.92,121063,"",1093.21,520673,"",507.47,245990,"",60.62,26507,"",,,"",0,0,"",0,0,"",0,0,"",0,0,"",9245.52,4494602,"*"
"1981","GRND","FLAT","....","EGL1","NOM. ENGLISH SOLE",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",233.6,159718,"",339.73,227777,"",147.72,99974,"",98.14,67556,"",466.15,320739,"",186.5,111838,"",89.75,60039,"",113.31,77076,"",,,"*",0,0,"",0,0,"",0,0,"",1674.91,1124717,"*"
"1981","GRND","FLAT","....","EGLS","ENGLISH SOLE",153.34,85188,"",23.48,13198,"",47.58,29909,"",49.28,30098,"",0,0,"",362.78,230440,"",,,"*",201.73,125619,"",72.14,48618,"",86.3,57760,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",996.64,620830,"*"
"1981","GRND","FLAT","....","FNTS","FANTAIL SOLE",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",.13,135,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",.13,135,""
"1981","GRND","FLAT","....","FSOL","FLATHEAD SOLE",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",4.98,3070,"",,,"*",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",4.98,3070,"*"
"1981","GRND","FLAT","....","OFLT","OTHER FLATFISH",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",,,"*",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"*"
"1981","GRND","FLAT","....","PTR1","NOM. PETRALE SOLE",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",67.18,80178,"",181.23,202611,"",83.11,93785,"",17.76,20843,"",201.99,225753,"",100.98,107207,"",104.65,116899,"",23.09,26423,"",,,"*",0,0,"",0,0,"",0,0,"",780.01,873699,"*"
"1981","GRND","FLAT","....","PTRL","PETRALE SOLE",139.04,135371,"",27.3,29236,"",138.33,156911,"",46.64,54196,"",0,0,"",308.35,360147,"",.59,640,"",309.16,360629,"",205.02,235179,"",57.48,66567,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",1231.91,1398876,""
"1981","GRND","FLAT","....","REX","REX SOLE",5.21,2322,"",,,"*",46.25,27320,"",84.72,52166,"",0,0,"",409.51,264390,"",1.06,631,"",67.95,43317,"",72.59,52999,"",54.19,40217,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",.15,188,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",741.63,483549,"*"
"1981","GRND","FLAT","....","REX1","NOM. REX SOLE",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",135.33,99242,"",336.11,247557,"",72.06,54471,"",21.88,16582,"",109.85,83957,"",24.56,18172,"",64.26,47573,"",1.12,860,"",0,0,"",,,"*",0,0,"",0,0,"",765.18,568414,"*"
"1981","GRND","FLAT","....","RSL1","NOM. ROCK SOLE",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",,,"*",0,0,"",,,"*",3.29,2597,"",0,0,"",.17,73,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",3.46,2670,"*"
"1981","GRND","FLAT","....","RSOL","ROCK SOLE",.84,556,"",.6,366,"",4.02,2149,"",,,"*",0,0,"",.34,170,"",,,"*",5.88,4631,"",,,"*",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",11.68,7872,"*"
"1981","GRND","FLAT","....","SFL1","NOM. STARRY FLOUNDER",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",,,"*",,,"*",,,"*",,,"",,,"*",0,0,"",0,0,"",0,0,"",0,0,"*"
"1981","GRND","FLAT","....","SSO1","NOM. SAND SOLE",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",38.87,39038,"",12.54,12927,"",1.14,1116,"",4.28,4277,"",133.07,133788,"",2.15,1359,"",3.8,3134,"",,,"",0,0,"",,,"*",0,0,"",0,0,"",195.84,195639,"*"
"1981","GRND","FLAT","....","SSOL","SAND SOLE",6.69,5234,"",,,"*",41.58,41676,"",16.3,16280,"",0,0,"",203.17,207345,"",,,"*",41.69,42237,"",65.32,67212,"",21.64,21731,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",396.39,401715,"*"
"1981","GRND","FLAT","....","STRY","STARRY FLOUNDER",68.13,23949,"",15.03,5948,"",36.1,16531,"",50.84,24649,"",0,0,"",337.17,163917,"",0,0,"",12.65,6041,"",46.41,26737,"",3.18,1846,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",0,0,"",569.5,269620,""
