year,filename,port_complex,area,category,species,check,January,February,March,April,May,June,July,August,September,October,November,December,Total,Extra
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, group shelf",,0,0,0,0,0,0,7,0,0,0,0,0,7,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, group slope",,774,18,"4,565","1,848",330,230,81,220,24,983,189,"1,101","10,363",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, group small",,0,0,0,0,0,0,0,5,0,0,0,0,5,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, kelp",,10,0,0,0,0,0,0,0,0,0,0,0,10,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, olive",,34,5,0,0,168,302,47,35,94,93,8,0,786,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, quillback",,0,0,0,0,0,4,0,10,74,0,0,2,90,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, redbanded",,0,0,0,0,0,0,0,0,0,0,0,0,0,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, rosy",,22,5,0,0,39,27,4,19,42,32,9,2,201,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, splitnose",,950,"1,136","1,261","1,715",155,"4,369",802,"1,884","2,121","5,934","2,171",613,"23,111",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, starry",,0,0,0,0,0,12,8,6,14,0,5,0,45,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, treefish",,6,0,0,0,0,0,0,0,0,0,0,0,6,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, unspecified",,84,45,0,0,0,0,0,13,0,0,0,0,142,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, vermilion",,87,46,0,0,18,159,156,204,155,89,41,28,983,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, widow",,0,472,0,0,0,102,62,604,23,0,5,0,"1,268",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, yellowtail",,147,71,0,0,62,165,341,15,42,41,2,162,"1,047",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,Sablefish,,"14,542","13,760","4,827","20,199","41,206","37,632","42,407","44,658","41,727","19,647","18,654","10,066","309,323",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Sanddab, Pacific",,0,0,0,0,588,877,0,28,101,0,0,0,"1,594",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,Sanddab,,"1,092",432,"7,880","2,890","14,137","20,046","40,062","30,043","19,363","8,698",706,0,"145,349",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Sardine, Pacific",,1,0,0,0,0,0,"787,513",134,"1,110,514",37,0,0,"1,898,198",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Sculpin, staghorn",,150,192,195,195,157,145,144,10,461,716,"1,240",366,"3,971",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Seabass, white",,0,0,0,0,115,197,437,167,638,10,0,71,"1,635",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Seaperch, striped",,119,215,158,185,0,0,0,0,0,30,62,92,861,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Shark, leopard",,864,15,58,142,141,0,0,15,305,125,38,40,"1,743",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Shark, pelagic thresher",,0,0,0,0,0,0,0,36,0,0,0,0,36,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Shark, shortfin mako",,0,0,0,0,0,0,0,0,0,0,32,0,32,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Shark, soupfin",,66,191,33,0,0,0,14,0,40,96,271,85,796,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Shark, spiny dogfish",,0,0,0,0,886,0,0,0,0,0,0,0,886,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Shark, thresher",,0,0,0,0,0,0,80,0,53,0,0,0,133,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Shark, unspecified",,548,0,0,0,90,0,332,107,194,183,98,244,"1,796",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Skate, big",,0,0,0,571,236,50,976,386,187,0,0,0,"2,406",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,Fishes,,,,,,,,,,,,,,,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Skate, longnose",,0,119,264,707,907,"1,795",746,817,319,142,0,0,"5,816",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Skate, unspecified",,"1,855","1,318","1,461",934,605,0,194,0,0,0,13,0,"6,380",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Smelt, night",,0,0,0,0,0,0,411,0,0,0,0,0,411,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Sole, Dover",,"9,314","29,867","18,963","43,774","40,087","68,234","50,112","93,461","70,429","45,566","63,873","17,029","550,709",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Sole, English",,"2,958","3,260","6,226","2,429","4,196","3,377","2,916","2,538","3,312","3,991","1,307",347,"36,857",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Sole, petrale",,"40,683","32,801","15,129","9,069","25,275","30,634","25,089","8,346","4,862","4,878","3,428","3,156","203,350",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Sole, rex",,"1,609",967,387,165,938,"1,752","1,350","2,423","2,269","3,587","2,176","1,002","18,625",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Sole, rock",,271,"1,121","2,469",218,28,1,21,121,23,33,74,50,"4,429",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Sole, sand",,"1,540","1,042","1,385",646,411,528,620,646,382,426,608,"1,261","9,495",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Surfperch, black",,0,0,0,0,0,0,0,0,0,107,40,62,209,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Surfperch, pile",,0,0,0,0,0,0,0,0,0,104,25,30,159,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Surfperch, redtail",,113,129,0,136,0,0,0,136,133,99,0,0,746,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Surfperch, rubberlip",,0,0,0,0,0,0,0,0,0,80,20,55,155,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Surfperch, unspecified",,"1,396",333,220,260,0,0,0,0,0,41,129,0,"2,378",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Surfperch, white",,0,0,0,0,0,0,0,0,0,40,0,0,40,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,Swordfish,,"121,732",0,0,0,0,0,0,0,0,0,0,"38,614","160,346",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Thornyhead, longspine",,393,"5,103","4,854","10,470","9,788","11,383","2,216","25,466","9,242","7,816","9,939","2,963","99,633",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Thornyhead, shortspine",,645,"2,742","1,407","2,185","4,867","5,671","1,729","12,216","6,373","4,195","6,785","2,889","51,703",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Tuna, albacore",,"3,174",0,0,0,0,0,"4,566","14,144","22,714","2,624",0,0,"47,222",
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Tuna, bluefin",,0,0,0,0,0,0,79,0,0,55,0,0,134,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Turbot, curlfin",,0,0,0,15,0,0,0,0,0,0,0,0,15,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Turbot, diamond",,0,6,0,0,0,0,0,0,0,0,0,0,6,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Turbot, hornyhead",,3,0,0,0,0,0,0,0,0,0,0,0,3,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,Turbot,,25,67,33,77,18,2,33,46,4,12,0,22,338,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,"Whitefish, ocean",,10,0,0,0,0,0,0,0,0,0,0,0,10,
2009,landings09_table10.pdf,San Francisco,California Waters,Fishes,Yellowtail,,0,0,0,0,0,0,0,0,13,0,0,0,13,
2009,landings09_table10.pdf,San Francisco,California Waters,Crustaceans,Crustaceans,,,,,,,,,,,,,,,
2009,landings09_table10.pdf,San Francisco,California Waters,Crustaceans,"Crab, Dungeness",,"58,873","16,719","16,152","23,797","25,154","30,750",275,0,0,0,"1,133,069","656,302","1,961,092",
2009,landings09_table10.pdf,San Francisco,California Waters,Crustaceans,"Crab, box",,0,0,0,0,0,99,0,0,405,0,0,0,504,
2009,landings09_table10.pdf,San Francisco,California Waters,Crustaceans,"Crab, rock unspecified",,806,377,604,"1,487",572,421,"1,165","1,474",792,"1,350","15,442",405,"24,893",
2009,landings09_table10.pdf,San Francisco,California Waters,Crustaceans,"Prawn, ridgeback",,0,0,0,0,0,0,340,0,0,0,0,0,340,
2009,landings09_table10.pdf,San Francisco,California Waters,Crustaceans,"Prawn, spot",,0,0,0,0,0,0,0,0,700,"1,252","1,226","1,352","4,530",
2009,landings09_table10.pdf,San Francisco,California Waters,Crustaceans,"Shrimp, bay",,"9,517","5,055","5,109","4,957","6,805","6,145","6,641","3,714","3,954","2,823","7,406","7,401","69,527",
2009,landings09_table10.pdf,San Francisco,California Waters,Crustaceans,"Shrimp, coonstriped",,0,0,0,0,5,18,62,"5,870","7,698","8,216",0,0,"21,868",
2009,landings09_table10.pdf,San Francisco,California Waters,Crustaceans,"Shrimp, ocean (pink)",,0,0,0,0,0,0,23,0,0,0,0,0,23,
2009,landings09_table10.pdf,San Francisco,California Waters,Mollusks,Mollusks,,,,,,,,,,,,,,,
2009,landings09_table10.pdf,San Francisco,California Waters,Mollusks,"Octopus, unspecified",,0,0,0,0,0,0,43,4,30,0,0,28,105,
2009,landings09_table10.pdf,San Francisco,California Waters,Mollusks,"Squid, jumbo",,0,0,0,0,0,0,0,0,0,"5,792","3,628","1,138","10,558",
2009,landings09_table10.pdf,San Francisco,California Waters,Mollusks,"Squid, market",,0,0,0,0,0,0,"158,319","127,593","34,654",0,0,0,"320,566",
2009,landings09_table10.pdf,San Francisco,California Waters,Mollusks,Waters Area Total:,,"1,170,462","303,350","148,924","152,593","204,979","285,403","1,211,622","445,902","1,399,292","159,690","1,307,542","764,396","7,554,154",
2009,landings09_table10.pdf,San Francisco,Other Waters,Mollusks,ther Waters,,,,,,,,,,,,,,,
2009,landings09_table10.pdf,San Francisco,Other Waters,Fishes,Fishes,,,,,,,,,,,,,,,
2009,landings09_table10.pdf,San Francisco,Other Waters,Fishes,"Tuna, albacore",,0,0,0,0,0,0,212,0,0,0,0,0,212,
2009,landings09_table10.pdf,San Francisco,Other Waters,Fishes,Waters Area Total:,,0,0,0,0,0,0,212,0,0,0,0,0,212,
2009,landings09_table10.pdf,San Francisco,Other Waters,Fishes,Grand Total:,,"1,170,462","303,350","148,924","152,593","204,979","285,403","1,211,834","445,902","1,399,292","159,690","1,307,542","764,396","7,554,366",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,Fishes,,,,,,,,,,,,,,,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Anchovy, northern",,"20,010",0,"2,051,004","85,980",0,0,0,0,0,0,0,0,"2,156,994",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Bass, giant sea",,0,0,0,0,0,157,341,0,0,0,0,0,498,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Bass, kelp",,2,0,0,0,9,0,0,0,2,0,0,0,12,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,Cabezon,,613,404,0,0,"1,207",695,483,564,307,615,290,229,"5,406",
