"comm_name_orig","comm_name","sci_name","level","presentation","type","class","order","family","genus"
"Eel, monkeyface (prickleback)","Monkeyface prickleback","Cebidichthys violaceus","species","whole","fish","Actinopterygii","Perciformes","Stichaeidae","Cebidichthys"
"Prickleback, monkeyface (eel)","Monkeyface prickleback","Cebidichthys violaceus","species","whole","fish","Actinopterygii","Perciformes","Stichaeidae","Cebidichthys"
"Sea urchin, Coronado","Coronado sea urchin","Centrostephanus coronatus","species","whole","invert","Echinoidea","Diadematoida","Diadematidae","Centrostephanus"
"Shark, swell","Swell shark","Cephaloscyllium ventriosum","species","whole","fish","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium"
"Shark, basking","Basking shark","Cetorhinus maximus","species","whole","fish","Elasmobranchii","Lamniformes","Cetorhinidae","Cetorhinus"
"Croaker, black","Black croaker","Cheilotrema saturnum","species","whole","fish","Actinopterygii","Perciformes","Sciaenidae","Cheilotrema"
"Eel, spotted cusk-","Spotted cusk-eel","Chilara taylori","species","whole","fish","Actinopterygii","Ophidiiformes","Ophidiidae","Chilara"
"Grenadiers","Grenadiers","Macrouridae spp.","group","whole",NA,NA,NA,NA,NA
"Crab, tanner","Tanner crab","Chionoecetes bairdi","species","whole","invert","Malacostraca","Decapoda","Oregoniidae","Chionoecetes"
"Blacksmith","Blacksmith","Chromis punctipinnis","species","whole","fish","Actinopterygii","Perciformes","Pomacentridae","Chromis"
"Sanddab, Pacific","Pacific sanddab","Citharichthys sordidus","species","whole","fish","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys"
"Sanddab, speckled","Speckled sanddab","Citharichthys stigmaeus","species","whole","fish","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys"
"Sanddab, longfin","Longfin sanddab","Citharichthys xanthostigma","species","whole","fish","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys"
"Hagfishes","Unspecified hagfish","Myxinidae spp.","group","whole",NA,NA,NA,NA,NA
"Anemones","Anemones","Actiniaria spp.","group","whole",NA,NA,NA,NA,NA
"Barnacle","Barnacle","Cirripedia spp.","group","whole",NA,NA,NA,NA,NA
"Herring, Pacific","Pacific herring","Clupea pallasii pallasii","species","whole","fish","Actinopterygii","Clupeiformes","Clupeidae","Clupea"
"Saury, Pacific","Pacific saury","Cololabis saira","species","whole","fish","Actinopterygii","Beloniformes","Scomberesocidae","Cololabis"
"Dolphin (fish)","Common dolphinfish","Coryphaena hippurus","species","whole","fish","Actinopterygii","Perciformes","Coryphaenidae","Coryphaena"
"Shrimp, bay","Bay shrimp","Crangon franciscorum","species","whole","invert","Malacostraca","Decapoda","Crangonidae","Crangon"
"Oyster, giant Pacific","Giant Pacific oyster","Crassostrea gigas","species","whole","invert","Bivalvia","Ostreoida","Ostreidae","Crassostrea"
"Bryozoan","Bryozoan","Bryozoa spp.","group","whole",NA,NA,NA,NA,NA
"Surfperch, shiner","Shiner surfperch","Cymatogaster aggregata","species","whole","fish","Actinopterygii","Perciformes","Embiotocidae","Cymatogaster"
"Carp","Carp","Cyprinidae spp.","group","whole",NA,NA,NA,NA,NA
"Chiton, unspecified","Unspecified chiton","Polyplacophora spp.","group","whole",NA,NA,NA,NA,NA
"Corvina, shortfin","Shortfin corvina","Cynoscion parvipinnis","species","whole","fish","Actinopterygii","Perciformes","Sciaenidae","Cynoscion"
"Clam, gaper","Gaper clam","Tresus nuttalli, Tresus capax","group","whole",NA,NA,NA,NA,NA
"Shad, threadfin","Threadfin shad","Dorosoma petenense","species","whole","fish","Actinopterygii","Clupeiformes","Clupeidae","Dorosoma"
"Clam, purple","Purple clam","Unknown","species","whole",NA,NA,NA,NA,NA
"Squid, market","Market squid","Doryteuthis opalescens","species","whole","invert","Cephalopoda","Teuthida","Loliginidae","Doryteuthis"
"Clam, unspecified","Unspecified clam","Clam spp.","group","whole",NA,NA,NA,NA,NA
"Squid, jumbo","Jumbo squid","Dosidicus gigas","species","whole","invert","Cephalopoda","Teuthida","Ommastrephidae","Dosidicus"
"Surfperch, black","Black surfperch","Embiotoca jacksoni","species","whole","fish","Actinopterygii","Perciformes","Embiotocidae","Embiotoca"
"Seaperch, striped","Striped seaperch","Embiotoca lateralis","species","whole","fish","Actinopterygii","Perciformes","Embiotocidae","Embiotoca"
"Crab, sand","Sand crab","Emerita analoga","species","whole","invert","Malacostraca","Decapoda","Hippidae","Emerita"
"Anchovy, northern","Northern anchovy","Engraulis mordax","species","whole","fish","Actinopterygii","Clupeiformes","Engraulidae","Engraulis"
"Crab, hermit","Hermit crab","Pagurus spp.","group","whole",NA,NA,NA,NA,NA
"Clam, California jackknife","California jackknife clam","Ensis myrae","species","whole","invert","Bivalvia","Veneroida","Pharidae","Ensis"
"Crab, rock unspecified","Unspecified rock crab","Cancer spp.","group","whole",NA,NA,NA,NA,NA
"Lamprey, Pacific","Pacific lamprey","Entosphenus tridentatus","species","whole","fish","Cephalaspidomorphi","Petromyzontiformes","Petromyzontidae","Entosphenus"
"Sole, petrale","Petrale sole","Eopsetta jordani","species","whole","fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Eopsetta"
"Cabrilla, spotted","Spotted cabrilla","Epinephelus analogus","species","whole","fish","Actinopterygii","Perciformes","Serranidae","Epinephelus"
"Hagfish, Pacific","Pacific hagfish","Eptatretus stoutii","species","whole","fish","Myxini","Myxiniformes","Myxinidae","Eptatretus"
"Herring, round","Round herring","Etrumeus acuminatus","species","whole","fish","Actinopterygii","Clupeiformes","Dussumieriidae","Etrumeus"
"Tuna, skipjack, black","Black skipjack tuna","Euthynnus lineatus","species","whole","fish","Actinopterygii","Perciformes","Scombridae","Euthynnus"
"Cod, Pacific","Pacific cod","Gadus macrocephalus","species","whole","fish","Actinopterygii","Gadiformes","Gadidae","Gadus"
"Shark, soupfin","Soupfin shark","Galeorhinus galeus","species","whole","fish","Elasmobranchii","Carcharhiniformes","Triakidae","Galeorhinus"
"Stickleback, threespine","Threespine stickleback","Gasterosteus aculeatus","species","whole","fish","Actinopterygii","Gasterosteiformes","Gasterosteidae","Gasterosteus"
"Crayfish, unspecified","Unspecified crayfish","Crayfish spp.","group","whole",NA,NA,NA,NA,NA
"Croaker, white","White croaker","Genyonemus lineatus","species","whole","fish","Actinopterygii","Perciformes","Sciaenidae","Genyonemus"
"Croaker, unspecifed","Unspecifed croaker","Sciaenidae spp.","group","whole",NA,NA,NA,NA,NA
"Mudsucker, longjaw","Longjaw mudsucker","Gillichthys mirabilis","species","whole","fish","Actinopterygii","Perciformes","Gobiidae","Gillichthys"
"Opaleye","Opaleye","Girella nigricans","species","whole","fish","Actinopterygii","Perciformes","Kyphosidae","Girella"
"Crustacean, unspecified","Unspecified crustacean","Crustacea spp.","group","whole",NA,NA,NA,NA,NA
"Sole, rex","Rex sole","Glyptocephalus zachirus","species","whole","fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Glyptocephalus"
"Echinoderm, unspecified","Unspecified echinoderm","Echinodermata spp.","group","whole",NA,NA,NA,NA,NA
"Eel","Eel","Anguilliformes spp.","group","whole",NA,NA,NA,NA,NA
"Eel, California moray","California moray eel","Gymnothorax mordax","species","whole","fish","Actinopterygii","Anguilliformes","Muraenidae","Gymnothorax"
"Wrasse, rock","Rock wrasse","Halichoeres semicinctus","species","whole","fish","Actinopterygii","Perciformes","Labridae","Halichoeres"
"Abalone, black","Black abalone","Haliotis cracherodii","species","whole","invert","Gastropoda","Patellogastropoda","Haliotidae","Haliotis"
"Shrimp, mantis","Mantis shrimp","Hemisquilla ensigera","species","whole","invert","Malacostraca","Stomatopoda","Hemisquillidae","Hemisquilla"
"Zebraperch","Zebraperch","Kyphosus azureus","species","whole","fish","Actinopterygii","Perciformes","Kyphosidae","Kyphosus"
"Fish, unspecified","Unspecified fish","Fish spp.","group","whole",NA,NA,NA,NA,NA
"Flatworm, marine","Marine flatworm","Marine flatworm spp.","group","whole",NA,NA,NA,NA,NA
"Flounder, unspecified","Unspecified flounder","Pleuronectoidei spp.","group","whole",NA,NA,NA,NA,NA
"Flyingfish","Flyingfish","Exocoetidae spp.","group","whole",NA,NA,NA,NA,NA
"Shark, horn","Horn shark","Heterodontus francisci","species","whole","fish","Elasmobranchii","Heterodontiformes","Heterodontidae","Heterodontus"
"Kelpfish, giant","Giant kelpfish","Heterostichus rostratus","species","whole","fish","Actinopterygii","Perciformes","Clinidae","Heterostichus"
"Greenling, kelp","Kelp greenling","Hexagrammos decagrammus","species","whole","fish","Actinopterygii","Scorpaeniformes","Hexagrammidae","Hexagrammos"
"Greenling, rock","Rock greenling","Hexagrammos lagocephalus","species","whole","fish","Actinopterygii","Scorpaeniformes","Hexagrammidae","Hexagrammos"
"Shark, sixgill","Sixgill shark","Hexanchus griseus","species","whole","fish","Elasmobranchii","Hexanchiformes","Hexanchidae","Hexanchus"
"Grouper","Grouper","Epinephelinae spp.","group","whole",NA,NA,NA,NA,NA
"Sole, bigmouth","Bigmouth sole","Hippoglossina stomata","species","whole","fish","Actinopterygii","Pleuronectiformes","Paralichthyidae","Hippoglossina"
"Halibut, Pacific","Pacific halibut","Hippoglossus stenolepis","species","whole","fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus"
"Ratfish, spotted","Spotted ratfish","Hydrolagus colliei","species","whole","fish","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Surfperch, walleye","Walleye surfperch","Hyperprosopon argenteum","species","whole","fish","Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon"
"Hagfish, unspecified","Unspecified hagfish","Myxinidae spp.","group","whole",NA,NA,NA,NA,NA
"Halibut, unspecified","Unspecified halibut","Hippoglossus spp.","group","whole",NA,NA,NA,NA,NA
"Surfperch, silver","Silver surfperch","Hyperprosopon ellipticum","species","whole","fish","Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon"
"Smelt, surf","Surf smelt","Hypomesus pretiosus","species","whole","fish","Actinopterygii","Osmeriformes","Osmeridae","Hypomesus"
"Turbot, diamond","Diamond turbot","Hypsopsetta guttulata","species","whole","fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hypsopsetta"
"Surfperch, rainbow","Rainbow surfperch","Hypsurus caryi","species","whole","fish","Actinopterygii","Perciformes","Embiotocidae","Hypsurus"
"Invertebrate Unspecified","Unspecified invertebrate","Invertebrate spp.","group","whole",NA,NA,NA,NA,NA
"Invertebrates, colonial","Colonial invertebrates","Invertebrate spp. (colonial)","group","whole",NA,NA,NA,NA,NA
"Jacks, unspecified","Unspecified jack","Carangidae spp.","group","whole",NA,NA,NA,NA,NA
"Sculpin, yellowchin","Yellowchin sculpin","Icelinus quadriseriatus","species","whole","fish","Actinopterygii","Scorpaeniformes","Cottidae","Icelinus"
"Jellyfish","Jellyfish","Medusozoa spp.","group","whole",NA,NA,NA,NA,NA
"Kelp","Kelp","Laminariales spp.","group","whole",NA,NA,NA,NA,NA
"Sole, butter","Butter sole","Isopsetta isolepis","species","whole","fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Isopsetta"
"Sailfish","Sailfish","Istiophorus platypterus","species","whole","fish","Actinopterygii","Perciformes","Istiophoridae","Istiophorus"
"Kelpfishes","Kelpfishes","Clinidae spp.","group","whole",NA,NA,NA,NA,NA
"Shark, shortfin mako","Shortfin mako shark","Isurus oxyrinchus","species","whole","fish","Elasmobranchii","Lamniformes","Lamnidae","Isurus"
"Lancelets, amphioxus","Amphioxus lancelets","Amphioxiformes spp.","group","whole",NA,NA,NA,NA,NA
"Limpet, keyhole","Keyhole limpet","Fissurellidae spp.","group","whole",NA,NA,NA,NA,NA
"Limpet, unspecified","Unspecified limpet","Limpet spp.","group","whole",NA,NA,NA,NA,NA
"Marlin, striped","Striped marlin","Kajikia audax","species","whole","fish","Actinopterygii","Perciformes","Istiophoridae","Kajikia"
"Tuna, skipjack","Skipjack tuna","Katsuwonus pelamis","species","whole","fish","Actinopterygii","Perciformes","Scombridae","Katsuwonus"
"Whelk, Kellet's","Kellet's whelk","Kelletia kelletii","species","whole","invert","Gastropoda","Neogastropoda","Buccinidae","Kelletia"
"Mackerel, unspecified","Unspecified mackerel","Mackerel spp.","group","whole",NA,NA,NA,NA,NA
"Shark, salmon","Salmon shark","Lamna ditropis","species","whole","fish","Elasmobranchii","Lamniformes","Lamnidae","Lamna"
"Opah","Opah","Lampris guttatus","species","whole","fish","Actinopterygii","Lampriformes","Lampridae","Lampris"
"Mollusk, unspecified","Unspecified mollusk","Mollusca spp.","group","whole",NA,NA,NA,NA,NA
"Mussel","Mussel","Mussel spp.","group","whole",NA,NA,NA,NA,NA
"Hitch","Hitch","Lavinia exilicauda","species","whole","fish","Actinopterygii","Cypriniformes","Cyprinidae","Lavinia"
"Octopus, unspecified","Unspecified octopus","Octopoda spp.","group","whole",NA,NA,NA,NA,NA
"Escolar","Escolar","Lepidocybium flavobrunneum","species","whole","fish","Actinopterygii","Perciformes","Gempylidae","Lepidocybium"
"Sculpin, staghorn","Staghorn sculpin","Leptocottus armatus","species","whole","fish","Actinopterygii","Scorpaeniformes","Cottidae","Leptocottus"
"Oyster, unspecified","Unspecified oyster","Oyster spp.","group","whole",NA,NA,NA,NA,NA
"Grunion, California","California grunion","Leuresthes tenuis","species","whole","fish","Actinopterygii","Atheriniformes","Atherinopsidae","Leuresthes"
"Perch-like, unspecified","Unspecified perch-like","Perch-like spp.","group","whole",NA,NA,NA,NA,NA
"Pomfret","Pomfret","Taractichthys steindachneri","species","whole","fish","Actinopterygii","Perciformes","Bramidae","Taractichthys"
"Crab, armed box","Armed box crab","Platymera gaudichaudii","species","whole","invert","Malacostraca","Decapoda","Calappidae","Platymera"
"Prawn, golden","Golden prawn","Unknown","species","whole",NA,NA,NA,NA,NA
"Crab, box","Brown box crab","Lopholithodes foraminatus","species","whole","invert","Malacostraca","Decapoda","Lithodidae","Lopholithodes"
"Crab, spider","Sheep crab","Loxorhynchus grandis","species","whole","invert","Malacostraca","Decapoda","Epialtidae","Loxorhynchus"
"Louvar","Louvar","Luvarus imperialis","species","whole","fish","Actinopterygii","Perciformes","Luvaridae","Luvarus"
"Sole, slender","Slender sole","Lyopsetta exilis","species","whole","fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Lyopsetta"
"Ray, unspecified","Unspecified ray","Batoidea spp.","group","whole",NA,NA,NA,NA,NA
"Rockfish, arrowtooth","Arrowtooth rockfish","Unknown","species","whole",NA,NA,NA,NA,NA
"Shrimp, red rock","Red rock shrimp","Lysmata californica","species","whole","invert","Malacostraca","Decapoda","Hippolytidae","Lysmata"
"Sea urchin, white","White sea urchin","Lytechinus anamesus","species","whole","invert","Echinoidea","Temnopleuroida","Toxopneustidae","Lytechinus"
"Rockfish, group black/blue","Black/blue rockfish group","Sebastes melanops, Sebastes mystinus","group","whole",NA,NA,NA,NA,NA
"Rockfish, group bocaccio/chili","Bocaccio/chili rockfish group","Sebastes paucispinus, Sebastes goodei","group","whole",NA,NA,NA,NA,NA
"Rockfish, group bolina","Bolina rockfish group","Sebastes spp. (bolina)","group","whole",NA,NA,NA,NA,NA
"Rockfish, group canary/vermili","Canary/vermilion rockfish group","Sebastes pinniger, Sebastes miniatus","group","whole",NA,NA,NA,NA,NA
"Rockfish, group deep nearshore","Deep nearshore rockfish group","Sebastes spp. (deep nearshore)","group","whole",NA,NA,NA,NA,NA
"Rockfish, group deepwater reds","Deepwater reds rockfish group","Sebastes spp. (deepwater reds)","group","whole",NA,NA,NA,NA,NA
"Rockfish, group gopher","Gopher rockfish group","Sebastes carnatus and others","group","whole",NA,NA,NA,NA,NA
"Rockfish, group nearshore","Nearshore rockfish group","Sebastes spp. (nearshore)","group","whole",NA,NA,NA,NA,NA
"Rockfish, group red","Red rockfish group","Sebastes spp. (red)","group","whole",NA,NA,NA,NA,NA
"Rockfish, group rosefish","Rosefish rockfish group","Sebastes spp. (rosefish)","group","whole",NA,NA,NA,NA,NA
"Rockfish, group shelf","Shelf rockfish group","Sebastes spp. (shelf)","group","whole",NA,NA,NA,NA,NA
"Rockfish, group slope","Slope rockfish group","Sebastes spp. (slope)","group","whole",NA,NA,NA,NA,NA
"Rockfish, group small","Small rockfish group","Sebastes spp. (small)","group","whole",NA,NA,NA,NA,NA
"Goby, bluebanded","Bluebanded goby","Lythrypnus dalli","species","whole","fish","Actinopterygii","Perciformes","Gobiidae","Lythrypnus"
"Goby, zebra","Zebra goby","Lythrypnus zebra","species","whole","fish","Actinopterygii","Perciformes","Gobiidae","Lythrypnus"
"Kelp, giant","Giant kelp","Macrocystis pyrifera","species","whole","invert","Phaeophyceae","Laminariales","Lessoniaceae","Macrocystis"
"Halfmoon","Halfmoon","Medialuna californiensis","species","whole","fish","Actinopterygii","Perciformes","Kyphosidae","Medialuna"
"Rockfish, unspecified","Unspecified rockfish","Sebastes spp.","group","whole",NA,NA,NA,NA,NA
"Salmon","Salmon","Salmonidae spp.","group","whole",NA,NA,NA,NA,NA
"Sand dollar","Sand dollar","Clypeasteroida spp.","group","whole",NA,NA,NA,NA,NA
"Sanddab","Sanddab","Citharichthys spp.","group","whole",NA,NA,NA,NA,NA
"Corbina, California","California corbina","Menticirrhus undulatus","species","whole","fish","Actinopterygii","Perciformes","Sciaenidae","Menticirrhus"
"Whiting, Pacific","Pacific whiting","Merluccius productus","species","whole","fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius"
"Sea urchin, red","Red sea urchin","Mesocentrotus franciscanus","species","whole","invert","Echinoidea","Echinoida","Strongylocentrotidae","Mesocentrotus"
"Tomcod, Pacific","Pacific tomcod","Microgadus proximus","species","whole","fish","Actinopterygii","Gadiformes","Gadidae","Microgadus"
"Sole, Dover","Dover sole","Microstomus pacificus","species","whole","fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Microstomus"
"Scallop, unspecified","Unspecified scallop","Pectinidae spp.","group","whole",NA,NA,NA,NA,NA
"Sunfish, ocean","Ocean sunfish","Mola mola","species","whole","fish","Actinopterygii","Tetraodontiformes","Molidae","Mola"
"Bass, striped","Striped bass","Morone saxatilis","species","whole","fish","Actinopterygii","Perciformes","Moronidae","Morone"
"Mullet, striped","Striped mullet","Mugil cephalus","species","whole","fish","Actinopterygii","Mugiliformes","Mugilidae","Mugil"
"Shark, gray smoothhound","Gray smoothhound shark","Mustelus californicus","species","whole","fish","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus"
"Sea cucumber, unspecified","Unspecified sea cucumber","Holothuroidea spp.","group","whole",NA,NA,NA,NA,NA
"Shark, brown smoothhound","Brown smoothhound shark","Mustelus henlei","species","whole","fish","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus"
"Grouper, broomtail","Broomtail grouper","Mycteroperca xenarcha","species","whole","fish","Actinopterygii","Perciformes","Serranidae","Mycteroperca"
"Ray, bat","Bat ray","Myliobatis californica","species","whole","fish","Elasmobranchii","Myliobatiformes","Myliobatidae","Myliobatis"
"Sea slug","Sea slug","Sea slug spp.","group","whole",NA,NA,NA,NA,NA
"Sea stars","Sea stars","Asteroidea spp.","group","whole",NA,NA,NA,NA,NA
"Grenadier","Grenadier","Nezumia stelgidolepis","species","whole","fish","Actinopterygii","Gadiformes","Macrouridae","Nezumia"
"Shark, sevengill","Sevengill shark","Notorynchus cepedianus","species","whole","fish","Elasmobranchii","Hexanchiformes","Hexanchidae","Notorynchus"
"Salmon, pink","Pink salmon","Oncorhynchus gorbuscha","species","whole","fish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus"
"Salmon, chum","Chum salmon","Oncorhynchus keta","species","whole","fish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus"
"Salmon, coho","Coho salmon","Oncorhynchus kisutch","species","whole","fish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus"
"Trout, rainbow","Rainbow trout","Oncorhynchus mykiss","species","whole","fish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus"
