"comm_name_orig","comm_name","sci_name","level","presentation","type","class","order","family","genus"
"Sea pansy","Sea pansy","Renilla koellikeri","species","whole","invert","Anthozoa","Pennatulacea","Renillidae","Renilla"
"Surfperch, unspecified","Unspecified surfperch","Embiotocidae spp.","group","whole",NA,NA,NA,NA,NA
"Surfperch, rubberlip","Rubberlip surfperch","Rhacochilus toxotes","species","whole","fish","Actinopterygii","Perciformes","Embiotocidae","Rhacochilus"
"Surfperch, pile","Pile surfperch","Rhacochilus vacca","species","whole","fish","Actinopterygii","Perciformes","Embiotocidae","Rhacochilus"
"Terrapin","Terrapin","Terrapin spp.","group","whole",NA,NA,NA,NA,NA
"Themiste","Themiste","Themiste spp.","group","whole",NA,NA,NA,NA,NA
"Thornyheads","Thornyheads","Sebastolobus spp.","group","whole",NA,NA,NA,NA,NA
"Guitarfish, shovelnose","Shovelnose guitarfish","Pseudobatos productus","species","whole","fish","Elasmobranchii","Rhinopristiformes","Rhinobatidae","Pseudobatos"
"Trawled fish, unspecified","Unspecified trawled fish","Fish spp. (trawled)","group","whole",NA,NA,NA,NA,NA
"Triggerfish","Triggerfish","Balistidae spp.","group","whole",NA,NA,NA,NA,NA
"Oilfish","Oilfish","Ruvettus pretiosus","species","whole","fish","Actinopterygii","Perciformes","Gempylidae","Ruvettus"
"Tuna, unspecified","Unspecified tuna","Scombrinae spp.","group","whole",NA,NA,NA,NA,NA
"Tunicates","Tunicates","Tunicata spp.","group","whole",NA,NA,NA,NA,NA
"Turbot","Turbot","Turbot spp.","group","whole",NA,NA,NA,NA,NA
"Bonito, Pacific","Pacific bonito","Sarda chiliensis","species","whole","fish","Actinopterygii","Perciformes","Scombridae","Sarda"
"Turtle","Turtle","Testudines spp.","group","whole",NA,NA,NA,NA,NA
"Sardine, juvenile","Juvenile sardine","Sardina pilchardus","species","whole","fish","Actinopterygii","Clupeiformes","Clupeidae","Sardina"
"Sardine, Pacific","Pacific sardine","Sardinops sagax","species","whole","fish","Actinopterygii","Clupeiformes","Clupeidae","Sardinops"
"Mackerel, Pacific","Pacific mackerel","Scomber japonicus","species","whole","fish","Actinopterygii","Perciformes","Scombridae","Scomber"
"Sierra, Pacific","Pacific sierra","Scomberomorus sierra","species","whole","fish","Actinopterygii","Perciformes","Scombridae","Scomberomorus"
"Worms, marine","Marine worms","Marine worm spp.","group","whole",NA,NA,NA,NA,NA
"Scorpionfish, California","California scorpionfish","Scorpaena guttata","species","whole","fish","Actinopterygii","Scorpaeniformes","Scorpaenidae","Scorpaena"
"Cabezon","Cabezon","Scorpaenichthys marmoratus","species","whole","fish","Actinopterygii","Scorpaeniformes","Cottidae","Scorpaenichthys"
"Rockfish, rougheye","Rougheye rockfish","Sebastes aleutianus","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Snails, moon","Moon snails","Naticidae spp.","group","whole",NA,NA,NA,NA,NA
"Rockfish, Pacific ocean perch","Pacific ocean perch rockfish","Sebastes alutus","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, kelp","Kelp rockfish","Sebastes atrovirens","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, brown","Brown rockfish","Sebastes auriculatus","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, aurora","Aurora rockfish","Sebastes aurora","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, redbanded","Redbanded rockfish","Sebastes babcocki","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, shortraker","Shortraker rockfish","Sebastes borealis","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, gopher","Gopher rockfish","Sebastes carnatus","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, copper (whitebelly)","Copper rockfish","Sebastes caurinus","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, copper","Copper rockfish","Sebastes caurinus","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Crab, king","King crab","Paralithodes spp.","group","whole",NA,NA,NA,NA,NA
"Rockfish, greenspotted","Greenspotted rockfish","Sebastes chlorostictus","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, black-and-yellow","Black-and-yellow rockfish","Sebastes chrysomelas","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, starry","Starry rockfish","Sebastes constellatus","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, darkblotched","Darkblotched rockfish","Sebastes crameri","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, calico","Calico rockfish","Sebastes dallii","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, splitnose","Splitnose rockfish","Sebastes diploproa","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Sponges","Sponges","Porifera spp.","group","whole",NA,NA,NA,NA,NA
"Rockfish, greenstriped","Greenstriped rockfish","Sebastes elongatus","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, swordspine","Swordspine rockfish","Sebastes ensifer","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, widow","Widow rockfish","Sebastes entomelas","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, pink","Pink rockfish","Sebastes eos","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, yellowtail","Yellowtail rockfish","Sebastes flavidus","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, bronzespotted","Bronzespotted rockfish","Sebastes gilli","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, chilipepper","Chilipepper rockfish","Sebastes goodei","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, rosethorn","Rosethorn rockfish","Sebastes helvomaculatus","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, squarespot","Squarespot rockfish","Sebastes hopkinsi","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, shortbelly","Shortbelly rockfish","Sebastes jordani","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, cowcod","Cowcod rockfish","Sebastes levis","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, Mexican","Mexican rockfish","Sebastes macdonaldi","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, quillback","Quillback rockfish","Sebastes maliger","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, black","Black rockfish","Sebastes melanops","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, blackgill","Blackgill rockfish","Sebastes melanostomus","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, vermilion","Vermilion rockfish","Sebastes miniatus","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, blue","Blue rockfish","Sebastes mystinus","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, China","China rockfish","Sebastes nebulosus","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, speckled","Speckled rockfish","Sebastes ovalis","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, bocaccio","Bocaccio rockfish","Sebastes paucispinis","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, chameleon","Chameleon rockfish","Sebastes phillipsi","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, canary","Canary rockfish","Sebastes pinniger","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, grass","Grass rockfish","Sebastes rastrelliger","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, rosy","Rosy rockfish","Sebastes rosaceus","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, greenblotched","Greenblotched rockfish","Sebastes rosenblatti","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, yelloweye","Yelloweye rockfish","Sebastes ruberrimus","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, flag","Flag rockfish","Sebastes rubrivinctus","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, bank","Bank rockfish","Sebastes rufus","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, stripetail","Stripetail rockfish","Sebastes saxicola","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, olive","Olive rockfish","Sebastes serranoides","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Rockfish, treefish","Treefish rockfish","Sebastes serriceps","species","whole","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
