comm_name_orig,comm_name,comm_name_orig_upper,sci_name,level,sci_name_cdfw,level2
Wahoo,Wahoo,WAHOO,Acanthocybium solandri,species,,
"Smelt, whitebait",Whitebait smelt,"SMELT, WHITEBAIT",Allosmerus elongatus,species,,
"Shark, thresher",Thresher shark,"SHARK, THRESHER",Alopias vulpinus,species,,
"Shad, American",American shad,"SHAD, AMERICAN",Alosa sapidissima,species,,
"Bass, rock",Rock bass,"BASS, ROCK",Ambloplites rupestris,species,,
"Bullhead, brown",Brown bullhead,"BULLHEAD, BROWN",Ameiurus nebulosus,species,,
Sablefish,Sablefish,SABLEFISH,Anoplopoma fimbria,species,,
"Shrimp, brine",Brine shrimp,"SHRIMP, BRINE",Artemia salina,species,,
"Flounder, arrowtooth",Arrowtooth flounder,"FLOUNDER, ARROWTOOTH",Atheresthes stomias,species,,
"Mackerel, bullet",Bullet mackerel,"MACKEREL, BULLET",Auxis rochei,species,,
"Shrimp, ghost",Ghost shrimp,"SHRIMP, GHOST",Callianassidae spp.,group,,
"Crab, Dungeness",Dungeness crab,"CRAB, DUNGENESS",Cancer magister,species,,
"Crab, red rock",Red rock crab,"CRAB, RED ROCK",Cancer productus,species,,
"Shark, blacktip",Blacktip shark,"SHARK, BLACKTIP",Carcharhinus limbatus,species,,
"Shark, dusky",Dusky shark,"SHARK, DUSKY",Carcharhinus obscurus,species,,
"Shark, white",White shark,"SHARK, WHITE",Carcharodon carcharias,species,,
"Whitefish, ocean",Ocean whitefish,"WHITEFISH, OCEAN",Caulolatilus princeps,species,,
"Algae, marine",Marine algae,"ALGAE, MARINE",Chlorophyta spp.,group,,
Blacksmith,Blacksmith,BLACKSMITH,Chromis punctipinnis,species,,
"Herring, Pacific",Pacific herring,"HERRING, PACIFIC",Clupea pallasii,species,,
"Saury, Pacific",Pacific saury,"SAURY, PACIFIC",Cololabis saira,species,,
"Shad, threadfin",Threadfin shad,"SHAD, THREADFIN",Dorosoma petenense,species,,
"Squid, jumbo",Jumbo squid,"SQUID, JUMBO",Dosidicus gigas,species,,
"Anchovy, northern",Northern anchovy,"ANCHOVY, NORTHERN",Engraulis mordax,species,,
"Clam, California jackknife",California jackknife clam,"CLAM, CALIFORNIA JACKKNIFE",Ensis myrae,species,,
"Sole, petrale",Petrale sole,"SOLE, PETRALE",Eopsetta jordani,species,,
"Cabrilla, spotted",Spotted cabrilla,"CABRILLA, SPOTTED",Epinephelus analogus,species,,
"Herring, round",Round herring,"HERRING, ROUND",Etrumeus teres,species,,
"Cod, Pacific",Pacific cod,"COD, PACIFIC",Gadus macrocephalus,species,,
"Mudsucker, longjaw",Longjaw mudsucker,"MUDSUCKER, LONGJAW",Gillichthys mirabilis,species,,
Opaleye,Opaleye,OPALEYE,Girella nigricans,species,,
"Sole, rex",Rex sole,"SOLE, REX",Glyptocephalus zachirus,species,,
"Abalone, black",Black abalone,"ABALONE, BLACK",Haliotis cracherodii,species,,
"Greenling, kelp",Kelp greenling,"GREENLING, KELP",Hexagrammos decagrammus,species,,
"Halibut, Pacific",Pacific halibut,"HALIBUT, PACIFIC",Hippoglossus stenolepis,species,,
"Ratfish, spotted",Spotted ratfish,"RATFISH, SPOTTED",Hydrolagus colliei,species,,
"Turbot, diamond",Diamond turbot,"TURBOT, DIAMOND",Hypsopsetta guttulata,species,,
"Sole, butter",Butter sole,"SOLE, BUTTER",Isopsetta isolepis,species,,
Sailfish,Sailfish,SAILFISH,Istiophorus platypterus,species,,
