"Grade Code","Grade Name"
"A","FEMALE (SHAD)"
"B","MALE (SHAD)"
"E","EXTRA LARGE"
"J","JACK (SALMON)"
"L","LARGE"
"M","MEDIUM"
"O","OTHER KNOWN GRADES"
"S","SMALL"
"T","TULE (SALMON)"
"U","UNSPECIFIED"
"X","EXTRA SMALL"
