"","X","filename","decade","category","license","year","items","fees_usd","revenues_usd"
"597",597,"tabula-90s Items Hunting.csv","1990s","Antelope, Bighorn Sheep, Elk Draw","EAS Drawing Application",1999,32237,6.25,201481
"598",598,"tabula-90s Items Hunting.csv","1990s","Bear Tags","Resident Bear Tags",1999,18170,24,436080
"599",599,"tabula-90s Items Hunting.csv","1990s","Bear Tags","Non-Resident Bear Tags",1999,215,167.25,35959
"600",600,"tabula-90s Items Hunting.csv","1990s","Wild Pig Tags","Resident Wild Pig Tag",1999,41418,NA,310635
"601",601,"tabula-90s Items Hunting.csv","1990s","Wild Pig Tags","Non-Resident Wild Pig Tag",1999,1731,12,20772
"602",602,"tabula-90s Items Hunting.csv","1990s","Bobcat Tags","Bobcat Hunting Tags (Book of 5)",1999,2052,10,20520
"603",603,"tabula-90s Items Hunting.csv","1990s","Bobcat Tags","Bobcat Shipping Tags",1999,223,NA,725
"604",604,"tabula-90s Items Hunting.csv","1990s","Game Bird Hunting","Duck Validation",1999,79095,10,790950
"605",605,"tabula-90s Items Hunting.csv","1990s","Game Bird Hunting","Waterfowl Reservation Application",1999,531124,NA,531124
"606",606,"tabula-90s Items Hunting.csv","1990s","Game Bird Hunting","1-Day Waterfowl Area Permit",1999,20381,12,244572
"607",607,"tabula-90s Items Hunting.csv","1990s","Game Bird Hunting","2-Day Waterfowl Area Permit",1999,16347,18.5,302420
"608",608,"tabula-90s Items Hunting.csv","1990s","Game Bird Hunting","Type A Waterfowl Permit",1999,3729,92.25,344000
"609",609,"tabula-90s Items Hunting.csv","1990s","Game Bird Hunting","Type B Waterfowl Permit",1999,1445,30.75,44434
"610",610,"tabula-90s Items Hunting.csv","1990s","Game Bird Hunting","Upland Game Bird Validation",1999,196544,NA,1130128
"611",611,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Resident Hunting (Annual)",2000,284408,27.25,7750118
"612",612,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Lifetime Hunting",2000,1318,27.25,35916
"613",613,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Junior Hunting (Annual)",2000,23606,6.75,159341
"614",614,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Lifetime Junior Hunting",2000,NA,NA,NA
"615",615,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Disabled Veteran Hunting",2000,564,4.25,2397
"616",616,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Non-Resident Hunting (Annual)",2000,3444,95.5,328902
"617",617,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Non-Resident 1-Day Hunting",2000,1181,13,15353
"618",618,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Non-Resident 2-Day Hunting",2000,2996,26.5,79394
"619",619,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Resident First Deer Tag",2000,149542,15.75,2355287
"620",620,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Non-Resident First Deer Tag",2000,639,161,102879
"621",621,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Resident Second Deer Tag",2000,47027,20.5,964054
"622",622,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Non-Resident Second Deer Tag",2000,66,161,10626
"623",623,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Lifetime Deer Tag",2000,NA,15.75,NA
"624",624,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Duplicate/Exchange Deer Tag",2000,1153,5.75,6630
"625",625,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Resident Pronghorn Antelope Tag",2000,199,89,17711
"626",626,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Non-Resident Pronghorn Antelope Tag",2000,NA,NA,NA
"627",627,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Resident Bighorn Sheep Tag",2000,9,250.75,2257
"628",628,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Non-Resident Bighorn Sheep Tag",2000,1,500,500
"629",629,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Resident Elk Tag",2000,292,266.25,77745
"630",630,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Non-Resident Elk Tag",2000,NA,NA,NA
"631",631,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Draw","EAS Drawing Application",2000,33063,6.25,206644
"632",632,"tabula-2000s Items Hunting.csv","2000s","Bear Tags","Resident Bear Tags",2000,20325,24.25,492881
"633",633,"tabula-2000s Items Hunting.csv","2000s","Bear Tags","Non-Resident Bear Tags",2000,233,169.75,39552
"634",634,"tabula-2000s Items Hunting.csv","2000s","Wild Pig Tags","Resident Wild Pig Tag",2000,42786,7.5,320895
"635",635,"tabula-2000s Items Hunting.csv","2000s","Wild Pig Tags","Non-Resident Wild Pig Tag",2000,1885,12.25,23091
"636",636,"tabula-2000s Items Hunting.csv","2000s","Wild Pig Tags","Lifetime Wild Pig Tags",2000,NA,NA,NA
"637",637,"tabula-2000s Items Hunting.csv","2000s","Bobcat Tags","Bobcat Hunting Tags (Book of 5)",2000,2101,10.25,21535
"638",638,"tabula-2000s Items Hunting.csv","2000s","Bobcat Tags","Bobcat Shipping Tags",2000,210,3.25,683
"639",639,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Duck Validation",2000,78297,10,782970
"640",640,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Lifetime Duck Validation",2000,NA,10,NA
"641",641,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Waterfowl Reservation Application",2000,631212,1,631212
"642",642,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","1-Day Type A Wildlife Area Permit",2000,15084,12,181008
"643",643,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","2-Day Type A Wildlife Area Pass",2000,17289,20,345780
"644",644,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Type A Wildlife Area Season Pass",2000,3683,93.75,345281
"645",645,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Type B Wildlife Area Season Pass",2000,1376,31.25,43000
"646",646,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Upland Game Bird Validation",2000,198670,5.75,1142353
"647",647,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Lifetime Upland Game Bird Validation",2000,NA,5.75,NA
"648",648,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Resident Hunting (Annual)",2001,286798,28.5,8173743
"649",649,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Lifetime Hunting",2001,1646,28.5,46911
"650",650,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Junior Hunting (Annual)",2001,24336,7,170352
"651",651,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Lifetime Junior Hunting",2001,NA,NA,NA
"652",652,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Disabled Veteran Hunting",2001,615,4.5,2768
"653",653,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Non-Resident Hunting (Annual)",2001,3593,99.5,357504
"654",654,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Non-Resident 1-Day Hunting",2001,1152,13.5,15552
"655",655,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Non-Resident 2-Day Hunting",2001,2683,27.75,74453
"656",656,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Resident First Deer Tag",2001,149913,16.5,2473565
"657",657,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Non-Resident First Deer Tag",2001,658,167.75,110380
"658",658,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Resident Second Deer Tag",2001,46981,21.25,998346
"659",659,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Non-Resident Second Deer Tag",2001,79,167.75,13252
"660",660,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Lifetime Deer Tag",2001,NA,16.5,NA
"661",661,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Duplicate/Exchange Deer Tag",2001,1283,6,7698
"662",662,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Resident Pronghorn Antelope Tag",2001,192,92.75,17808
"663",663,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Non-Resident Pronghorn Antelope Tag",2001,NA,NA,NA
"664",664,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Resident Bighorn Sheep Tag",2001,11,261.5,2877
"665",665,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Non-Resident Bighorn Sheep Tag",2001,3,500,1500
"666",666,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Resident Elk Tag",2001,250,277.5,69375
"667",667,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Non-Resident Elk Tag",2001,NA,NA,NA
"668",668,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Draw","EAS Drawing Application",2001,33441,6.5,217367
"669",669,"tabula-2000s Items Hunting.csv","2000s","Bear Tags","Resident Bear Tags",2001,20993,25.25,530073
"670",670,"tabula-2000s Items Hunting.csv","2000s","Bear Tags","Non-Resident Bear Tags",2001,247,177,43719
"671",671,"tabula-2000s Items Hunting.csv","2000s","Wild Pig Tags","Resident Wild Pig Tag",2001,46468,7.5,348510
"672",672,"tabula-2000s Items Hunting.csv","2000s","Wild Pig Tags","Non-Resident Wild Pig Tag",2001,2114,12.75,26954
"673",673,"tabula-2000s Items Hunting.csv","2000s","Wild Pig Tags","Lifetime Wild Pig Tags",2001,NA,NA,NA
"674",674,"tabula-2000s Items Hunting.csv","2000s","Bobcat Tags","Bobcat Hunting Tags (Book of 5)",2001,2213,10.75,23790
"675",675,"tabula-2000s Items Hunting.csv","2000s","Bobcat Tags","Bobcat Shipping Tags",2001,209,3.5,732
"676",676,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Duck Validation",2001,74437,10,744370
"677",677,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Lifetime Duck Validation",2001,NA,10,NA
"678",678,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Waterfowl Reservation Application",2001,647558,1,647558
"679",679,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","1-Day Type A Wildlife Area Permit",2001,13229,12.5,165363
"680",680,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","2-Day Type A Wildlife Area Pass",2001,16568,20.75,343786
"681",681,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Type A Wildlife Area Season Pass",2001,3326,97.75,325117
"682",682,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Type B Wildlife Area Season Pass",2001,1160,32.5,37700
"683",683,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Upland Game Bird Validation",2001,203946,6,1223676
"684",684,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Lifetime Upland Game Bird Validation",2001,NA,6,NA
"685",685,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Resident Hunting (Annual)",2002,280682,29.5,8280119
"686",686,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Lifetime Hunting",2002,2053,29.5,60564
"687",687,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Junior Hunting (Annual)",2002,25025,7.25,181431
"688",688,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Lifetime Junior Hunting",2002,NA,NA,NA
"689",689,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Disabled Veteran Hunting",2002,686,4.75,3259
"690",690,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Non-Resident Hunting (Annual)",2002,3850,102.75,395588
"691",691,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Non-Resident 1-Day Hunting",2002,1110,14,15540
"692",692,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Non-Resident 2-Day Hunting",2002,2843,28.75,81736
"693",693,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Resident First Deer Tag",2002,147329,17,2504593
"694",694,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Non-Resident First Deer Tag",2002,698,173.25,120929
"695",695,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Resident Second Deer Tag",2002,48576,22,1068672
"696",696,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Non-Resident Second Deer Tag",2002,70,173.25,12128
"697",697,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Lifetime Deer Tag",2002,NA,17,NA
"698",698,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Duplicate/Exchange Deer Tag",2002,1842,6.25,11513
"699",699,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Resident Pronghorn Antelope Tag",2002,269,95.75,25757
"700",700,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Non-Resident Pronghorn Antelope Tag",2002,NA,NA,NA
"701",701,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Resident Bighorn Sheep Tag",2002,12,270.25,3243
"702",702,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Non-Resident Bighorn Sheep Tag",2002,2,500,1000
"703",703,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Resident Elk Tag",2002,298,286.75,85452
"704",704,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Non-Resident Elk Tag",2002,NA,NA,NA
"705",705,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Draw","EAS Drawing Application",2002,42570,6.75,287348
"706",706,"tabula-2000s Items Hunting.csv","2000s","Bear Tags","Resident Bear Tags",2002,22661,26,589186
"707",707,"tabula-2000s Items Hunting.csv","2000s","Bear Tags","Non-Resident Bear Tags",2002,257,183,47031
"708",708,"tabula-2000s Items Hunting.csv","2000s","Wild Pig Tags","Resident Wild Pig Tag",2002,44744,8.75,391510
"709",709,"tabula-2000s Items Hunting.csv","2000s","Wild Pig Tags","Non-Resident Wild Pig Tag",2002,2293,13.25,30382
"710",710,"tabula-2000s Items Hunting.csv","2000s","Wild Pig Tags","Lifetime Wild Pig Tags",2002,NA,NA,NA
"711",711,"tabula-2000s Items Hunting.csv","2000s","Bobcat Tags","Bobcat Hunting Tags (Book of 5)",2002,2306,11,25366
"712",712,"tabula-2000s Items Hunting.csv","2000s","Bobcat Tags","Bobcat Shipping Tags",2002,382,3.5,1337
"713",713,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Duck Validation",2002,71551,10,715510
"714",714,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Lifetime Duck Validation",2002,NA,10,NA
"715",715,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Waterfowl Reservation Application",2002,599008,1,599008
"716",716,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","1-Day Type A Wildlife Area Permit",2002,11843,13,153959
"717",717,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","2-Day Type A Wildlife Area Pass",2002,15473,21.5,332670
"718",718,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Type A Wildlife Area Season Pass",2002,2802,101,283002
"719",719,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Type B Wildlife Area Season Pass",2002,1153,33.5,38626
"720",720,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Upland Game Bird Validation",2002,201840,6.25,1261500
"721",721,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Lifetime Upland Game Bird Validation",2002,NA,6.25,NA
"722",722,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Resident Hunting (Annual)",2003,270310,29.75,8041723
"723",723,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Lifetime Hunting",2003,2749,29.75,81783
"724",724,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Junior Hunting (Annual)",2003,24897,7.25,180503
"725",725,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Lifetime Junior Hunting",2003,NA,NA,NA
"726",726,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Disabled Veteran Hunting",2003,793,4.75,3767
"727",727,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Non-Resident Hunting (Annual)",2003,3907,103.5,404375
"728",728,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Non-Resident 1-Day Hunting",2003,1145,14,16030
"729",729,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Non-Resident 2-Day Hunting",2003,2946,29,85434
"730",730,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Resident First Deer Tag",2003,142715,17.25,2461834
"731",731,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Non-Resident First Deer Tag",2003,667,174.75,116558
"732",732,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Resident Second Deer Tag",2003,46948,22.25,1044593
"733",733,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Non-Resident Second Deer Tag",2003,60,174.75,10485
"734",734,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Lifetime Deer Tag",2003,NA,17.25,NA
"735",735,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Duplicate/Exchange Deer Tag",2003,1283,6.25,8019
"736",736,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Resident Pronghorn Antelope Tag",2003,251,96.5,24222
"737",737,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Non-Resident Pronghorn Antelope Tag",2003,NA,NA,NA
"738",738,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Resident Bighorn Sheep Tag",2003,10,272.5,2725
"739",739,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Non-Resident Bighorn Sheep Tag",2003,0,500,NA
"740",740,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Resident Elk Tag",2003,275,289,79475
"741",741,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Non-Resident Elk Tag",2003,NA,NA,NA
"742",742,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Draw","EAS Drawing Application",2003,43951,6.75,296669
"743",743,"tabula-2000s Items Hunting.csv","2000s","Bear Tags","Resident Bear Tags",2003,21483,26.25,563929
"744",744,"tabula-2000s Items Hunting.csv","2000s","Bear Tags","Non-Resident Bear Tags",2003,257,184.5,47417
"745",745,"tabula-2000s Items Hunting.csv","2000s","Wild Pig Tags","Resident Wild Pig Tag",2003,43430,8.75,380013
"746",746,"tabula-2000s Items Hunting.csv","2000s","Wild Pig Tags","Non-Resident Wild Pig Tag",2003,2103,13.25,27865
"747",747,"tabula-2000s Items Hunting.csv","2000s","Wild Pig Tags","Lifetime Wild Pig Tags",2003,NA,NA,NA
"748",748,"tabula-2000s Items Hunting.csv","2000s","Bobcat Tags","Bobcat Hunting Tags (Book of 5)",2003,2316,11,25476
"749",749,"tabula-2000s Items Hunting.csv","2000s","Bobcat Tags","Bobcat Shipping Tags",2003,450,3.5,1575
"750",750,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Duck Validation",2003,69700,10,697000
"751",751,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Lifetime Duck Validation",2003,NA,10,NA
"752",752,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Waterfowl Reservation Application",2003,639242,1,639242
"753",753,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","1-Day Type A Wildlife Area Permit",2003,36792,13,478296
"754",754,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","2-Day Type A Wildlife Area Pass",2003,3985,21.75,86674
"755",755,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Type A Wildlife Area Season Pass",2003,2917,101.75,296805
"756",756,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Type B Wildlife Area Season Pass",2003,1157,33.75,39049
"757",757,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Upland Game Bird Validation",2003,196908,6.25,1230675
"758",758,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Lifetime Upland Game Bird Validation",2003,NA,6.25,NA
"759",759,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Resident Hunting (Annual)",2004,263218,31.25,8225563
"760",760,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Lifetime Hunting",2004,2793,29.25,81695
"761",761,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Junior Hunting (Annual)",2004,23932,8.25,197439
"762",762,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Lifetime Junior Hunting",2004,379,7.25,2748
"763",763,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Disabled Veteran Hunting",2004,998,5,4990
"764",764,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Non-Resident Hunting (Annual)",2004,3954,108.5,429009
"765",765,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Non-Resident 1-Day Hunting",2004,1054,15,15810
"766",766,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Non-Resident 2-Day Hunting",2004,2965,31.25,92656
"767",767,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Resident First Deer Tag",2004,142443,17.75,2528363
"768",768,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Non-Resident First Deer Tag",2004,849,180.5,153245
"769",769,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Resident Second Deer Tag",2004,45574,23,1048202
"770",770,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Non-Resident Second Deer Tag",2004,64,180.5,11552
"771",771,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Lifetime Deer Tag",2004,1174,19.25,22600
"772",772,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Duplicate/Exchange Deer Tag",2004,1412,6.5,9178
"773",773,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Resident Pronghorn Antelope Tag",2004,261,99.75,26035
"774",774,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Non-Resident Pronghorn Antelope Tag",2004,NA,NA,NA
"775",775,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Resident Bighorn Sheep Tag",2004,12,281.5,3378
"776",776,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Non-Resident Bighorn Sheep Tag",2004,1,500,500
"777",777,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Resident Elk Tag",2004,316,298.75,94405
"778",778,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Non-Resident Elk Tag",2004,NA,NA,NA
"779",779,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Draw","EAS Drawing Application",2004,48656,7,340592
"780",780,"tabula-2000s Items Hunting.csv","2000s","Bear Tags","Resident Bear Tags",2004,22325,27.25,608356
"781",781,"tabula-2000s Items Hunting.csv","2000s","Bear Tags","Non-Resident Bear Tags",2004,294,190.75,56081
"782",782,"tabula-2000s Items Hunting.csv","2000s","Wild Pig Tags","Resident Wild Pig Tag",2004,45600,15,684000
"783",783,"tabula-2000s Items Hunting.csv","2000s","Wild Pig Tags","Non-Resident Wild Pig Tag",2004,1220,50,61000
"784",784,"tabula-2000s Items Hunting.csv","2000s","Wild Pig Tags","Lifetime Wild Pig Tags",2004,6530,NA,11428
"785",785,"tabula-2000s Items Hunting.csv","2000s","Bobcat Tags","Bobcat Hunting Tags (Book of 5)",2004,2426,11.25,27293
"786",786,"tabula-2000s Items Hunting.csv","2000s","Bobcat Tags","Bobcat Shipping Tags",2004,487,5.5,2679
"787",787,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Duck Validation",2004,69882,13.25,925937
"788",788,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Lifetime Duck Validation",2004,1477,10,14770
"789",789,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Waterfowl Reservation Application",2004,667122,1.25,833903
"790",790,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","1-Day Type A Wildlife Area Permit",2004,36609,13.5,494222
"791",791,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","2-Day Type A Wildlife Area Pass",2004,3414,22.5,76815
"792",792,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Type A Wildlife Area Season Pass",2004,3186,105.25,335327
"793",793,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Type B Wildlife Area Season Pass",2004,1156,35,40460
"794",794,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Upland Game Bird Validation",2004,190263,6.5,1236710
"795",795,"tabula-2000s Items Hunting.csv","2000s","Game Bird Hunting","Lifetime Upland Game Bird Validation",2004,1471,6.25,9194
"796",796,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Resident Hunting (Annual)",2005,262229,31.75,8325771
"797",797,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Lifetime Hunting",2005,3144,29.25,91962
"798",798,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Junior Hunting (Annual)",2005,22884,8.25,188793
"799",799,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Lifetime Junior Hunting",2005,459,7.25,3328
"800",800,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Disabled Veteran Hunting",2005,1195,5.25,6274
"801",801,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Non-Resident Hunting (Annual)",2005,4210,110.25,464153
"802",802,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Non-Resident 1-Day Hunting",2005,921,15.25,14045
"803",803,"tabula-2000s Items Hunting.csv","2000s","Hunting Licenses","Non-Resident 2-Day Hunting",2005,3170,31.75,100648
"804",804,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Resident First Deer Tag",2005,141674,18,2550132
"805",805,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Non-Resident First Deer Tag",2005,965,183.25,176836
"806",806,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Resident Second Deer Tag",2005,45279,23.25,1052737
"807",807,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Non-Resident Second Deer Tag",2005,89,183.25,16309
"808",808,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Lifetime Deer Tag",2005,1365,19.25,26276
"809",809,"tabula-2000s Items Hunting.csv","2000s","Deer Tags","Duplicate/Exchange Deer Tag",2005,1198,7.25,8686
"810",810,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Resident Pronghorn Antelope Tag",2005,268,101.25,27135
"811",811,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Non-Resident Pronghorn Antelope Tag",2005,NA,NA,NA
"812",812,"tabula-2000s Items Hunting.csv","2000s","Antelope, Bighorn Sheep, Elk Tags","Resident Bighorn Sheep Tag",2005,14,285.75,4001
