"year","filename","region","port_complex","anglers_n","cpfvs_n","landings_n"
2000,"landings00_cpfv2.pdf","Northern","Avila Beach-Morro Bay",17768,12,123801
2000,"landings00_cpfv2.pdf","Northern","Fort Bragg-Eureka-Crescent City",11630,15,54070
2000,"landings00_cpfv2.pdf","Northern","Monterey-Moss Landing-Santa Cruz",38371,20,146928
2000,"landings00_cpfv2.pdf","Northern","Princeton-Bodega Bay",27533,21,154907
2000,"landings00_cpfv2.pdf","Northern","San Francisco-SF Bay-Delta",58751,45,139744
2000,"landings00_cpfv2.pdf","Southern","Newport Beach",57502,22,247754
2000,"landings00_cpfv2.pdf","Southern","Oceanside-Dana Harbor",68551,29,273628
2000,"landings00_cpfv2.pdf","Southern","Port Hueneme-Oxnard-Ventura-Santa Barbara",73538,35,375934
2000,"landings00_cpfv2.pdf","Southern","Redondo-Marina del Rey-Malibu",63765,13,326770
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay",165447,78,561388
2000,"landings00_cpfv2.pdf","Southern","Seal Beach-Long Beach-San Pedro",147559,54,891499
2001,"landings01_cpfv2.pdf","Northern","Avila Beach-Morro Bay",15864,9,113708
2001,"landings01_cpfv2.pdf","Northern","Fort Bragg-Eureka-Crescent City",13823,15,43767
2001,"landings01_cpfv2.pdf","Northern","Monterey-Moss Landing-Santa Cruz",27565,19,109355
2001,"landings01_cpfv2.pdf","Northern","Princeton-Bodega Bay",25626,21,138321
2001,"landings01_cpfv2.pdf","Northern","San Francisco-SF Bay-Delta",55966,48,105440
2001,"landings01_cpfv2.pdf","Southern","Newport Beach",59527,21,270004
2001,"landings01_cpfv2.pdf","Southern","Oceanside-Dana Harbor",60010,23,229364
2001,"landings01_cpfv2.pdf","Southern","Port Hueneme-Oxnard-Ventura-Santa Barbara",68671,33,344672
2001,"landings01_cpfv2.pdf","Southern","Redondo-Marina del Rey-Malibu",59922,21,269316
2001,"landings01_cpfv2.pdf","Southern","San Diego-Mission Bay",182428,81,621339
2001,"landings01_cpfv2.pdf","Southern","Seal Beach-Long Beach-San Pedro",140184,60,890921
2002,"landings02_cpfv2.pdf","Northern","Avila Beach-Morro Bay",17606,13,145398
2002,"landings02_cpfv2.pdf","Northern","Fort Bragg-Eureka-Crescent City",13790,16,59610
2002,"landings02_cpfv2.pdf","Northern","Monterey-Moss Landing-Santa Cruz",30331,21,141786
2002,"landings02_cpfv2.pdf","Northern","Princeton-Bodega Bay",22777,25,113996
2002,"landings02_cpfv2.pdf","Northern","San Francisco-SF Bay-Delta",56131,50,135360
2002,"landings02_cpfv2.pdf","Southern","Newport Beach",58268,26,309687
2002,"landings02_cpfv2.pdf","Southern","Oceanside-Dana Harbor",66344,29,270159
2002,"landings02_cpfv2.pdf","Southern","Port Hueneme-Oxnard-Ventura-Santa Barbara",45404,27,290412
2002,"landings02_cpfv2.pdf","Southern","Redondo-Marina del Rey-Malibu",46731,22,198336
2002,"landings02_cpfv2.pdf","Southern","San Diego-Mission Bay",152848,80,747101
2002,"landings02_cpfv2.pdf","Southern","Seal Beach-Long Beach-San Pedro",125229,63,787881
2003,"landings03_cpfv2.pdf","Northern","Avila Beach-Morro Bay",14319,11,121193
2003,"landings03_cpfv2.pdf","Northern","Fort Bragg-Eureka-Crescent City",14225,16,70159
2003,"landings03_cpfv2.pdf","Northern","Monterey-Moss Landing-Santa Cruz",23440,20,135246
2003,"landings03_cpfv2.pdf","Northern","Princeton-Bodega Bay",19379,24,101469
2003,"landings03_cpfv2.pdf","Northern","San Francisco-SF Bay-Delta",52747,44,150031
2003,"landings03_cpfv2.pdf","Southern","Newport Beach",47551,23,188155
2003,"landings03_cpfv2.pdf","Southern","Oceanside-Dana Harbor",60627,28,169145
2003,"landings03_cpfv2.pdf","Southern","Port Hueneme-Oxnard-Ventura-Santa Barbara",38253,29,217264
2003,"landings03_cpfv2.pdf","Southern","Redondo-Marina del Rey-Malibu",39494,13,156863
2003,"landings03_cpfv2.pdf","Southern","San Diego-Mission Bay",147700,105,682838
2003,"landings03_cpfv2.pdf","Southern","Seal Beach-Long Beach-San Pedro",102758,56,528039
2004,"landings04_cpfv2.pdf","Northern","Avila Beach-Morro Bay",17481,11,155370
2004,"landings04_cpfv2.pdf","Northern","Fort Bragg-Eureka-Crescent City",16543,15,80606
2004,"landings04_cpfv2.pdf","Northern","Monterey-Moss Landing-Santa Cruz",25381,21,107092
2004,"landings04_cpfv2.pdf","Northern","Princeton-Bodega Bay",25067,28,100231
2004,"landings04_cpfv2.pdf","Northern","San Francisco-SF Bay-Delta",58545,50,182583
2004,"landings04_cpfv2.pdf","Southern","Newport Beach",50659,29,227413
2004,"landings04_cpfv2.pdf","Southern","Oceanside-Dana Harbor",61068,22,226126
2004,"landings04_cpfv2.pdf","Southern","Port Hueneme-Oxnard-Ventura-Santa Barbara",43753,29,351070
2004,"landings04_cpfv2.pdf","Southern","Redondo-Marina del Rey-Malibu",47098,16,239669
2004,"landings04_cpfv2.pdf","Southern","San Diego-Mission Bay",149383,98,699067
2004,"landings04_cpfv2.pdf","Southern","Seal Beach-Long Beach-San Pedro",105463,62,662390
2005,"landings05_cpfv2.pdf","Northern","Avila Beach-Morro Bay",16892,6,159203
2005,"landings05_cpfv2.pdf","Northern","Fort Bragg-Eureka-Crescent City",15301,14,81779
2005,"landings05_cpfv2.pdf","Northern","Monterey-Moss Landing-Santa Cruz",24512,19,136252
