"year","filename","region","port_complex","comm_name_orig","comm_name","sci_name","landings_n"
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Barracuda, California","California barracuda","Sphyraena argentea",30536
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, barred sand","Barred sand bass","Paralabrax nebulifer",55318
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, kelp (calico)","Kelp bass","Paralabrax clathratus",42424
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, striped","Striped bass","Morone saxatilis",0
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Bonito, Pacific","Pacific bonito","Sarda chiliensis",8722
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Cabezon","Cabezon","Scorpaenichthys marmoratus",60
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Croaker, white","White croaker (kingfish)","Genyonemus lineatus",1677
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Fishes, unspecified","Fish","Osteichthyes spp.",5347
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Flatfishes, unspecified","Flatfish","Pleuronectiformes spp.",425
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Greenling, kelp","Kelp greenling","Hexagrammos decagrammus",0
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Halibut, California","California halibut","Paralichthys californicus",431
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Invertebrates, unspecified","Invertebrate","Invertebrate spp.",826
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Lingcod","Lingcod","Ophiodon elongatus",177
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Mackerel, jack","Pacific jack mackerel","Trachurus symmetricus",618
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Mackerel, Pacific","Pacific mackerel","Scomber japonicus",16636
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Other highly migratory spp","Other highly migratory species","Osteichthyes spp.",113318
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, blue","Blue rockfish","Sebastes mystinus",0
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, canary","Canary rockfish","Sebastes pinniger",0
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, copper","Copper rockfish","Sebastes caurinus",0
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, gopher","Gopher rockfish","Sebastes carnatus",0
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, yelloweye","Yelloweye rockfish","Sebastes ruberrimus",0
