"year","filename","region","species","landings_n"
2000,"landings00_cpfv1.pdf","All","Barracuda, California",256921
2000,"landings00_cpfv1.pdf","All","Bass, barred sand",737610
2000,"landings00_cpfv1.pdf","All","Bass, giant (black) sea",1
2000,"landings00_cpfv1.pdf","All","Bass, kelp (calico)",277206
2000,"landings00_cpfv1.pdf","All","Bass, striped",18501
2000,"landings00_cpfv1.pdf","All","Bonito, Pacific",44610
2000,"landings00_cpfv1.pdf","All","Cabezon",3417
2000,"landings00_cpfv1.pdf","All","Croaker, unspecified",425
2000,"landings00_cpfv1.pdf","All","Croaker, white",7421
2000,"landings00_cpfv1.pdf","All","Dolphinfish",16468
2000,"landings00_cpfv1.pdf","All","Fishes, unspecified",6973
2000,"landings00_cpfv1.pdf","All","Flatfishes, unspecified",99672
2000,"landings00_cpfv1.pdf","All","Greenling, kelp",387
2000,"landings00_cpfv1.pdf","All","Halfmoon",32399
2000,"landings00_cpfv1.pdf","All","Halibut, California",15865
2000,"landings00_cpfv1.pdf","All","Invertebrates, unspecified",58405
2000,"landings00_cpfv1.pdf","All","Lingcod",10699
2000,"landings00_cpfv1.pdf","All","Mackerel, jack",6370
2000,"landings00_cpfv1.pdf","All","Mackerel, Pacific",112078
2000,"landings00_cpfv1.pdf","All","Marlin, striped",3
2000,"landings00_cpfv1.pdf","All","Rockfish, blue",19
2000,"landings00_cpfv1.pdf","All","Rockfish, gopher",3
2000,"landings00_cpfv1.pdf","All","Rockfishes, unspecified",791992
2000,"landings00_cpfv1.pdf","All","Salmon, king (Chinook)",76781
2000,"landings00_cpfv1.pdf","All","Salmon, unspecified",35
2000,"landings00_cpfv1.pdf","All","Sanddab",5611
2000,"landings00_cpfv1.pdf","All","Scorpionfish, California",169417
2000,"landings00_cpfv1.pdf","All","Seabass, white",17498
2000,"landings00_cpfv1.pdf","All","Shark, blue",217
2000,"landings00_cpfv1.pdf","All","Shark, bonito (mako)",206
2000,"landings00_cpfv1.pdf","All","Shark, leopard",345
2000,"landings00_cpfv1.pdf","All","Shark, unspecified",685
2000,"landings00_cpfv1.pdf","All","Sheephead, California",32686
2000,"landings00_cpfv1.pdf","All","Sturgeon, unspecified",339
2000,"landings00_cpfv1.pdf","All","Tuna, albacore",127677
2000,"landings00_cpfv1.pdf","All","Tuna, bluefin",20715
2000,"landings00_cpfv1.pdf","All","Tuna, skipjack",3030
2000,"landings00_cpfv1.pdf","All","Tuna, yellowfin",88613
2000,"landings00_cpfv1.pdf","All","Wahoo",5095
2000,"landings00_cpfv1.pdf","All","Whitefish, ocean",144060
2000,"landings00_cpfv1.pdf","All","Yellowtail",105968
2000,"landings00_cpfv1.pdf","Mexico","Barracuda, California",10702
2000,"landings00_cpfv1.pdf","Mexico","Bass, barred sand",18852
2000,"landings00_cpfv1.pdf","Mexico","Bass, giant (black) sea",1
2000,"landings00_cpfv1.pdf","Mexico","Bass, kelp (calico)",9987
2000,"landings00_cpfv1.pdf","Mexico","Bass, striped",0
2000,"landings00_cpfv1.pdf","Mexico","Bonito, Pacific",4691
2000,"landings00_cpfv1.pdf","Mexico","Cabezon",26
2000,"landings00_cpfv1.pdf","Mexico","Croaker, unspecified",0
2000,"landings00_cpfv1.pdf","Mexico","Croaker, white",31
2000,"landings00_cpfv1.pdf","Mexico","Dolphinfish",12101
2000,"landings00_cpfv1.pdf","Mexico","Fishes, unspecified",630
2000,"landings00_cpfv1.pdf","Mexico","Flatfishes, unspecified",249
2000,"landings00_cpfv1.pdf","Mexico","Greenling, kelp",0
2000,"landings00_cpfv1.pdf","Mexico","Halfmoon",6
2000,"landings00_cpfv1.pdf","Mexico","Halibut, California",48
2000,"landings00_cpfv1.pdf","Mexico","Invertebrates, unspecified",135
2000,"landings00_cpfv1.pdf","Mexico","Lingcod",149
2000,"landings00_cpfv1.pdf","Mexico","Mackerel, jack",213
2000,"landings00_cpfv1.pdf","Mexico","Mackerel, Pacific",245
2000,"landings00_cpfv1.pdf","Mexico","Marlin, striped",1
2000,"landings00_cpfv1.pdf","Mexico","Rockfish, blue",0
2000,"landings00_cpfv1.pdf","Mexico","Rockfish, gopher",0
2000,"landings00_cpfv1.pdf","Mexico","Rockfishes, unspecified",17790
2000,"landings00_cpfv1.pdf","Mexico","Salmon, king (Chinook)",4
2000,"landings00_cpfv1.pdf","Mexico","Salmon, unspecified",0
2000,"landings00_cpfv1.pdf","Mexico","Sanddab",30
2000,"landings00_cpfv1.pdf","Mexico","Scorpionfish, California",5981
2000,"landings00_cpfv1.pdf","Mexico","Seabass, white",104
2000,"landings00_cpfv1.pdf","Mexico","Shark, blue",9
2000,"landings00_cpfv1.pdf","Mexico","Shark, bonito (mako)",36
2000,"landings00_cpfv1.pdf","Mexico","Shark, leopard",0
2000,"landings00_cpfv1.pdf","Mexico","Shark, unspecified",1
2000,"landings00_cpfv1.pdf","Mexico","Sheephead, California",966
2000,"landings00_cpfv1.pdf","Mexico","Sturgeon, unspecified",0
2000,"landings00_cpfv1.pdf","Mexico","Tuna, albacore",104763
2000,"landings00_cpfv1.pdf","Mexico","Tuna, bluefin",19045
2000,"landings00_cpfv1.pdf","Mexico","Tuna, skipjack",2840
2000,"landings00_cpfv1.pdf","Mexico","Tuna, yellowfin",75680
2000,"landings00_cpfv1.pdf","Mexico","Wahoo",5080
2000,"landings00_cpfv1.pdf","Mexico","Whitefish, ocean",13906
2000,"landings00_cpfv1.pdf","Mexico","Yellowtail",73178
2001,"landings01_cpfv1.pdf","All","Barracuda, California",266660
2001,"landings01_cpfv1.pdf","All","Bass, barred sand",596510
2001,"landings01_cpfv1.pdf","All","Bass, giant (black) sea",72
2001,"landings01_cpfv1.pdf","All","Bass, kelp (calico)",304024
2001,"landings01_cpfv1.pdf","All","Bass, striped",10874
2001,"landings01_cpfv1.pdf","All","Blacksmith",1905
2001,"landings01_cpfv1.pdf","All","Bonito, Pacific",17215
2001,"landings01_cpfv1.pdf","All","Cabezon",6431
2001,"landings01_cpfv1.pdf","All","Croaker, unspecified",760
2001,"landings01_cpfv1.pdf","All","Croaker, white",4737
2001,"landings01_cpfv1.pdf","All","Dolphinfish",3796
2001,"landings01_cpfv1.pdf","All","Fishes, unspecified (jumbo squid included)",9548
2001,"landings01_cpfv1.pdf","All","Flatfishes, unspecified",134574
2001,"landings01_cpfv1.pdf","All","Halfmoon",97407
2001,"landings01_cpfv1.pdf","All","Halibut, California",20600
2001,"landings01_cpfv1.pdf","All","Invertebrates, unspecified",48237
2001,"landings01_cpfv1.pdf","All","Lingcod",11378
2001,"landings01_cpfv1.pdf","All","Mackerel, jack",5492
2001,"landings01_cpfv1.pdf","All","Mackerel, Pacific",108785
2001,"landings01_cpfv1.pdf","All","Marlin, striped",0
2001,"landings01_cpfv1.pdf","All","Queenfish",0
2001,"landings01_cpfv1.pdf","All","Rockfishes, unspecified",759818
2001,"landings01_cpfv1.pdf","All","Salmon, king (Chinook)",43314
2001,"landings01_cpfv1.pdf","All","Salmon, silver (coho)",20
2001,"landings01_cpfv1.pdf","All","Salmon, unspecified",1630
2001,"landings01_cpfv1.pdf","All","Scorpionfish, California",161104
2001,"landings01_cpfv1.pdf","All","Seabass, white",10342
2001,"landings01_cpfv1.pdf","All","Shark, blue",212
2001,"landings01_cpfv1.pdf","All","Shark, bonito (mako)",237
2001,"landings01_cpfv1.pdf","All","Shark, leopard",381
2001,"landings01_cpfv1.pdf","All","Shark, sevengill",19
2001,"landings01_cpfv1.pdf","All","Shark, unspecified",481
2001,"landings01_cpfv1.pdf","All","Sheephead, California",39154
2001,"landings01_cpfv1.pdf","All","Sturgeon, unspecified",205
2001,"landings01_cpfv1.pdf","All","Tuna, albacore",236819
2001,"landings01_cpfv1.pdf","All","Tuna, bluefin",20985
