"","year","comm_name_orig","California","North","South","Unknown","Total"
"1",2019,"Anchovy, northern","22,408,988","0","0","0","22,408,988"
"2",2019,"Barracuda, California","786","0","0","0","786"
"3",2019,"Bass, giant sea","9,073","0","0","0","9,073"
"4",2019,"Bass, kelp","7","0","0","30","37"
"5",2019,"Blacksmith","4","0","0","0","4"
"6",2019,"Bonito, Pacific","5,993","0","0","0","5,993"
"7",2019,"Bullhead, brown","94","0","0","0","94"
"8",2019,"Butterfish (Pacific pompano)","7,634","0","0","0","7,634"
"9",2019,"Cabezon","50,895","0","0","390","51,285"
"10",2019,"Cod, Pacific","4","0","0","0","4"
"11",2019,"Croaker, unspecifed","3,502","0","0","0","3,502"
"12",2019,"Croaker, white","43,055","0","0","0","43,055"
"13",2019,"Croaker, yellowfin","285","0","0","0","285"
"14",2019,"Dolphin (fish)","738","0","4,664","38,720","44,122"
"15",2019,"Eel","5","0","0","0","5"
"16",2019,"Eel, California moray","115","0","0","0","115"
"17",2019,"Eel, wolf (wolf-eel)","56","0","0","0","56"
"18",2019,"Escolar","3,318","0","1,493","28,250","33,061"
"19",2019,"Fish, unspecified","18,434","0","0","185","18,619"
"20",2019,"Flounder, arrowtooth","27,530","0","0","0","27,530"
"21",2019,"Flounder, starry","19,936","0","0","3","19,938"
"22",2019,"Flounder, unspecified","78","0","0","0","78"
"23",2019,"Flyingfish","9,283","0","0","0","9,283"
"24",2019,"Goby, yellowfin","61","0","0","0","61"
"25",2019,"Greenling, kelp","6,187","0","0","48","6,235"
"26",2019,"Greenling, rock","624","0","0","0","624"
"27",2019,"Grenadier","30,325","0","0","0","30,325"
"28",2019,"Grouper","10","0","0","0","10"
"29",2019,"Guitarfish, shovelnose","629","0","0","0","629"
"30",2019,"Hagfish, Pacific","1,194,644","0","0","0","1,194,644"
"31",2019,"Hagfish, unspecified","77,048","0","0","0","77,048"
"32",2019,"Halfmoon","18","0","0","0","18"
"33",2019,"Halibut, California","714,901","0","0","104","715,005"
"34",2019,"Halibut, Pacific","10,567","0","0","0","10,567"
"35",2019,"Halibut, unspecified","392","0","0","6","398"
"36",2019,"Herring, Pacific","137","0","0","0","137"
"37",2019,"Herring, round","9,594","0","0","0","9,594"
"38",2019,"Jacks, unspecified","42","0","0","0","42"
"39",2019,"Jacksmelt","22,566","0","0","0","22,566"
"40",2019,"Kelpfishes","27","0","0","0","27"
"41",2019,"Lamprey, Pacific","21","0","0","0","21"
"42",2019,"Lingcod","598,321","0","0","686","599,008"
"43",2019,"Lizardfish, California","5,422","0","0","0","5,422"
"44",2019,"Louvar","59","0","0","0","59"
"45",2019,"Mackerel, jack","20,523","0","0","0","20,523"
"46",2019,"Mackerel, Pacific","8,313,915","0","0","0","8,313,915"
"47",2019,"Mackerel, unspecified","4,581","0","0","36","4,617"
"48",2019,"Midshipman, plainfin","427","0","0","0","427"
"49",2019,"Mullet, striped","1","0","0","0","1"
"50",2019,"Oilfish","0","0","0","311","311"
"51",2019,"Opah","39,870","0","38,777","595,277","673,924"
"52",2019,"Opaleye","1","0","0","0","1"
"53",2019,"Perch-like, unspecified","7","0","0","0","7"
"54",2019,"Pomfret","2,733","0","2,026","36,758","41,517"
"55",2019,"Prickleback, monkeyface (eel)","156","0","0","0","156"
"56",2019,"Queenfish","566","0","0","0","566"
"57",2019,"Ratfish, spotted","5,180","0","0","0","5,180"
"58",2019,"Ray, bat","13,603","0","0","0","13,603"
"59",2019,"Ray, Pacific electric","18","0","0","0","18"
"60",2019,"Ray, unspecified","32","0","0","0","32"
"61",2019,"Rockfish, aurora","3,414","0","0","0","3,414"
"62",2019,"Rockfish, bank","27,224","0","0","0","27,224"
"63",2019,"Rockfish, black","108,405","0","0","174","108,580"
"64",2019,"Rockfish, black-and-yellow","37,195","0","0","442","37,638"
"65",2019,"Rockfish, blackgill","78,385","0","0","0","78,385"
"66",2019,"Rockfish, blue","38,165","0","0","47","38,212"
"67",2019,"Rockfish, bocaccio","765,051","0","0","0","765,051"
"68",2019,"Rockfish, brown","33,610","0","0","12","33,622"
"69",2019,"Rockfish, calico","3","0","0","0","3"
"70",2019,"Rockfish, canary","408,886","0","0","26","408,912"
"71",2019,"Rockfish, chilipepper","1,115,667","0","0","0","1,115,667"
"72",2019,"Rockfish, China","2,190","0","0","0","2,190"
"73",2019,"Rockfish, copper","31,786","0","0","0","31,786"
"74",2019,"Rockfish, cowcod","1,758","0","0","0","1,758"
"75",2019,"Rockfish, darkblotched","41,296","0","0","0","41,296"
"76",2019,"Rockfish, flag","333","0","0","0","333"
"77",2019,"Rockfish, gopher","65,335","0","0","88","65,423"
"78",2019,"Rockfish, grass","23,167","0","0","551","23,718"
"79",2019,"Rockfish, greenblotched","891","0","0","0","891"
"80",2019,"Rockfish, greenspotted","6,767","0","0","0","6,767"
"81",2019,"Rockfish, greenstriped","4,262","0","0","0","4,262"
"82",2019,"Rockfish, group black/blue","30","0","0","0","30"
"83",2019,"Rockfish, group bolina","4,703","0","0","283","4,986"
"84",2019,"Rockfish, group","48","0","0","0","48"
"85",2019,"Rockfish, group deep","247","0","0","0","247"
"86",2019,"Rockfish, group deepwater","209","0","0","0","209"
"87",2019,"Rockfish, group gopher","170","0","0","0","170"
"88",2019,"Rockfish, group nearshore","4","0","0","0","4"
"89",2019,"Rockfish, group red","97","0","0","0","97"
"90",2019,"Rockfish, group rosefish","20","0","0","0","20"
"91",2019,"Rockfish, group shelf","172,117","0","0","707","172,824"
"92",2019,"Rockfish, group slope","76,126","0","0","0","76,126"
"93",2019,"Rockfish, honeycomb","175","0","0","0","175"
"94",2019,"Rockfish, kelp","1,982","0","0","0","1,982"
"95",2019,"Rockfish, Mexican","819","0","0","0","819"
"96",2019,"Rockfish, olive","3,544","0","0","12","3,556"
"97",2019,"Rockfish, Pacific ocean perch","84","0","0","0","84"
"98",2019,"Rockfish, pink","316","0","0","0","316"
"99",2019,"Rockfish, quillback","8,518","0","0","0","8,518"
"100",2019,"Rockfish, redbanded","4,634","0","0","0","4,634"
"101",2019,"Rockfish, rosethorn","79","0","0","0","79"
"102",2019,"Rockfish, rosy","1,116","0","0","0","1,116"
"103",2019,"Rockfish, rougheye","2,302","0","0","0","2,302"
"104",2019,"Rockfish, shortbelly","8,531","0","0","0","8,531"
"105",2019,"Rockfish, shortraker","55","0","0","0","55"
"106",2019,"Rockfish, speckled","1,130","0","0","0","1,130"
"107",2019,"Rockfish, splitnose","18,783","0","0","0","18,783"
"108",2019,"Rockfish, squarespot","107","0","0","0","107"
"109",2019,"Rockfish, starry","5,018","0","0","0","5,018"
"110",2019,"Rockfish, stripetail","2,604","0","0","0","2,604"
"111",2019,"Rockfish, treefish","5,093","0","0","0","5,093"
"112",2019,"Rockfish, unspecified","2,306","0","0","0","2,306"
"113",2019,"Rockfish, vermilion","150,769","0","0","72","150,841"
"114",2019,"Rockfish, widow","341,196","0","0","0","341,196"
"115",2019,"Rockfish, yelloweye","72","0","0","0","72"
"116",2019,"Rockfish, yellowtail","42,165","0","0","0","42,165"
"117",2019,"Sablefish","3,116,227","0","0","6,271","3,122,499"
"118",2019,"Salmon","17,101","0","0","0","17,101"
"119",2019,"Salmon, Chinook","2,570,323","0","0","3,512","2,573,835"
"120",2019,"Salmon, Roe (Chinook, Coho)","866","0","0","4","870"
"121",2019,"Sanddab","9,305","0","0","0","9,305"
"122",2019,"Sanddab, Pacific","64,324","0","0","0","64,324"
"123",2019,"Sardine, Pacific","4,079,776","0","0","0","4,079,776"
"124",2019,"Sargo","1","0","0","0","1"
"125",2019,"Saury, Pacific","8","0","0","0","8"
"126",2019,"Scorpionfish, California","3,338","0","0","0","3,338"
"127",2019,"Sculpin, staghorn","70","0","0","0","70"
"128",2019,"Sculpin, yellowchin","20","0","0","0","20"
"129",2019,"Seabass, white","151,348","0","205","28","151,581"
"130",2019,"Seaperch, striped","1,098","0","0","0","1,098"
"131",2019,"Shad, American","549","0","0","0","549"
"132",2019,"Shad, threadfin","14,178","0","0","0","14,178"
"133",2019,"Shark, bigeye thresher","1,132","0","0","116","1,248"
"134",2019,"Shark, blue","201","0","0","17,370","17,571"
"135",2019,"Shark, brown smoothhound","396","0","0","0","396"
"136",2019,"Shark, gray smoothhound","920","0","0","0","920"
"137",2019,"Shark, horn","20","0","0","0","20"
"138",2019,"Shark, leopard","8,591","0","0","55","8,646"
"139",2019,"Shark, Pacific angel","34,509","0","0","0","34,509"
"140",2019,"Shark, pelagic thresher","6,909","0","0","1,186","8,095"
"141",2019,"Shark, salmon","357","0","0","0","357"
