Species,All_2012,Mexico_2012,All_2011,Mexico_2011
"Barracuda, California","57,455","6,227","86,812","6,361"
"Bass, barred sand","101,574","3,307","137,335","14,217"
"Bass, giant (black) sea",0,0,2,1
"Bass, kelp (calico)","140,083","3,656","165,542","5,594"
"Bass, striped","1,050",0,"6,340",0
"Bonito, Pacific","1,329",75,"4,470",243
Cabezon,"3,316",47,"3,185",24
"Croaker, unspecified***",230,0,123,0
"Croaker, white","1,757",44,"1,164",1
Dolphinfish,"36,064","29,713","8,592","8,426"
"Fishes, unspecified***","26,527",433,"25,833",691
"Flatfishes, unspecified***","5,299",0,"1,941",24
"Greenling, kelp","2,556",0,"2,752",0
Halfmoon,"48,802",89,"50,616",5
"Halibut, California","3,962",234,"5,679",98
"Invertebrates, unspecified****","97,149",0,"144,862",288
Lingcod,"39,842","2,371","29,900","2,361"
"Mackerel, jack","1,404",0,947,39
"Mackerel, Pacific","18,090",37,"20,332",265
"Marlin, striped",5,3,3,3
"Rockfish, blue","63,904",52,"90,680",36
"Rockfish, gopher","52,453",561,"78,669","1,302"
"Rockfishes, unspecified***","1,143,701","18,600","1,053,421","53,106"
"Salmon, king (Chinook)","39,865",0,"16,914",0
"Salmon, unspecified***",4,0,44,0
Sanddab,"257,636",35,"192,452",862
"Scorpionfish, California","166,843","3,766","163,689","10,829"
"Seabass, white","4,322",128,"5,700",264
"Shark, blue",15,0,6,0
"Shark, bonito (mako)",221,82,64,12
"Shark, leopard",209,1,325,0
"Shark, unspecified***",251,2,479,4
"Sheephead, California","32,254",506,"31,848","1,078"
"Sturgeon, unspecified***",106,0,220,0
"Tuna, albacore","6,028","1,690",935,254
"Tuna, bluefin","39,999","34,369","31,494","28,751"
"Tuna, skipjack",833,767,712,490
"Tuna, yellowfin","86,192","79,801","36,374","35,138"
Wahoo,"4,987","4,987","2,833","2,833"
"Whitefish, ocean","48,175","2,346","46,946","8,616"
Yellowtail,"125,490","111,650","73,249","69,939"
Total Landings:,"2,659,982","305,579","2,523,484","252,155"
Number of Anglers:,"508,068","50,008","455,950","39,468"
Reporting CPFVs:,321,87,303,71
