"SEASON","FISHERY_CODE","FISHERY_NAME","QUOTA_TYPE","QUOTA_HOLDERS","FIRST_QUARTILE_SHARE","MEDIAN_SHARE","THIRD_QUARTILE_SHARE","MAXIMUM_SHARE","GINI_COEFFICIENT","LOAD_DATE"
"Initial allocation","BBR","BRISTOL BAY RED KING CRAB","Crew QS",181,.39,.52,.71,1.23,.216,"12/10/2021"
"2005/2006","BBR","BRISTOL BAY RED KING CRAB","Crew QS",168,.39,.53,.72,2,.27,"12/10/2021"
"2006/2007","BBR","BRISTOL BAY RED KING CRAB","Crew QS",156,.41,.54,.75,2,.292,"12/10/2021"
"2007/2008","BBR","BRISTOL BAY RED KING CRAB","Crew QS",151,.4,.54,.77,2,.312,"12/10/2021"
"2008/2009","BBR","BRISTOL BAY RED KING CRAB","Crew QS",144,.42,.56,.86,2,.313,"12/10/2021"
"2009/2010","BBR","BRISTOL BAY RED KING CRAB","Crew QS",141,.42,.55,.9,2,.329,"12/10/2021"
"2010/2011","BBR","BRISTOL BAY RED KING CRAB","Crew QS",140,.42,.55,.9,2,.335,"12/10/2021"
"2011/2012","BBR","BRISTOL BAY RED KING CRAB","Crew QS",140,.42,.55,.9,2,.345,"12/10/2021"
"2012/2013","BBR","BRISTOL BAY RED KING CRAB","Crew QS",137,.42,.56,.9,2,.349,"12/10/2021"
"2013/2014","BBR","BRISTOL BAY RED KING CRAB","Crew QS",132,.42,.56,.91,2,.347,"12/10/2021"
"2014/2015","BBR","BRISTOL BAY RED KING CRAB","Crew QS",128,.43,.56,.98,2,.354,"12/10/2021"
"2015/2016","BBR","BRISTOL BAY RED KING CRAB","Crew QS",127,.43,.57,.98,2,.355,"12/10/2021"
"2016/2017","BBR","BRISTOL BAY RED KING CRAB","Crew QS",123,.44,.57,1.07,2,.361,"12/10/2021"
"2017/2018","BBR","BRISTOL BAY RED KING CRAB","Crew QS",111,.47,.65,1.25,2,.352,"12/10/2021"
"2018/2019","BBR","BRISTOL BAY RED KING CRAB","Crew QS",109,.48,.7,1.23,2,.344,"12/10/2021"
"2019/2020","BBR","BRISTOL BAY RED KING CRAB","Crew QS",107,.48,.7,1.28,2,.347,"12/10/2021"
"2020/2021","BBR","BRISTOL BAY RED KING CRAB","Crew QS",103,.48,.71,1.4,2,.346,"12/10/2021"
"Initial allocation","BBR","BRISTOL BAY RED KING CRAB","Owner QS",252,.21,.36,.5,2.24,.365,"12/10/2021"
"2005/2006","BBR","BRISTOL BAY RED KING CRAB","Owner QS",252,.2,.35,.5,2.62,.381,"12/10/2021"
"2006/2007","BBR","BRISTOL BAY RED KING CRAB","Owner QS",245,.2,.34,.51,3.49,.395,"12/10/2021"
"2007/2008","BBR","BRISTOL BAY RED KING CRAB","Owner QS",249,.18,.34,.5,4.25,.406,"12/10/2021"
"2008/2009","BBR","BRISTOL BAY RED KING CRAB","Owner QS",248,.18,.33,.51,4.25,.424,"12/10/2021"
"2009/2010","BBR","BRISTOL BAY RED KING CRAB","Owner QS",256,.15,.31,.5,4.79,.443,"12/10/2021"
"2010/2011","BBR","BRISTOL BAY RED KING CRAB","Owner QS",257,.14,.29,.5,4.98,.471,"12/10/2021"
"2011/2012","BBR","BRISTOL BAY RED KING CRAB","Owner QS",257,.13,.29,.5,5,.475,"12/10/2021"
"2012/2013","BBR","BRISTOL BAY RED KING CRAB","Owner QS",258,.13,.29,.49,5,.482,"12/10/2021"
"2013/2014","BBR","BRISTOL BAY RED KING CRAB","Owner QS",255,.13,.29,.49,5,.491,"12/10/2021"
"2014/2015","BBR","BRISTOL BAY RED KING CRAB","Owner QS",249,.12,.29,.48,5,.514,"12/10/2021"
"2015/2016","BBR","BRISTOL BAY RED KING CRAB","Owner QS",247,.12,.3,.48,5,.511,"12/10/2021"
"2016/2017","BBR","BRISTOL BAY RED KING CRAB","Owner QS",246,.12,.31,.49,5,.511,"12/10/2021"
"2017/2018","BBR","BRISTOL BAY RED KING CRAB","Owner QS",248,.12,.3,.49,5,.515,"12/10/2021"
"2018/2019","BBR","BRISTOL BAY RED KING CRAB","Owner QS",243,.13,.31,.5,5,.514,"12/10/2021"
"2019/2020","BBR","BRISTOL BAY RED KING CRAB","Owner QS",241,.13,.31,.5,5,.516,"12/10/2021"
"2020/2021","BBR","BRISTOL BAY RED KING CRAB","Owner QS",240,.13,.31,.5,5,.516,"12/10/2021"
"Initial allocation","BBR","BRISTOL BAY RED KING CRAB","Processor QS",17,,1.64,,22.98,.646,"12/10/2021"
"2005/2006","BBR","BRISTOL BAY RED KING CRAB","Processor QS",16,,2.6,,23.16,.632,"12/10/2021"
"2006/2007","BBR","BRISTOL BAY RED KING CRAB","Processor QS",17,,1.64,,22.98,.646,"12/10/2021"
"2007/2008","BBR","BRISTOL BAY RED KING CRAB","Processor QS",17,,1.64,,22.98,.646,"12/10/2021"
"2008/2009","BBR","BRISTOL BAY RED KING CRAB","Processor QS",16,,4.39,,22.98,.574,"12/10/2021"
"2009/2010","BBR","BRISTOL BAY RED KING CRAB","Processor QS",16,,4.39,,22.98,.574,"12/10/2021"
"2010/2011","BBR","BRISTOL BAY RED KING CRAB","Processor QS",16,,4.39,,22.98,.574,"12/10/2021"
"2011/2012","BBR","BRISTOL BAY RED KING CRAB","Processor QS",16,,4.39,,22.98,.574,"12/10/2021"
"2012/2013","BBR","BRISTOL BAY RED KING CRAB","Processor QS",16,,4.39,,22.98,.574,"12/10/2021"
"2013/2014","BBR","BRISTOL BAY RED KING CRAB","Processor QS",16,,4.39,,22.98,.572,"12/10/2021"
"2014/2015","BBR","BRISTOL BAY RED KING CRAB","Processor QS",14,,6.12,,23.2,.538,"12/10/2021"
"2015/2016","BBR","BRISTOL BAY RED KING CRAB","Processor QS",14,,6.12,,23.2,.538,"12/10/2021"
"2016/2017","BBR","BRISTOL BAY RED KING CRAB","Processor QS",14,,6.12,,23.2,.538,"12/10/2021"
"2017/2018","BBR","BRISTOL BAY RED KING CRAB","Processor QS",14,,6.12,,23.2,.538,"12/10/2021"
"2018/2019","BBR","BRISTOL BAY RED KING CRAB","Processor QS",14,,6.12,,23.2,.538,"12/10/2021"
"2019/2020","BBR","BRISTOL BAY RED KING CRAB","Processor QS",14,,6.12,,23.2,.538,"12/10/2021"
"2020/2021","BBR","BRISTOL BAY RED KING CRAB","Processor QS",15,,4.99,,22.04,.526,"12/10/2021"
"Initial allocation","BSS","BERING SEA SNOW CRAB","Crew QS",155,.48,.64,.81,1.59,.214,"12/10/2021"
"2005/2006","BSS","BERING SEA SNOW CRAB","Crew QS",146,.47,.64,.82,1.97,.256,"12/10/2021"
"2006/2007","BSS","BERING SEA SNOW CRAB","Crew QS",136,.48,.66,.84,1.99,.286,"12/10/2021"
"2007/2008","BSS","BERING SEA SNOW CRAB","Crew QS",134,.48,.68,.85,1.99,.29,"12/10/2021"
"2008/2009","BSS","BERING SEA SNOW CRAB","Crew QS",131,.49,.68,.92,1.99,.299,"12/10/2021"
"2009/2010","BSS","BERING SEA SNOW CRAB","Crew QS",127,.48,.69,1,1.99,.31,"12/10/2021"
"2010/2011","BSS","BERING SEA SNOW CRAB","Crew QS",125,.48,.69,1.01,1.99,.312,"12/10/2021"
"2011/2012","BSS","BERING SEA SNOW CRAB","Crew QS",125,.48,.69,.99,1.99,.31,"12/10/2021"
"2012/2013","BSS","BERING SEA SNOW CRAB","Crew QS",124,.49,.69,1.01,1.99,.311,"12/10/2021"
"2013/2014","BSS","BERING SEA SNOW CRAB","Crew QS",124,.47,.69,1.03,1.99,.333,"12/10/2021"
"2014/2015","BSS","BERING SEA SNOW CRAB","Crew QS",121,.49,.7,1.06,1.99,.326,"12/10/2021"
"2015/2016","BSS","BERING SEA SNOW CRAB","Crew QS",120,.5,.7,1.04,1.99,.326,"12/10/2021"
"2016/2017","BSS","BERING SEA SNOW CRAB","Crew QS",117,.5,.71,1.09,1.99,.33,"12/10/2021"
"2017/2018","BSS","BERING SEA SNOW CRAB","Crew QS",109,.52,.79,1.24,1.99,.33,"12/10/2021"
"2018/2019","BSS","BERING SEA SNOW CRAB","Crew QS",108,.52,.79,1.25,1.99,.334,"12/10/2021"
"2019/2020","BSS","BERING SEA SNOW CRAB","Crew QS",103,.57,.81,1.38,1.99,.332,"12/10/2021"
"2020/2021","BSS","BERING SEA SNOW CRAB","Crew QS",96,.59,.84,1.6,1.99,.329,"12/10/2021"
"Initial allocation","BSS","BERING SEA SNOW CRAB","Owner QS",241,.2,.39,.53,2.35,.381,"12/10/2021"
"2005/2006","BSS","BERING SEA SNOW CRAB","Owner QS",238,.2,.38,.53,2.63,.392,"12/10/2021"
"2006/2007","BSS","BERING SEA SNOW CRAB","Owner QS",231,.2,.4,.56,2.66,.4,"12/10/2021"
"2007/2008","BSS","BERING SEA SNOW CRAB","Owner QS",240,.18,.36,.53,3.9,.424,"12/10/2021"
"2008/2009","BSS","BERING SEA SNOW CRAB","Owner QS",242,.17,.35,.53,3.88,.436,"12/10/2021"
"2009/2010","BSS","BERING SEA SNOW CRAB","Owner QS",246,.15,.34,.52,4.92,.463,"12/10/2021"
"2010/2011","BSS","BERING SEA SNOW CRAB","Owner QS",259,.11,.29,.51,4.96,.503,"12/10/2021"
"2011/2012","BSS","BERING SEA SNOW CRAB","Owner QS",257,.11,.3,.51,5,.502,"12/10/2021"
"2012/2013","BSS","BERING SEA SNOW CRAB","Owner QS",261,.11,.27,.51,5,.507,"12/10/2021"
"2013/2014","BSS","BERING SEA SNOW CRAB","Owner QS",260,.1,.26,.51,5,.527,"12/10/2021"
"2014/2015","BSS","BERING SEA SNOW CRAB","Owner QS",261,.09,.25,.5,5,.555,"12/10/2021"
"2015/2016","BSS","BERING SEA SNOW CRAB","Owner QS",263,.09,.25,.5,5,.559,"12/10/2021"
"2016/2017","BSS","BERING SEA SNOW CRAB","Owner QS",261,.09,.26,.5,5,.558,"12/10/2021"
"2017/2018","BSS","BERING SEA SNOW CRAB","Owner QS",264,.08,.25,.5,5,.563,"12/10/2021"
"2018/2019","BSS","BERING SEA SNOW CRAB","Owner QS",263,.07,.25,.5,5,.568,"12/10/2021"
"2019/2020","BSS","BERING SEA SNOW CRAB","Owner QS",266,.07,.25,.5,5,.572,"12/10/2021"
"2020/2021","BSS","BERING SEA SNOW CRAB","Owner QS",268,.06,.25,.49,5,.575,"12/10/2021"
"Initial allocation","BSS","BERING SEA SNOW CRAB","Processor QS",20,,2.08,,25.18,.688,"12/10/2021"
"2005/2006","BSS","BERING SEA SNOW CRAB","Processor QS",19,,3.44,,25.37,.677,"12/10/2021"
"2006/2007","BSS","BERING SEA SNOW CRAB","Processor QS",20,,2.08,,25.18,.688,"12/10/2021"
"2007/2008","BSS","BERING SEA SNOW CRAB","Processor QS",20,,2.08,,25.18,.688,"12/10/2021"
"2008/2009","BSS","BERING SEA SNOW CRAB","Processor QS",20,,2.08,,25.18,.686,"12/10/2021"
"2009/2010","BSS","BERING SEA SNOW CRAB","Processor QS",19,,3.42,,25.18,.671,"12/10/2021"
"2010/2011","BSS","BERING SEA SNOW CRAB","Processor QS",19,,3.42,,25.18,.671,"12/10/2021"
"2011/2012","BSS","BERING SEA SNOW CRAB","Processor QS",19,,3.42,,25.18,.671,"12/10/2021"
