"FMP_AREA","GEAR","SECTOR","GROUNDFISH_TARGET_SPECIES","SPECIES","YEAR","RETCATCH_MT","PERCENT_CATCH_SUPPRESSED"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Target Species","Yellowfin Sole","2003",103,"10-25%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Arrowtooth","Turbot","2003",129,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Processors","All Target Species","Sablefish","2003",627,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Target Species","Sablefish","2003",1261,"1-5%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Processors","All Target Species","Turbot","2003",2502,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Target Species","Turbot","2003",40,"25-50%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Pacific Cod","Sablefish","2003",14,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Pacific Cod","Sablefish","2003",2,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Pacific Cod","Turbot","2003",141,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Pacific Cod","Pollock","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Pacific Cod","Rex Sole","2003",0,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Pacific Cod","Rock Sole","2003",11,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Pacific Cod","Rockfish","2003",15,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Pacific Cod","Rockfish","2003",1,"0%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","Pacific Cod","Arrowtooth","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","Pacific Cod","Atka Mackerel","2003",3,"0%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","Pacific Cod","Other Flatfish","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","Pacific Cod","Flathead Sole","2003",0,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Arrowtooth","Rock Sole","2003",18,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Arrowtooth","Rockfish","2003",103,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Arrowtooth","Sablefish","2003",46,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Sablefish","Rockfish","2003",59,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","All Target Species","All Groundfish","2003",850593,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","All Target Species","All Groundfish","2003",863001,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","All Target Species","Arrowtooth","2003",208,"<1%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","Sablefish","Rockfish","2003",1,"0%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","Sablefish","Sablefish","2003",671,"0%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","Sablefish","Turbot","2003",16,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Atka Mackerel","Rex Sole","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Atka Mackerel","Rock Sole","2003",66,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Atka Mackerel","Rockfish","2003",1393,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Atka Mackerel","Pacific Cod","2003",1906,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Atka Mackerel","Pollock","2003",287,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","All Target Species","Other Groundfish","2003",7570,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","All Target Species","Other Groundfish","2003",4,"50-75%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","All Target Species","Pacific Cod","2003",107241,"<1%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","All Target Species","Pacific Cod","2003",686,"<1%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Sablefish","Arrowtooth","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Sablefish","Arrowtooth","2003",22,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Sablefish","Other Flatfish","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Sablefish","Other Groundfish","2003",1,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Sablefish","Pacific Cod","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Sablefish","Pacific Cod","2003",5,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Sablefish","All Groundfish","2003",466,"1-5%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Sablefish","All Groundfish","2003",491,"<1%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","Sablefish","Arrowtooth","2003",23,"0%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","Sablefish","Atka Mackerel","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","Sablefish","Other Flatfish","2003",0,"0%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","Sablefish","Flathead Sole","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","Sablefish","Other Groundfish","2003",0,"0%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","Sablefish","Pacific Cod","2003",0,"0%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","Sablefish","Pollock","2003",0,"0%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","Pacific Cod","Rockfish","2003",0,"0%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","Pacific Cod","Sablefish","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","Pacific Cod","Yellowfin Sole","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","Sablefish","All Groundfish","2003",712,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Atka Mackerel","Flathead Sole","2003",4,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Atka Mackerel","Other Groundfish","2003",96,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","All Target Species","Atka Mackerel","2003",7,"<1%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","All Target Species","Atka Mackerel","2003",0,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","All Target Species","Other Flatfish","2003",6,"<1%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","All Target Species","Other Flatfish","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","All Target Species","Flathead Sole","2003",83,"1-5%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Atka Mackerel","Other Flatfish","2003",20,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","All Target Species","Arrowtooth","2003",603,"<1%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","All Target Species","Arrowtooth","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Rockfish","Rockfish","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Rockfish","Rockfish","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","All Target Species","All Groundfish","2003",1356,"1-5%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","All Target Species","All Groundfish","2003",124346,"<1%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Pacific Cod","Yellowfin Sole","2003",65,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Rockfish","All Groundfish","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Rockfish","All Groundfish","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","Pacific Cod","Pollock","2003",2,"0%"
"Bering Sea and Aleutian Islands","Pot","Catcher Processors","Pacific Cod","Pollock","2003",8,"0%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","Pacific Cod","Rock Sole","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Atka Mackerel","Atka Mackerel","2003",42519,"0%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","Pacific Cod","Other Groundfish","2003",47,"0%"
"Bering Sea and Aleutian Islands","Pot","Catcher Processors","Pacific Cod","Other Groundfish","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Pot","Catcher Processors","Pacific Cod","Pacific Cod","2003",1547,"0%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","Pacific Cod","Pacific Cod","2003",18232,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Arrowtooth","Yellowfin Sole","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Atka Mackerel","All Groundfish","2003",46520,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Atka Mackerel","Arrowtooth","2003",133,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Processors","All Target Species","Yellowfin Sole","2003",68690,"<1%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Halibut","All Groundfish","2003",206,"<1%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Halibut","Arrowtooth","2003",31,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Halibut","Arrowtooth","2003",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Turbot","Sablefish","2003",92,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Turbot","Sablefish","2003",-9999,"100%"
