"YEAR","FMP_AREA","SPECIES_GROUP","CATCH_MT"
"2003","Bering Sea and Aleutian Islands","Atka Mackerel",58060
"2003","Gulf of Alaska","Atka Mackerel",581
"2003","All Alaska","Atka Mackerel",58641
"2003","Bering Sea and Aleutian Islands","Flatfish",159244
"2003","Gulf of Alaska","Flatfish",41836
"2003","All Alaska","Flatfish",201080
"2003","Bering Sea and Aleutian Islands","Other Groundfish",29112
"2003","Gulf of Alaska","Other Groundfish",6392
"2003","All Alaska","Other Groundfish",35504
"2003","Bering Sea and Aleutian Islands","Pacific Cod",207900
"2003","Gulf of Alaska","Pacific Cod",52582
"2003","All Alaska","Pacific Cod",260482
"2003","Bering Sea and Aleutian Islands","Pollock",1492452
"2003","Gulf of Alaska","Pollock",50684
"2003","All Alaska","Pollock",1543136
"2003","Bering Sea and Aleutian Islands","Rockfish",20832
"2003","Gulf of Alaska","Rockfish",23689
"2003","All Alaska","Rockfish",44521
"2003","Bering Sea and Aleutian Islands","Sablefish",2129
"2003","Gulf of Alaska","Sablefish",15428
"2003","All Alaska","Sablefish",17557
"2003","Bering Sea and Aleutian Islands","All Groundfish",1969730
"2003","Gulf of Alaska","All Groundfish",191192
"2003","All Alaska","All Groundfish",2160922
"2004","Gulf of Alaska","Pacific Cod",56624
"2004","All Alaska","All Groundfish",2168262
"2004","Bering Sea and Aleutian Islands","Pacific Cod",212621
"2004","All Alaska","Pollock",1545554
"2004","All Alaska","Other Groundfish",35166
"2004","Gulf of Alaska","Sablefish",16809
"2004","Gulf of Alaska","Other Groundfish",4697
"2004","All Alaska","Pacific Cod",269245
"2004","Bering Sea and Aleutian Islands","Other Groundfish",30469
"2004","Bering Sea and Aleutian Islands","Sablefish",1996
"2004","All Alaska","Flatfish",198139
"2004","Gulf of Alaska","Pollock",63844
"2004","Gulf of Alaska","Flatfish",23430
"2004","All Alaska","Rockfish",39968
"2004","Bering Sea and Aleutian Islands","Flatfish",174710
"2004","Gulf of Alaska","All Groundfish",188508
"2004","All Alaska","Atka Mackerel",61385
"2004","Gulf of Alaska","Rockfish",22283
"2004","Gulf of Alaska","Atka Mackerel",822
"2004","Bering Sea and Aleutian Islands","Pollock",1481710
"2004","Bering Sea and Aleutian Islands","Atka Mackerel",60563
"2004","Bering Sea and Aleutian Islands","Rockfish",17685
"2004","Bering Sea and Aleutian Islands","All Groundfish",1979754
"2004","All Alaska","Sablefish",18805
"2005","Bering Sea and Aleutian Islands","Pacific Cod",205633
"2005","All Alaska","Other Groundfish",35973
"2005","Gulf of Alaska","Other Groundfish",5304
"2005","Bering Sea and Aleutian Islands","Other Groundfish",30670
"2005","All Alaska","Flatfish",210470
"2005","Gulf of Alaska","Flatfish",29978
"2005","Bering Sea and Aleutian Islands","Flatfish",180492
"2005","All Alaska","Atka Mackerel",62814
"2005","Gulf of Alaska","Atka Mackerel",800
"2005","Bering Sea and Aleutian Islands","Atka Mackerel",62014
"2005","Bering Sea and Aleutian Islands","All Groundfish",1981117
"2005","All Alaska","Sablefish",17588
"2005","Gulf of Alaska","Sablefish",15037
"2005","Bering Sea and Aleutian Islands","Sablefish",2551
"2005","All Alaska","Rockfish",35692
"2005","Gulf of Alaska","Rockfish",20578
"2005","Bering Sea and Aleutian Islands","Rockfish",15114
"2005","All Alaska","Pollock",1565621
"2005","Gulf of Alaska","Pollock",80978
"2005","Bering Sea and Aleutian Islands","Pollock",1484643
"2005","All Alaska","Pacific Cod",253218
"2005","All Alaska","All Groundfish",2181376
"2005","Gulf of Alaska","Pacific Cod",47584
"2005","Gulf of Alaska","All Groundfish",200259
"2006","Bering Sea and Aleutian Islands","All Groundfish",1982557
"2006","Gulf of Alaska","All Groundfish",210339
"2006","All Alaska","All Groundfish",2192896
"2006","All Alaska","Pacific Cod",240926
"2006","Bering Sea and Aleutian Islands","Pollock",1489776
"2006","Gulf of Alaska","Pollock",71976
"2006","All Alaska","Pollock",1561752
"2006","Bering Sea and Aleutian Islands","Rockfish",17697
"2006","Gulf of Alaska","Rockfish",24493
"2006","All Alaska","Rockfish",42190
"2006","Bering Sea and Aleutian Islands","Sablefish",2229
"2006","Gulf of Alaska","Sablefish",14632
"2006","All Alaska","Sablefish",16861
"2006","Bering Sea and Aleutian Islands","Atka Mackerel",61883
"2006","Gulf of Alaska","Atka Mackerel",879
"2006","All Alaska","Atka Mackerel",62762
"2006","Bering Sea and Aleutian Islands","Flatfish",189506
"2006","Gulf of Alaska","Flatfish",42287
"2006","All Alaska","Flatfish",231793
"2006","Bering Sea and Aleutian Islands","Other Groundfish",28436
"2006","Gulf of Alaska","Other Groundfish",8175
"2006","All Alaska","Other Groundfish",36611
"2006","Bering Sea and Aleutian Islands","Pacific Cod",193029
"2006","Gulf of Alaska","Pacific Cod",47897
"2007","Bering Sea and Aleutian Islands","All Groundfish",1860419
"2007","Gulf of Alaska","Pacific Cod",52261
"2007","All Alaska","All Groundfish",2052814
"2007","All Alaska","Pacific Cod",226745
"2007","Bering Sea and Aleutian Islands","Pollock",1357021
"2007","Gulf of Alaska","Pollock",52714
"2007","All Alaska","Pollock",1409735
"2007","Bering Sea and Aleutian Islands","Rockfish",23615
"2007","Gulf of Alaska","Rockfish",23553
"2007","All Alaska","Rockfish",47167
"2007","Bering Sea and Aleutian Islands","Sablefish",2350
"2007","Gulf of Alaska","Sablefish",14669
"2007","All Alaska","Sablefish",17019
"2007","Bering Sea and Aleutian Islands","Atka Mackerel",58747
"2007","Gulf of Alaska","Atka Mackerel",1462
"2007","All Alaska","Atka Mackerel",60209
"2007","Bering Sea and Aleutian Islands","Flatfish",216215
"2007","Gulf of Alaska","Flatfish",40492
"2007","All Alaska","Flatfish",256707
"2007","Bering Sea and Aleutian Islands","Other Groundfish",27988
"2007","Gulf of Alaska","Other Groundfish",7244
"2007","All Alaska","Other Groundfish",35232
"2007","Bering Sea and Aleutian Islands","Pacific Cod",174484
"2007","Gulf of Alaska","All Groundfish",192395
"2008","Bering Sea and Aleutian Islands","All Groundfish",1545687
"2008","Bering Sea and Aleutian Islands","Pacific Cod",171030
"2008","All Alaska","All Groundfish",1748293
"2008","Gulf of Alaska","Pacific Cod",59014
"2008","All Alaska","Pacific Cod",230044
"2008","Bering Sea and Aleutian Islands","Pollock",991865
"2008","Gulf of Alaska","Pollock",52584
"2008","All Alaska","Pollock",1044449
"2008","Bering Sea and Aleutian Islands","Rockfish",21661
"2008","Gulf of Alaska","Rockfish",23117
"2008","All Alaska","Rockfish",44777
"2008","Bering Sea and Aleutian Islands","Sablefish",2040
"2008","Gulf of Alaska","Sablefish",13619
"2008","All Alaska","Sablefish",15659
"2008","Bering Sea and Aleutian Islands","Atka Mackerel",58082
"2008","Gulf of Alaska","Atka Mackerel",2112
"2008","All Alaska","Atka Mackerel",60194
"2008","Bering Sea and Aleutian Islands","Flatfish",269992
"2008","Gulf of Alaska","Flatfish",45734
"2008","All Alaska","Flatfish",315726
"2008","Bering Sea and Aleutian Islands","Other Groundfish",31016
"2008","Gulf of Alaska","Other Groundfish",6427
"2008","All Alaska","Other Groundfish",37443
"2008","Gulf of Alaska","All Groundfish",202605
"2009","Bering Sea and Aleutian Islands","All Groundfish",1337116
"2009","Bering Sea and Aleutian Islands","Pacific Cod",175756
"2009","All Alaska","All Groundfish",1522698
"2009","Gulf of Alaska","Pacific Cod",53196
"2009","All Alaska","Pacific Cod",228952
"2009","Bering Sea and Aleutian Islands","Pollock",812520
"2009","Gulf of Alaska","Pollock",44247
"2009","All Alaska","Pollock",856766
"2009","Bering Sea and Aleutian Islands","Rockfish",19451
"2009","Gulf of Alaska","Rockfish",22840
"2009","All Alaska","Rockfish",42291
"2009","Bering Sea and Aleutian Islands","Sablefish",2016
"2009","Gulf of Alaska","Sablefish",11980
"2009","All Alaska","Sablefish",13996
"2009","Bering Sea and Aleutian Islands","Atka Mackerel",72807
"2009","Gulf of Alaska","Atka Mackerel",2224
"2009","All Alaska","Atka Mackerel",75031
"2009","Bering Sea and Aleutian Islands","Flatfish",226324
"2009","Gulf of Alaska","Flatfish",42310
"2009","All Alaska","Flatfish",268634
"2009","Bering Sea and Aleutian Islands","Other Groundfish",28243
"2009","Gulf of Alaska","Other Groundfish",8786
"2009","All Alaska","Other Groundfish",37029
"2009","Gulf of Alaska","All Groundfish",185582
"2010","Bering Sea and Aleutian Islands","Other Groundfish",23796
"2010","Bering Sea and Aleutian Islands","All Groundfish",1354469
"2010","All Alaska","Flatfish",291717
"2010","All Alaska","Pollock",888405
"2010","Gulf of Alaska","Flatfish",38469
"2010","Gulf of Alaska","Sablefish",10984
"2010","Bering Sea and Aleutian Islands","Flatfish",253248
"2010","Gulf of Alaska","All Groundfish",239948
"2010","All Alaska","Atka Mackerel",71065
"2010","Bering Sea and Aleutian Islands","Sablefish",1800
"2010","Gulf of Alaska","Atka Mackerel",2418
"2010","Gulf of Alaska","Pollock",76754
"2010","Bering Sea and Aleutian Islands","Atka Mackerel",68647
"2010","All Alaska","Rockfish",48981
"2010","Bering Sea and Aleutian Islands","Pollock",811651
"2010","All Alaska","Sablefish",12783
"2010","All Alaska","Pacific Cod",250444
"2010","Gulf of Alaska","Rockfish",25505
"2010","Gulf of Alaska","Pacific Cod",78593
"2010","All Alaska","All Groundfish",1594417
"2010","Bering Sea and Aleutian Islands","Pacific Cod",171851
"2010","Bering Sea and Aleutian Islands","Rockfish",23476
"2010","All Alaska","Other Groundfish",31022
"2010","Gulf of Alaska","Other Groundfish",7226
"2011","All Alaska","Flatfish",326949
"2011","Gulf of Alaska","Flatfish",41048
"2011","Bering Sea and Aleutian Islands","Flatfish",285901
"2011","All Alaska","Atka Mackerel",53437
"2011","Gulf of Alaska","Atka Mackerel",1615
"2011","Bering Sea and Aleutian Islands","Atka Mackerel",51822
"2011","Bering Sea and Aleutian Islands","Pollock",1200421
"2011","All Alaska","Pacific Cod",305503
"2011","Gulf of Alaska","Pacific Cod",85390
"2011","Bering Sea and Aleutian Islands","Pacific Cod",220113
"2011","All Alaska","Other Groundfish",37626
"2011","Gulf of Alaska","Other Groundfish",7389
"2011","Gulf of Alaska","Sablefish",12067
"2011","Bering Sea and Aleutian Islands","Sablefish",1734
"2011","All Alaska","Rockfish",51327
"2011","Gulf of Alaska","Rockfish",23119
"2011","Bering Sea and Aleutian Islands","Rockfish",28208
"2011","All Alaska","Pollock",1281924
"2011","Gulf of Alaska","Pollock",81503
"2011","All Alaska","All Groundfish",2070567
"2011","Gulf of Alaska","All Groundfish",252130
"2011","Bering Sea and Aleutian Islands","All Groundfish",1818437
"2011","Bering Sea and Aleutian Islands","Other Groundfish",30237
"2011","All Alaska","Sablefish",13801
"2012","Gulf of Alaska","Sablefish",12708
"2012","All Alaska","Sablefish",14659
"2012","Bering Sea and Aleutian Islands","All Groundfish",1857899
"2012","Gulf of Alaska","All Groundfish",258871
"2012","All Alaska","All Groundfish",2116770
"2012","Gulf of Alaska","Pollock",103954
"2012","All Alaska","Pollock",1310222
"2012","Bering Sea and Aleutian Islands","Rockfish",28096
"2012","Gulf of Alaska","Rockfish",27381
"2012","All Alaska","Rockfish",55477
"2012","Bering Sea and Aleutian Islands","Sablefish",1950
"2012","Gulf of Alaska","Other Groundfish",6189
"2012","All Alaska","Other Groundfish",37739
"2012","Bering Sea and Aleutian Islands","Pacific Cod",251001
"2012","Gulf of Alaska","Pacific Cod",77930
"2012","All Alaska","Pacific Cod",328931
"2012","Bering Sea and Aleutian Islands","Pollock",1206268
"2012","Bering Sea and Aleutian Islands","Atka Mackerel",47829
"2012","Gulf of Alaska","Atka Mackerel",1188
"2012","All Alaska","Atka Mackerel",49017
"2012","Bering Sea and Aleutian Islands","Flatfish",291205
"2012","Gulf of Alaska","Flatfish",29521
"2012","All Alaska","Flatfish",320726
"2012","Bering Sea and Aleutian Islands","Other Groundfish",31550
"2013","Gulf of Alaska","Sablefish",12850
"2013","Bering Sea and Aleutian Islands","Other Groundfish",33624
"2013","Bering Sea and Aleutian Islands","All Groundfish",1914945
"2013","Gulf of Alaska","All Groundfish",248153
"2013","All Alaska","All Groundfish",2163098
"2013","Gulf of Alaska","Pollock",96360
"2013","All Alaska","Pollock",1370151
"2013","Bering Sea and Aleutian Islands","Rockfish",34934
"2013","Gulf of Alaska","Rockfish",24843
"2013","All Alaska","Rockfish",59777
"2013","Bering Sea and Aleutian Islands","Sablefish",1724
"2013","Gulf of Alaska","Other Groundfish",10965
"2013","All Alaska","Other Groundfish",44589
