"YEAR","FISHERY_CODE","FISHERY_NAME","HPY_VESCOUNT","HPY_CVCOUNT","HPY_CPCOUNT","HPY_PERMCOUNT","HPY_BUYERCOUNT","HPY_PROCCOUNT","HPY_SOLDMT","HPY_SOLDLB","HPY_SOLDLBMED","HPY_SOLDLBMED_SHARE","HPY_SOLDLBGINI","HPY_PURCHLBMED","HPY_PURCHLBMED_SHARE","HPY_EXV_NOM","HPY_EXV_REAL","HPY_EXVPR_NOM","HPY_EXVPR_REAL","HPY_PRODMT","HPY_PRODLB","HPY_WSV_NOM","HPY_WSV_REAL","HPY_WSPR_NOM","HPY_WSPR_REAL","LOAD_DATE","ADJUST_YR"
2020,"AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",5,5,0,14,12,11,2592.52,5715528,971119,.1699,.24,297082,.052,41678174,41678174,7.29,7.29,1645.42,3627532,50880873,50880873,14.03,14.03,"12/10/2021",2020
2019,"AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",5,5,0,16,11,9,3075.16,6779566,1098058,.162,.22,335704,.05,43543972,44050293,6.42,6.5,1951.74,4302855,56445608,57101946,13.12,13.27,"12/10/2021",2020
2018,"AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",5,5,0,14,11,9,2951.8,6507609,1110861,.1707,.21,240781,.037,40202277,41401906,6.18,6.36,1873.45,4130250,50197136,51695010,12.15,12.52,"12/10/2021",2020
2017,"AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",5,5,0,12,13,12,2524.16,5564811,1155606,.2077,.17,251498,.045,30914749,32544887,5.56,5.85,1602.03,3531875,39235044,41303911,11.11,11.69,"12/10/2021",2020
2016,"AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",5,5,0,12,11,10,2541.08,5602124,1150760,.2054,.13,295753,.053,30129739,32327477,5.38,5.77,1612.77,3555556,45363746,48672691,12.76,13.69,"12/10/2021",2020
2015,"AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",5,5,0,12,9,8,2631.28,5800986,1179828,.2034,.17,317119,.055,25121557,27247629,4.33,4.7,1670.02,3681770,36203340,39267278,9.83,10.67,"12/10/2021",2020
2014,"AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",5,5,0,11,12,10,2753.98,6071487,1375906,.2266,.14,258003,.042,24629597,26989644,4.06,4.45,1747.9,3853452,30711983,33654854,7.97,8.73,"12/10/2021",2020
2013,"AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",6,6,1,14,13,12,2695.98,5943607,937878,.1578,.38,252507,.042,24095233,26900908,4.05,4.53,1711.08,3772289,31437976,35098648,8.33,9.3,"12/10/2021",2020
2012,"AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",6,5,2,14,14,13,2686.67,5923099,1007686,.1701,.34,197612,.033,22972721,26102295,3.88,4.41,1705.18,3759273,28745392,32661377,7.65,8.69,"12/10/2021",2020
2011,"AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",5,4,1,13,14,14,2719.57,5995615,1324311,.2209,.21,281686,.047,35424609,31982221,5.91,5.33,1653.33,3644974,35014866,40550742,9.61,11.13,"12/10/2021",2020
2010,"AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",5,4,1,13,9,8,2763.25,6091927,1410322,.2315,.2,489046,.08,29751876,27259546,4.88,4.47,1436.67,3167314,24321399,28753577,7.68,9.08,"12/10/2021",2020
2009,"AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",5,4,1,13,9,8,2500.37,5512370,1109869,.2013,.19,295872,.054,18573617,16261399,3.37,2.95,1495.38,3296750,18665497,22324759,5.66,6.77,"12/10/2021",2020
2008,"AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",5,4,1,12,7,7,2597.16,5725765,1246724,.2177,.18,1037423,.181,23991532,22525677,4.19,3.93,1547.51,3411676,25502186,30739734,7.47,9.01,"12/10/2021",2020
2007,"AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",6,5,1,11,6,6,2467.69,5440329,755959,.139,.34,791141,.145,11937463,14663820,2.19,2.7,1551.45,3420361,18122944,22261982,5.3,6.51,"12/10/2021",2020
2006,"AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",7,6,1,16,6,6,2377.93,5242435,623290,.1189,.34,707592,.135,10078258,12713124,1.92,2.43,1420.27,3131155,13685634,17263614,4.37,5.51,"12/10/2021",2020
2005,"AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",9,8,1,13,6,6,2012.33,4436426,595268,.1342,.31,480906,.108,11597890,15076448,2.61,3.4,1248.5,2752477,16051699,20866089,5.83,7.58,"12/10/2021",2020
2004,"AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",22,21,1,24,5,5,2729.74,6018053,168787,.028,.49,1352963,.225,19555229,26208653,3.25,4.36,1693.61,3733760,21850620,29285022,5.85,7.84,"12/10/2021",2020
2003,"AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",21,20,1,22,6,5,2639.9,5819987,189451,.0326,.45,1080922,.186,20808958,28102686,3.58,4.83,1637.87,3610875,27857089,38335001,7.71,10.62,"12/10/2021",2020
2002,"AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",22,21,1,28,6,5,2511.66,5537257,167035,.0302,.46,834384,.151,19028022,26196479,3.44,4.73,1558.3,3435462,25392512,35602392,7.39,10.36,"12/10/2021",2020
2001,"AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",21,20,1,28,7,5,2886.12,6362810,209557,.0329,.47,362639,.057,21154272,30112336,3.32,4.73,1790.63,3947657,27909922,39728758,7.07,10.06,"12/10/2021",2020
2000,"AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",17,16,1,26,7,6,2610.99,5756254,220955,.0384,.46,652108,.113,19551970,27796551,3.4,4.83,1619.93,3571333,19362252,28180343,5.42,7.89,"12/10/2021",2020
1999,"AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",16,15,1,26,8,8,2216.61,4886781,231713,.0474,.43,288561,.059,15163682,22093566,3.1,4.52,1375.24,3031889,20226921,30102997,6.67,9.93,"12/10/2021",2020
1998,"AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",16,14,2,25,9,6,2379.08,5244971,297490,.0567,.44,226199,.043,10061036,15188232,1.92,2.9,1476.04,3254120,13583982,20506503,4.17,6.3,"12/10/2021",2020
2020,"BSS","BERING SEA SNOW CRAB",59,58,2,77,13,11,15243.75,33606698,462939,.0138,.33,1367576,.041,132013066,132013066,3.93,3.93,9985.49,22014228,175798867,175798867,7.99,7.99,"12/10/2021",2020
2019,"BSS","BERING SEA SNOW CRAB",61,59,2,77,13,13,12364.96,27260061,357639,.0131,.34,1107391,.041,108377840,109638036,3.98,4.02,8099.73,17856833,127068979,128546512,7.12,7.2,"12/10/2021",2020
2018,"BSS","BERING SEA SNOW CRAB",63,61,2,78,13,12,8545.36,18839294,232457,.0123,.34,768377,.041,75203428,77447485,3.99,4.11,5597.68,12340770,87752404,90370920,7.11,7.32,"12/10/2021",2020
2017,"BSS","BERING SEA SNOW CRAB",63,61,2,78,14,14,9670.47,21319734,294171,.0138,.32,856672,.04,87356308,91962613,4.1,4.31,6334.69,13965594,99974485,105246148,7.16,7.54,"12/10/2021",2020
2016,"BSS","BERING SEA SNOW CRAB",68,67,2,86,12,12,17948.94,39570632,526207,.0133,.3,2556894,.065,107960965,115835907,2.73,2.93,11757.54,25920932,153962356,165192753,5.94,6.37,"12/10/2021",2020
2015,"BSS","BERING SEA SNOW CRAB",70,68,2,94,14,14,27629.31,60912190,862011,.0142,.29,2824459,.046,124036568,134533953,2.04,2.21,18098.71,39900821,172994187,187634923,4.34,4.7,"12/10/2021",2020
2014,"BSS","BERING SEA SNOW CRAB",70,68,2,93,13,13,25047.24,55219689,733590,.0133,.33,4431164,.08,131630740,144243805,2.38,2.61,16407.31,36171921,181531026,198925616,5.02,5.5,"12/10/2021",2020
2013,"BSS","BERING SEA SNOW CRAB",71,69,2,91,15,15,32065.16,70691558,892407,.0126,.31,3144804,.044,164263607,183390639,2.32,2.59,21004.44,46306843,225483671,251739234,4.87,5.44,"12/10/2021",2020
2012,"BSS","BERING SEA SNOW CRAB",72,70,2,109,16,15,40018.55,88225773,1126733,.0128,.3,3725138,.042,192298167,218494946,2.18,2.48,26214.34,57792715,269656198,306391462,4.67,5.3,"12/10/2021",2020
2011,"BSS","BERING SEA SNOW CRAB",68,67,2,88,16,16,24516.5,54049614,693581,.0128,.3,2213948,.041,137730034,159505253,2.55,2.95,17184.75,37885867,208554577,241527208,5.5,6.38,"12/10/2021",2020
