"YEAR","FISHERY_CODE","FISHERY_NAME","EMPY_VESCOUNT","EMPY_HCRPOSTOT","EMPY_HCREWPOSAVG","EMPY_HCREWPOSSD","EMPY_HCREWPOSMED","EMPY_HCREWPAY_NOM","EMPY_HCREWPAY_REAL","EMPY_HCREWPAYMED_NOM","EMPY_HCREWPAYMED_REAL","EMPY_HCAPPAY_NOM","EMPY_HCAPPAY_REAL","EMPY_HCAPPAYMED_NOM","EMPY_HCAPPAYMED_REAL","EMPY_HCREWPAYLBK","EMPY_HCREWPAYLBKMED","EMPY_LABORSHARE","EMPY_CREWSHARE","EMPY_CAPTAINSHARE","EMPY_PROCCOUNT","EMPY_PROCHR","EMPY_PROCHRMED","EMPY_PROCHRPERLBK","EMPY_PROCPAY_NOM","EMPY_PROCPAY_REAL","EMPY_PROCPAYMED_NOM","EMPY_PROCPAYMED_REAL","EMPY_PROCPAYPERHR_NOM","EMPY_PROCPAYPERHR_REAL","EMPY_PROCPAYPERLBK_NOM","EMPY_PROCPAYPERLBK_REAL","ADJUST_YR","LOAD_DATE"
"2020","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",5,35,7,-9999,-9999,7839672,7839672,1130342,1130342,2635905,2635905,528058,528058,1072.2,154.97,.23,.16,.06,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2020,"12/10/2021"
"2019","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",5,37,7.4,-9999,-9999,6548958,6625108,1198860,1212800,2387392,2415152,450161,455395,1016.89,186.29,.21,.15,.06,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2020,"12/10/2021"
"2018","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",5,37,7.4,-9999,-9999,5227773,5383769,998849,1028654,2437723,2510464,384611,396088,846.04,164.57,.22,.15,.07,5,64960,8230,11.54,788013,811527,123450,127134,11.84,12.2,140.66,144.86,2020,"12/10/2021"
"2017","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",5,36,7.2,-9999,-9999,4664332,4910283,777240,818224,1971116,2075053,362972,382112,842.63,132.78,.24,.16,.07,5,58083,9667,12.7,672893,708375,103224,108667,11.7,12.32,151.44,159.42,2020,"12/10/2021"
"2016","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",5,36,7.2,-9999,-9999,4482677,4809655,988895,1061027,2045646,2194861,361705,388089,848.56,177.92,.21,.15,.06,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2020,"12/10/2021"
"2015","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",5,35,7,-9999,-9999,3622945,3929560,717420,778136,1658252,1798592,346706,376048,845.68,151.04,.19,.13,.07,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2020,"12/10/2021"
"2014","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",5,35,7,-9999,-9999,3252961,3564665,702438,769747,1408383,1543336,292224,320225,807.83,167.09,.19,.13,.06,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2020,"12/10/2021"
"2013","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",6,44,7.33,1.03,7,3313683,3699532,533872,596037,1502180,1677095,272477,304204,821.72,137.26,.18,.13,.05,6,61094,5959,9.19,607384,678108,61283,68418,9.93,11.08,104.92,117.13,2020,"12/10/2021"
"2012","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",6,46,7.67,1.21,7.5,3418410,3884099,622660,707485,1759881,1999630,311944,354440,739.97,175.67,.18,.13,.05,8,53155,2597,6.89,1089264,1237654,58378,66331,10.03,11.4,73.3,83.29,2020,"12/10/2021"
"2011","AIG","ALEUTIAN ISLANDS GOLDEN KING CRAB",5,36,7.2,-9999,-9999,3847925,4456285,651991,755071,2093060,2423974,346823,401656,-9999,-9999,-9999,-9999,-9999,7,97948,4791,16.97,2196682,2543979,74418,86184,9.9,11.46,171.81,198.97,2020,"12/10/2021"
