"SEASON","FISHERY_CODE","FISHERY_NAME","QUOTA_TYPE","INITIALQSHOLDER_COUNT","INITIALQSHOLDER_SHARE","NEWQSHOLDER_COUNT","NEWQSHOLDER_SHARE","LOAD_DATE"
"Initial allocation","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",15,100,0,0,"12/10/2021"
"2005/2006","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",14,97.74,1,2.26,"12/10/2021"
"2006/2007","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",14,97.73,2,2.27,"12/10/2021"
"2007/2008","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",11,87.48,4,12.52,"12/10/2021"
"2008/2009","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",11,87.48,4,12.52,"12/10/2021"
"2009/2010","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",11,87.48,4,12.52,"12/10/2021"
"2010/2011","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",11,87.48,4,12.52,"12/10/2021"
"2011/2012","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",10,85.25,4,14.75,"12/10/2021"
"2012/2013","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",10,85.25,4,14.75,"12/10/2021"
"2013/2014","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",9,83.47,4,16.53,"12/10/2021"
"2014/2015","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",9,83.47,4,16.53,"12/10/2021"
"2015/2016","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",9,83.47,4,16.53,"12/10/2021"
"2016/2017","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",9,83.47,4,16.53,"12/10/2021"
"2017/2018","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",9,83.47,4,16.53,"12/10/2021"
"2018/2019","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",9,83.47,4,16.53,"12/10/2021"
"2019/2020","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",9,83.47,4,16.53,"12/10/2021"
"2020/2021","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",9,83.47,4,16.53,"12/10/2021"
"Initial allocation","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,100,0,0,"12/10/2021"
"2005/2006","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,100,0,0,"12/10/2021"
"2006/2007","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,100,0,0,"12/10/2021"
"2007/2008","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,100,0,0,"12/10/2021"
"2008/2009","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,100,0,0,"12/10/2021"
"2009/2010","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,100,0,0,"12/10/2021"
"2010/2011","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,100,0,0,"12/10/2021"
"2011/2012","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,100,0,0,"12/10/2021"
"2012/2013","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,100,0,0,"12/10/2021"
"2013/2014","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,100,0,0,"12/10/2021"
"2014/2015","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,100,0,0,"12/10/2021"
"2015/2016","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,100,0,0,"12/10/2021"
"2016/2017","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,100,0,0,"12/10/2021"
"2017/2018","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,100,0,0,"12/10/2021"
"2018/2019","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,100,0,0,"12/10/2021"
"2019/2020","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",3,91.15,1,8.85,"12/10/2021"
"2020/2021","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",3,91.15,1,8.85,"12/10/2021"
"Initial allocation","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",30,100,0,0,"12/10/2021"
"2005/2006","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",30,100,0,0,"12/10/2021"
"2006/2007","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",28,97.91,5,2.09,"12/10/2021"
"2007/2008","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",26,96.54,7,3.46,"12/10/2021"
"2008/2009","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",25,95.87,8,4.13,"12/10/2021"
"2009/2010","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",25,95.87,8,4.13,"12/10/2021"
"2010/2011","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",25,95.87,8,4.13,"12/10/2021"
"2011/2012","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",24,82.39,12,17.61,"12/10/2021"
"2012/2013","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",23,81.1,17,18.9,"12/10/2021"
"2013/2014","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",21,81.1,16,18.9,"12/10/2021"
"2014/2015","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",20,73.17,17,26.83,"12/10/2021"
"2015/2016","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",20,73.17,17,26.83,"12/10/2021"
"2016/2017","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",20,73.17,18,26.83,"12/10/2021"
"2017/2018","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",20,73.17,18,26.83,"12/10/2021"
"2018/2019","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",20,73.17,18,26.83,"12/10/2021"
"2019/2020","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",19,73.01,19,26.99,"12/10/2021"
"2020/2021","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",18,72.39,20,27.61,"12/10/2021"
"Initial allocation","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",166,100,0,0,"12/10/2021"
"2006/2007","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",150,97.44,6,2.56,"12/10/2021"
"2007/2008","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",146,95.21,8,4.79,"12/10/2021"
"2008/2009","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",141,94.34,8,5.66,"12/10/2021"
"2009/2010","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",140,94.07,10,5.93,"12/10/2021"
"2010/2011","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",138,93.8,11,6.2,"12/10/2021"
"2011/2012","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",138,93.8,11,6.2,"12/10/2021"
"2012/2013","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",136,92.83,12,7.17,"12/10/2021"
"2013/2014","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",132,91.18,14,8.82,"12/10/2021"
"2014/2015","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",122,87.56,21,12.44,"12/10/2021"
"2015/2016","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",118,83.9,23,16.1,"12/10/2021"
"2016/2017","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",112,79.41,28,20.59,"12/10/2021"
"2017/2018","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",88,68.4,37,31.6,"12/10/2021"
"2018/2019","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",83,65.92,39,34.08,"12/10/2021"
"2019/2020","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",78,61.69,39,38.31,"12/10/2021"
"2020/2021","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",73,58.63,39,41.37,"12/10/2021"
"Initial allocation","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",256,100,0,0,"12/10/2021"
"2006/2007","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",236,94.31,8,5.69,"12/10/2021"
"2007/2008","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",227,90.04,20,9.96,"12/10/2021"
"2008/2009","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",217,88.91,23,11.09,"12/10/2021"
"2009/2010","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",210,85.43,36,14.57,"12/10/2021"
"2010/2011","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",205,83.35,39,16.65,"12/10/2021"
"2011/2012","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",203,83.34,43,16.66,"12/10/2021"
"2012/2013","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",199,80.99,48,19.01,"12/10/2021"
"2013/2014","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",194,82.06,47,17.94,"12/10/2021"
"2014/2015","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",187,81.45,54,18.55,"12/10/2021"
"2015/2016","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",186,81.43,54,18.57,"12/10/2021"
"2016/2017","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",181,81.5,57,18.5,"12/10/2021"
"2017/2018","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",175,80.19,63,19.81,"12/10/2021"
"2018/2019","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",170,80.16,62,19.84,"12/10/2021"
"2019/2020","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",160,77.61,71,22.39,"12/10/2021"
"2020/2021","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",157,77.19,72,22.81,"12/10/2021"
