"SEASON","FISHERY_CODE","FISHERY_NAME","QUOTA_TYPE","INITIALQSHOLDER_COUNT","INITIALQSHOLDER_SHARE","NEWQSHOLDER_COUNT","NEWQSHOLDER_SHARE","LOAD_DATE"
"2018/2019","BSS","BERING SEA SNOW CRAB","Crew QS",66,59.33,42,40.67,"12/10/2021"
"2019/2020","BSS","BERING SEA SNOW CRAB","Crew QS",61,54.87,42,45.13,"12/10/2021"
"2020/2021","BSS","BERING SEA SNOW CRAB","Crew QS",54,49.15,42,50.85,"12/10/2021"
"Initial allocation","BSS","BERING SEA SNOW CRAB","Owner QS",241,100,0,0,"12/10/2021"
"2005/2006","BSS","BERING SEA SNOW CRAB","Owner QS",227,97.25,11,2.75,"12/10/2021"
"2006/2007","BSS","BERING SEA SNOW CRAB","Owner QS",212,92.9,19,7.1,"12/10/2021"
"2007/2008","BSS","BERING SEA SNOW CRAB","Owner QS",207,87.8,33,12.2,"12/10/2021"
"2008/2009","BSS","BERING SEA SNOW CRAB","Owner QS",200,85.22,42,14.78,"12/10/2021"
"2009/2010","BSS","BERING SEA SNOW CRAB","Owner QS",192,82.23,54,17.77,"12/10/2021"
"2010/2011","BSS","BERING SEA SNOW CRAB","Owner QS",187,79.73,72,20.27,"12/10/2021"
"2011/2012","BSS","BERING SEA SNOW CRAB","Owner QS",184,79.67,73,20.33,"12/10/2021"
"2012/2013","BSS","BERING SEA SNOW CRAB","Owner QS",181,77.24,80,22.76,"12/10/2021"
"2013/2014","BSS","BERING SEA SNOW CRAB","Owner QS",175,76.7,85,23.3,"12/10/2021"
"2014/2015","BSS","BERING SEA SNOW CRAB","Owner QS",170,76.82,91,23.18,"12/10/2021"
"2015/2016","BSS","BERING SEA SNOW CRAB","Owner QS",170,76.8,93,23.2,"12/10/2021"
"2016/2017","BSS","BERING SEA SNOW CRAB","Owner QS",166,76.25,95,23.75,"12/10/2021"
"2017/2018","BSS","BERING SEA SNOW CRAB","Owner QS",165,75.72,99,24.28,"12/10/2021"
"2018/2019","BSS","BERING SEA SNOW CRAB","Owner QS",161,74.83,102,25.17,"12/10/2021"
"2019/2020","BSS","BERING SEA SNOW CRAB","Owner QS",154,72.63,112,27.37,"12/10/2021"
"2020/2021","BSS","BERING SEA SNOW CRAB","Owner QS",151,71.7,117,28.3,"12/10/2021"
"Initial allocation","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",13,100,0,0,"12/10/2021"
"2005/2006","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",11,100,0,0,"12/10/2021"
"2006/2007","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",11,100,0,0,"12/10/2021"
"2007/2008","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",10,97.74,1,2.26,"12/10/2021"
"2008/2009","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",8,84.54,2,15.46,"12/10/2021"
"2009/2010","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",8,79.28,3,20.72,"12/10/2021"
"2010/2011","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",6,76.96,4,23.04,"12/10/2021"
"2011/2012","EAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - EAST","Crew QS",6,76.96,4,23.04,"12/10/2021"
