"FMP_AREA","GEAR","SUBAREA","GROUNDFISH_TARGET_SPECIES","SPECIES","YEAR","RETCATCH_MT","PERCENT_CATCH_SUPPRESSED"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Deep-Water Flatfish","2003",453,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Deep-Water Flatfish","2004",464,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Deep-Water Flatfish","2005",169,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Deep-Water Flatfish","2006",89,"25-50%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Deep-Water Flatfish","2007",100,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Deep-Water Flatfish","2008",95,"50-75%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Deep-Water Flatfish","2009",80,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Deep-Water Flatfish","2010",207,"25-50%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Deep-Water Flatfish","2011",147,"25-50%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Deep-Water Flatfish","2012",71,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Deep-Water Flatfish","2013",79,"25-50%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Deep-Water Flatfish","2014",158,"25-50%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Deep-Water Flatfish","2015",84,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Deep-Water Flatfish","2016",87,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Deep-Water Flatfish","2017",69,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Deep-Water Flatfish","2018",87,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Deep-Water Flatfish","2019",24,"25-50%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Deep-Water Flatfish","2020",52,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Flathead Sole","2003",2035,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Flathead Sole","2004",1713,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Flathead Sole","2005",1938,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Flathead Sole","2006",2383,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Flathead Sole","2007",2434,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Flathead Sole","2008",2755,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Flathead Sole","2009",2788,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Flathead Sole","2010",2914,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Flathead Sole","2011",2161,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Flathead Sole","2012",1583,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Flathead Sole","2013",1799,"25-50%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Flathead Sole","2014",2112,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Flathead Sole","2015",1510,"10-25%"
