"FMP_AREA","GEAR","SUBAREA","GROUNDFISH_TARGET_SPECIES","SPECIES","YEAR","RETCATCH_MT","PERCENT_CATCH_SUPPRESSED"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pacific Cod","2006",7911,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pacific Cod","2007",8330,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pacific Cod","2008",8837,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pacific Cod","2009",8494,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pacific Cod","2010",11782,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pacific Cod","2011",12812,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pacific Cod","2012",14951,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pacific Cod","2013",8156,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pacific Cod","2014",10489,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pacific Cod","2015",9453,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pacific Cod","2016",5136,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pacific Cod","2017",3841,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pacific Cod","2018",1285,"10-25%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pacific Cod","2019",1324,"10-25%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pacific Cod","2020",416,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pollock","2003",33,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pollock","2004",16,"10-25%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pollock","2005",15,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pollock","2006",75,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pollock","2007",150,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pollock","2008",130,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pollock","2009",152,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pollock","2010",166,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pollock","2011",84,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pollock","2012",139,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pollock","2013",94,"10-25%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pollock","2014",141,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pollock","2015",130,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pollock","2016",131,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pollock","2017",51,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pollock","2018",22,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pollock","2019",10,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Pollock","2020",1,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Rex Sole","2009",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Rockfish","2003",273,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Rockfish","2004",267,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Rockfish","2005",285,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Rockfish","2006",246,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Rockfish","2007",294,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Rockfish","2008",330,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Rockfish","2009",296,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Rockfish","2010",303,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Rockfish","2011",282,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Rockfish","2012",328,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Rockfish","2013",404,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Rockfish","2014",352,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Rockfish","2015",407,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Rockfish","2016",383,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Rockfish","2017",331,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Rockfish","2018",311,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Rockfish","2019",239,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Rockfish","2020",122,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Sablefish","2003",5425,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Sablefish","2004",6100,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Sablefish","2005",5573,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Sablefish","2006",4901,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Sablefish","2007",4989,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Sablefish","2008",4411,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Sablefish","2009",3955,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Sablefish","2010",3620,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Sablefish","2011",3817,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Sablefish","2012",4495,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Sablefish","2013",4313,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Sablefish","2014",3770,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Sablefish","2015",3615,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Sablefish","2016",3171,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Sablefish","2017",3039,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Sablefish","2018",2871,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Sablefish","2019",2515,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Sablefish","2020",1251,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Shallow-Water Flatfish","2003",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Shallow-Water Flatfish","2004",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Shallow-Water Flatfish","2005",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Shallow-Water Flatfish","2006",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Shallow-Water Flatfish","2007",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Shallow-Water Flatfish","2008",0,"75-99%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Shallow-Water Flatfish","2009",0,"5-10%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Shallow-Water Flatfish","2011",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Shallow-Water Flatfish","2012",0,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Shallow-Water Flatfish","2013",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Shallow-Water Flatfish","2014",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Shallow-Water Flatfish","2015",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Shallow-Water Flatfish","2016",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Target Species","Shallow-Water Flatfish","2020",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Arrowtooth","All Groundfish","2004",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Arrowtooth","All Groundfish","2005",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Arrowtooth","All Groundfish","2006",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Arrowtooth","Arrowtooth Flounder","2004",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Arrowtooth","Arrowtooth Flounder","2005",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Arrowtooth","Arrowtooth Flounder","2006",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Arrowtooth","Pacific Cod","2004",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Arrowtooth","Pollock","2004",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","All Groundfish","2003",335,"5-10%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","All Groundfish","2004",470,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","All Groundfish","2005",695,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","All Groundfish","2006",786,"5-10%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","All Groundfish","2007",1182,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","All Groundfish","2008",1478,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","All Groundfish","2009",1182,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","All Groundfish","2010",1303,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","All Groundfish","2011",997,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","All Groundfish","2012",761,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","All Groundfish","2013",684,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","All Groundfish","2014",494,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","All Groundfish","2015",490,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","All Groundfish","2016",353,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","All Groundfish","2017",340,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","All Groundfish","2018",418,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","All Groundfish","2019",384,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","All Groundfish","2020",219,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Arrowtooth Flounder","2003",3,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Arrowtooth Flounder","2004",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Arrowtooth Flounder","2005",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Arrowtooth Flounder","2006",0,"50-75%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Arrowtooth Flounder","2007",1,"50-75%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Arrowtooth Flounder","2008",2,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Arrowtooth Flounder","2009",3,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Arrowtooth Flounder","2010",1,"10-25%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Arrowtooth Flounder","2011",1,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Arrowtooth Flounder","2012",0,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Arrowtooth Flounder","2013",1,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Arrowtooth Flounder","2014",0,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Arrowtooth Flounder","2015",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Arrowtooth Flounder","2016",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Arrowtooth Flounder","2017",0,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Arrowtooth Flounder","2018",0,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Arrowtooth Flounder","2019",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Deep-Water Flatfish","2008",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Deep-Water Flatfish","2010",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Other Groundfish","2003",27,"25-50%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Other Groundfish","2004",13,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Other Groundfish","2005",14,"25-50%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Other Groundfish","2006",13,"10-25%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Other Groundfish","2007",31,"10-25%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Other Groundfish","2008",100,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Other Groundfish","2009",79,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Other Groundfish","2010",97,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Other Groundfish","2011",85,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Other Groundfish","2012",89,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Other Groundfish","2013",56,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Other Groundfish","2014",29,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Other Groundfish","2015",31,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Other Groundfish","2016",13,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Other Groundfish","2017",9,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Other Groundfish","2018",7,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Other Groundfish","2019",7,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Other Groundfish","2020",5,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pacific Cod","2003",36,"10-25%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pacific Cod","2004",54,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pacific Cod","2005",92,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pacific Cod","2006",141,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pacific Cod","2007",258,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pacific Cod","2008",353,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pacific Cod","2009",320,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pacific Cod","2010",322,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pacific Cod","2011",245,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pacific Cod","2012",174,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pacific Cod","2013",141,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pacific Cod","2014",118,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pacific Cod","2015",104,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pacific Cod","2016",46,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pacific Cod","2017",66,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pacific Cod","2018",54,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pacific Cod","2019",65,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pacific Cod","2020",51,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pollock","2008",0,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pollock","2009",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pollock","2010",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pollock","2011",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pollock","2013",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pollock","2015",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pollock","2017",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Pollock","2019",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Rex Sole","2009",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Rockfish","2003",28,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Rockfish","2004",32,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Rockfish","2005",54,"10-25%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Rockfish","2006",68,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Rockfish","2007",109,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Rockfish","2008",152,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Rockfish","2009",131,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Rockfish","2010",141,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Rockfish","2011",112,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Rockfish","2012",78,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Rockfish","2013",90,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Rockfish","2014",68,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Rockfish","2015",67,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Rockfish","2016",64,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Rockfish","2017",60,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Rockfish","2018",64,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Rockfish","2019",48,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Rockfish","2020",38,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Sablefish","2003",241,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Sablefish","2004",371,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Sablefish","2005",535,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Sablefish","2006",564,"5-10%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Sablefish","2007",784,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Sablefish","2008",872,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Sablefish","2009",649,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Sablefish","2010",742,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Sablefish","2011",554,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Sablefish","2012",420,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Sablefish","2013",397,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Sablefish","2014",279,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Sablefish","2015",289,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Sablefish","2016",231,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Sablefish","2017",204,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Sablefish","2018",293,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Sablefish","2019",264,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Sablefish","2020",125,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Shallow-Water Flatfish","2003",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Shallow-Water Flatfish","2004",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Shallow-Water Flatfish","2008",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Shallow-Water Flatfish","2009",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Shallow-Water Flatfish","2013",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Halibut","Shallow-Water Flatfish","2015",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","All Groundfish","2003",6332,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","All Groundfish","2004",9154,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","All Groundfish","2005",6556,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","All Groundfish","2006",8360,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","All Groundfish","2007",8590,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","All Groundfish","2008",9026,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","All Groundfish","2009",8682,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","All Groundfish","2010",12141,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","All Groundfish","2011",13246,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","All Groundfish","2012",15671,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","All Groundfish","2013",8581,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","All Groundfish","2014",10953,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","All Groundfish","2015",10025,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","All Groundfish","2016",5384,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","All Groundfish","2017",3937,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","All Groundfish","2018",1293,"10-25%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","All Groundfish","2019",1311,"10-25%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","All Groundfish","2020",366,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Arrowtooth Flounder","2003",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Arrowtooth Flounder","2004",0,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Arrowtooth Flounder","2006",13,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Arrowtooth Flounder","2007",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Arrowtooth Flounder","2008",1,"75-99%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Arrowtooth Flounder","2011",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Arrowtooth Flounder","2012",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Arrowtooth Flounder","2013",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Arrowtooth Flounder","2014",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Arrowtooth Flounder","2015",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Arrowtooth Flounder","2016",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Arrowtooth Flounder","2018",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Arrowtooth Flounder","2019",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Atka Mackerel","2011",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Atka Mackerel","2015",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Deep-Water Flatfish","2007",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Deep-Water Flatfish","2014",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Deep-Water Flatfish","2015",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Flathead Sole","2003",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Flathead Sole","2006",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Flathead Sole","2008",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Flathead Sole","2009",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Flathead Sole","2011",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Flathead Sole","2012",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Flathead Sole","2013",-9999,"100%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Other Groundfish","2003",60,"25-50%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Other Groundfish","2004",82,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Other Groundfish","2005",105,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Other Groundfish","2006",557,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Other Groundfish","2007",369,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Other Groundfish","2008",429,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Other Groundfish","2009",351,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Other Groundfish","2010",528,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Other Groundfish","2011",598,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Other Groundfish","2012",745,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Other Groundfish","2013",458,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Other Groundfish","2014",438,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Other Groundfish","2015",516,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Other Groundfish","2016",135,"10-25%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Other Groundfish","2017",88,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Other Groundfish","2018",36,"10-25%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","Other Groundfish","2019",38,"25-50%"
