"FMP_AREA","GEAR","SECTOR","SPECIES","YEAR","EXVES_VAL","PERCENT_VAL_SUPPRESSED"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","All Groundfish","2003",496659764,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","All Groundfish","2004",497229357,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","All Groundfish","2005",626753575,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","All Groundfish","2006",663293037,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","All Groundfish","2007",641455792,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","All Groundfish","2008",730208714,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","All Groundfish","2009",512399987,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","All Groundfish","2010",530156788,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","All Groundfish","2011",744209533,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","All Groundfish","2012",808919718,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","All Groundfish","2013",708841305,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","All Groundfish","2014",722292893,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","All Groundfish","2015",674315127,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","All Groundfish","2016",656964289,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","All Groundfish","2017",693923007,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","All Groundfish","2018",783797043,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","All Groundfish","2019",794991047,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","All Groundfish","2020",715640288,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Arrowtooth Flounder","2003",1238975,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Arrowtooth Flounder","2004",1032837,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Arrowtooth Flounder","2005",2495544,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Arrowtooth Flounder","2006",1792696,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Arrowtooth Flounder","2007",1123941,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Arrowtooth Flounder","2008",5323850,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Arrowtooth Flounder","2009",6124123,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Arrowtooth Flounder","2010",8259192,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Arrowtooth Flounder","2011",6224881,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Arrowtooth Flounder","2012",8842583,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Arrowtooth Flounder","2013",5702624,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Arrowtooth Flounder","2014",7515540,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Arrowtooth Flounder","2015",3761922,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Arrowtooth Flounder","2016",4220149,"0%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Arrowtooth Flounder","2017",3865862,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Arrowtooth Flounder","2018",2784800,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Arrowtooth Flounder","2019",4246621,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Arrowtooth Flounder","2020",3845217,"<1%"
"Bering Sea and Aleutian Islands","All Gear","All Sectors","Atka Mackerel","2003",9966457,"0%"
