"FMP_AREA","HARVEST_SECTOR","SPECIES_GROUP","YEAR","RETAINED_CATCH_MT","EXVESSEL_VALUE"
"Gulf of Alaska","All Sectors","Other Groundfish","2003",3606,1692496
"Gulf of Alaska","Catcher Processors","Other Groundfish","2003",737,333253
"Gulf of Alaska","Catcher Vessels","Other Groundfish","2003",2869,1359243
"All Alaska","All Sectors","Pacific Cod","2003",254896,165124133
"All Alaska","Catcher Processors","Pacific Cod","2003",149784,99385437
"All Alaska","Catcher Vessels","Pacific Cod","2003",105112,65738696
"Bering Sea and Aleutian Islands","All Sectors","Pacific Cod","2003",204812,132466077
"Bering Sea and Aleutian Islands","Catcher Processors","Pacific Cod","2003",142419,94630894
"Gulf of Alaska","All Sectors","Flatfish","2003",22981,5720705
"Gulf of Alaska","Catcher Processors","Flatfish","2003",15129,3864479
"Gulf of Alaska","Catcher Vessels","Flatfish","2003",7852,1856227
"All Alaska","All Sectors","Other Groundfish","2003",14607,10225307
"All Alaska","Catcher Processors","Other Groundfish","2003",11097,8738616
"All Alaska","Catcher Vessels","Other Groundfish","2003",3510,1486691
"Bering Sea and Aleutian Islands","All Sectors","Other Groundfish","2003",11001,8532811
"Bering Sea and Aleutian Islands","Catcher Processors","Other Groundfish","2003",10360,8405363
"Gulf of Alaska","All Sectors","Atka Mackerel","2003",304,105977
"Gulf of Alaska","Catcher Processors","Atka Mackerel","2003",291,101653
"Gulf of Alaska","Catcher Vessels","Atka Mackerel","2003",12,4324
"All Alaska","All Sectors","Flatfish","2003",131649,40468209
"All Alaska","Catcher Processors","Flatfish","2003",122207,37992285
"All Alaska","Catcher Vessels","Flatfish","2003",9442,2475924
"Bering Sea and Aleutian Islands","All Sectors","Flatfish","2003",108669,34747503
"Bering Sea and Aleutian Islands","Catcher Processors","Flatfish","2003",107078,34127806
"Bering Sea and Aleutian Islands","Catcher Vessels","Flatfish","2003",1590,619697
"Gulf of Alaska","All Sectors","All Groundfish","2003",161053,130940588
"Gulf of Alaska","Catcher Processors","All Groundfish","2003",35363,21607910
"Gulf of Alaska","Catcher Vessels","All Groundfish","2003",125690,109332678
"All Alaska","All Sectors","Atka Mackerel","2003",45286,10068487
"All Alaska","Catcher Processors","Atka Mackerel","2003",44847,9970269
"All Alaska","Catcher Vessels","Atka Mackerel","2003",439,98219
"Bering Sea and Aleutian Islands","All Sectors","Atka Mackerel","2003",44982,9962510
"Bering Sea and Aleutian Islands","Catcher Processors","Atka Mackerel","2003",44556,9868616
"Bering Sea and Aleutian Islands","Catcher Vessels","Atka Mackerel","2003",426,93894
"Gulf of Alaska","All Sectors","Sablefish","2003",14297,75116807
"Gulf of Alaska","Catcher Processors","Sablefish","2003",2177,10824270
"Gulf of Alaska","Catcher Vessels","Sablefish","2003",12121,64292536
"All Alaska","All Sectors","All Groundfish","2003",2020956,627481779
"All Alaska","Catcher Processors","All Groundfish","2003",1024316,291403108
"All Alaska","Catcher Vessels","All Groundfish","2003",996640,336078671
"Bering Sea and Aleutian Islands","All Sectors","All Groundfish","2003",1859904,496541191
"Bering Sea and Aleutian Islands","Catcher Processors","All Groundfish","2003",988953,269795198
"Bering Sea and Aleutian Islands","Catcher Vessels","All Groundfish","2003",870951,226745994
"Gulf of Alaska","All Sectors","Rockfish","2003",20211,5133362
"Gulf of Alaska","Catcher Processors","Rockfish","2003",9057,1601483
"Gulf of Alaska","Catcher Vessels","Rockfish","2003",11153,3531879
"All Alaska","All Sectors","Sablefish","2003",16186,83905418
"All Alaska","Catcher Processors","Sablefish","2003",2804,13376445
"All Alaska","Catcher Vessels","Sablefish","2003",13382,70528973
"Bering Sea and Aleutian Islands","All Sectors","Sablefish","2003",1888,8788611
"Bering Sea and Aleutian Islands","Catcher Processors","Sablefish","2003",627,2552174
"Bering Sea and Aleutian Islands","Catcher Vessels","Sablefish","2003",1261,6236436
"Gulf of Alaska","All Sectors","Pollock","2003",49570,10513185
"Gulf of Alaska","Catcher Processors","Pollock","2003",607,128229
"Gulf of Alaska","Catcher Vessels","Pollock","2003",48963,10384955
"All Alaska","All Sectors","Rockfish","2003",33557,9045121
"All Alaska","Catcher Processors","Rockfish","2003",22175,5379489
"All Alaska","Catcher Vessels","Rockfish","2003",11382,3665632
"Bering Sea and Aleutian Islands","All Sectors","Rockfish","2003",13346,3911759
"Bering Sea and Aleutian Islands","Catcher Processors","Rockfish","2003",13117,3778006
"Bering Sea and Aleutian Islands","Catcher Vessels","Rockfish","2003",229,133753
