"year","filename","port","species","landings","value"
2016,"Table 16PUB.pdf","Crescent City","Crab, Dungeness",6724176,20503558
2016,"Table 16PUB.pdf","Crescent City","Shrimp, ocean (pink)",1822450,1309159
2016,"Table 16PUB.pdf","Crescent City","Sablefish",142089,304513
2016,"Table 16PUB.pdf","Crescent City","Rockfish, black",130866,255382
2016,"Table 16PUB.pdf","Crescent City","Shrimp, coonstriped",53984,253259
2016,"Table 16PUB.pdf","Crescent City","Sole, Dover",364367,163965
2016,"Table 16PUB.pdf","Crescent City","Sole, petrale",86191,98235
2016,"Table 16PUB.pdf","Crescent City","Tuna, albacore",31238,57572
2016,"Table 16PUB.pdf","Crescent City","Lingcod",23003,45824
2016,"Table 16PUB.pdf","Crescent City","Skate, longnose",33259,13230
2016,"Table 16PUB.pdf","Crescent City","Sole, rex",32198,12879
2016,"Table 16PUB.pdf","Crescent City","Thornyhead, shortspine",15682,10650
2016,"Table 16PUB.pdf","Crescent City","Rockfish, blue",5214,8762
2016,"Table 16PUB.pdf","Crescent City","Cabezon",1837,8687
2016,"Table 16PUB.pdf","Crescent City","Rockfish, quillback",1065,4437
2016,"Table 16PUB.pdf","Crescent City","Smelt, night",7589,4174
2016,"Table 16PUB.pdf","Crescent City","Greenling, kelp",669,3595
2016,"Table 16PUB.pdf","Crescent City","Rockfish, vermilion",1514,3329
2016,"Table 16PUB.pdf","Crescent City","Rockfish, copper",856,3174
2016,"Table 16PUB.pdf","Crescent City","Rockfish, grass",195,1845
2016,"Table 16PUB.pdf","Crescent City","Rockfish, darkblotched",3270,1790
2016,"Table 16PUB.pdf","Crescent City","Rockfish, China",251,1578
2016,"Table 16PUB.pdf","Crescent City","Rockfish, group slope",2514,1500
2016,"Table 16PUB.pdf","Crescent City","Shark, thresher",371,994
2016,"Table 16PUB.pdf","Crescent City","Flounder, arrowtooth",7303,730
2016,"Table 16PUB.pdf","Crescent City","Smelt, surf",818,716
2016,"Table 16PUB.pdf","Crescent City","Rockfish, group shelf",1342,649
2016,"Table 16PUB.pdf","Crescent City","Halibut, Pacific",136,612
2016,"Table 16PUB.pdf","Crescent City","Surfperch, redtail",431,431
2016,"Table 16PUB.pdf","Crescent City","Salmon, Chinook",86,426
2016,"Table 16PUB.pdf","Crescent City","Rockfish, yellowtail",195,364
2016,"Table 16PUB.pdf","Crescent City","Skate, big",830,332
2016,"Table 16PUB.pdf","Crescent City","Rockfish, blackgill",142,266
2016,"Table 16PUB.pdf","Crescent City","Sole, English",751,240
2016,"Table 16PUB.pdf","Crescent City","Rockfish, redbanded",150,227
2016,"Table 16PUB.pdf","Crescent City","Rockfish, brown",36,45
2016,"Table 16PUB.pdf","Crescent City","Rockfish, Pacific ocean perch",28,12
2016,"Table 16PUB.pdf","Crescent City","Grenadier",14,7
2016,"Table 16PUB.pdf","Crescent City","Fish, unspecified",2,3
2016,"Table 16PUB.pdf","Crescent City","Rockfish, unspecified",15,0
2016,"Table 16PUB.pdf","Crescent City","Skate, unspecified",17,0
2016,"Table 16PUB.pdf","Crescent City","Trawled fish, unspecified",160,0
2016,"Table 16PUB.pdf","Crescent City","Crab, Dungeness",1936770,5961243
2016,"Table 16PUB.pdf","Crescent City","Sablefish",784405,1985218
2016,"Table 16PUB.pdf","Crescent City","Sole, Dover",2763667,1219632
2016,"Table 16PUB.pdf","Crescent City","Sole, petrale",581545,672343
2016,"Table 16PUB.pdf","Crescent City","Thornyhead, longspine",477367,290638
2016,"Table 16PUB.pdf","Crescent City","Thornyhead, shortspine",221803,233664
2016,"Table 16PUB.pdf","Crescent City","Tuna, albacore",121203,209094
2016,"Table 16PUB.pdf","Crescent City","Smelt, night",267168,146848
2016,"Table 16PUB.pdf","Crescent City","Shrimp, ocean (pink)",188398,118834
2016,"Table 16PUB.pdf","Crescent City","Skate, longnose",230684,89893
2016,"Table 16PUB.pdf","Crescent City","Lingcod",52343,51759
2016,"Table 16PUB.pdf","Crescent City","Salmon, Chinook",6441,45239
2016,"Table 16PUB.pdf","Crescent City","Sole, English",122195,39117
2016,"Table 16PUB.pdf","Crescent City","Sole, rex",95369,38014
2016,"Table 16PUB.pdf","Crescent City","Rockfish, group slope",27499,17349
2016,"Table 16PUB.pdf","Crescent City","Surfperch, redtail",16394,15962
2016,"Table 16PUB.pdf","Crescent City","Skate, big",26205,11013
2016,"Table 16PUB.pdf","Crescent City","Flounder, arrowtooth",109002,10896
2016,"Table 16PUB.pdf","Crescent City","Sanddab",18124,10857
2016,"Table 16PUB.pdf","Crescent City","Swordfish",2825,9498
2016,"Table 16PUB.pdf","Crescent City","Sanddab, Pacific",13677,8206
2016,"Table 16PUB.pdf","Crescent City","Halibut, Pacific",999,7708
2016,"Table 16PUB.pdf","Crescent City","Rockfish, darkblotched",13665,6094
2016,"Table 16PUB.pdf","Crescent City","Halibut, California",497,3311
2016,"Table 16PUB.pdf","Crescent City","Rockfish, bocaccio",6109,2975
2016,"Table 16PUB.pdf","Crescent City","Smelt, surf",5036,2738
2016,"Table 16PUB.pdf","Crescent City","Grenadier",37798,1519
2016,"Table 16PUB.pdf","Crescent City","Shark, thresher",1497,1484
2016,"Table 16PUB.pdf","Crescent City","Rockfish, yellowtail",2516,1239
2016,"Table 16PUB.pdf","Crescent City","Rockfish, group shelf",3164,1197
2016,"Table 16PUB.pdf","Crescent City","Rockfish, chilipepper",2487,1162
2016,"Table 16PUB.pdf","Crescent City","Rockfish, black",989,1153
2016,"Table 16PUB.pdf","Crescent City","Turbot, curlfin",3255,1035
2016,"Table 16PUB.pdf","Crescent City","Rockfish, canary",1407,800
2016,"Table 16PUB.pdf","Crescent City","Shark, shortfin mako",837,628
2016,"Table 16PUB.pdf","Crescent City","Eel, California moray",411,411
2016,"Table 16PUB.pdf","Crescent City","Rockfish, quillback",102,408
