"year","filename","port","species","landings","value"
2011,"Table 16PUB.pdf","Eureka","Crab, Dungeness",829819,2341494
2011,"Table 16PUB.pdf","Eureka","Sablefish",791075,2322091
2011,"Table 16PUB.pdf","Eureka","Shrimp, ocean (pink)",2861608,1500609
2011,"Table 16PUB.pdf","Eureka","Sole, Dover",2867119,1191214
2011,"Table 16PUB.pdf","Eureka","Salmon, Chinook",47086,231791
2011,"Table 16PUB.pdf","Eureka","Thornyhead, longspine",393310,211510
2011,"Table 16PUB.pdf","Eureka","Tuna, albacore",121076,205784
2011,"Table 16PUB.pdf","Eureka","Thornyhead, shortspine",205825,178441
2011,"Table 16PUB.pdf","Eureka","Sole, petrale",112842,143241
2011,"Table 16PUB.pdf","Eureka","Smelt, night",282678,138343
2011,"Table 16PUB.pdf","Eureka","Skate, longnose",220987,83069
2011,"Table 16PUB.pdf","Eureka","Sole, rex",85102,29054
2011,"Table 16PUB.pdf","Eureka","Smelt, surf",64038,28817
2011,"Table 16PUB.pdf","Eureka","Flounder, arrowtooth",143204,14176
2011,"Table 16PUB.pdf","Eureka","Rockfish, group slope",20614,8912
2011,"Table 16PUB.pdf","Eureka","Surfperch, redtail",8058,8058
2011,"Table 16PUB.pdf","Eureka","Grenadier",45803,5321
2011,"Table 16PUB.pdf","Eureka","Halibut, Pacific",805,4919
2011,"Table 16PUB.pdf","Eureka","Rockfish, darkblotched",3700,1740
2011,"Table 16PUB.pdf","Eureka","Skate, unspecified",4377,1723
2011,"Table 16PUB.pdf","Eureka","Lingcod",2648,1545
2011,"Table 16PUB.pdf","Eureka","Sanddab",2947,1179
2011,"Table 16PUB.pdf","Eureka","Sole, English",2705,865
2011,"Table 16PUB.pdf","Eureka","Rockfish, black",146,107
2011,"Table 16PUB.pdf","Eureka","Rockfish, Pacific ocean perch",136,58
2011,"Table 16PUB.pdf","Eureka","Rockfish, splitnose",72,24
2011,"Table 16PUB.pdf","Eureka","Rockfish, blackgill",31,16
2011,"Table 16PUB.pdf","Eureka","Rockfish, chilipepper",30,12
2011,"Table 16PUB.pdf","Eureka","Rockfish, group shelf",28,11
2011,"Table 16PUB.pdf","Eureka","Skate, big",27,11
2011,"Table 16PUB.pdf","Eureka","Rockfish, 14",11,NA
2011,"Table 16PUB.pdf","Eureka","Rockfish, 12",9,NA
2011,"Table 16PUB.pdf","Eureka","Rockfish, 16",9,NA
2011,"Table 16PUB.pdf","Eureka","Rockfish, 18",8,NA
2011,"Table 16PUB.pdf","Eureka","Rockfish, 17",8,NA
2011,"Table 16PUB.pdf","Eureka","Rockfish, blue",10,8
2011,"Table 16PUB.pdf","Eureka","Rockfish, quillback",7,5
2011,"Table 16PUB.pdf","Eureka","Flounder, starry",24,4
2011,"Table 16PUB.pdf","Eureka","Rockfish, canary",6,3
2011,"Table 16PUB.pdf","Eureka","Sole, unspecified",1975,0
2011,"Table 16PUB.pdf","Eureka","Ratfish, spotted",3,0
2011,"Table 16PUB.pdf","Eureka","Shark, spiny dogfish",1,0
2011,"Table 16PUB.pdf","Eureka","Trawled fish, unspecified",3745,0
2011,"Table 16PUB.pdf","Eureka","Whiting, Pacific",250,0
2011,"Table 16PUB.pdf","Eureka","Shark, unspecified",171,0
2011,"Table 16PUB.pdf","Eureka","Eel",1,0
2011,"Table 16PUB.pdf","Eureka","Fish, unspecified",92,0
2011,"Table 16PUB.pdf","Eureka","Rockfish, redbanded",2,0
2011,"Table 16PUB.pdf","Eureka","Turbot, curlfin",36,0
2011,"Table 16PUB.pdf","Eureka","Crab, tanner",3014,0
2011,"Table 16PUB.pdf","Eureka","Mollusk, unspecified",1,0
2011,"Table 16PUB.pdf","Eureka","Cabezon",10,0
2011,"Table 16PUB.pdf","Eureka","Port Totals:",9127320,8654199
2011,"Table 16PUB.pdf","Crescent City","Crab, Dungeness",1791084,4723565
2011,"Table 16PUB.pdf","Crescent City","Shrimp, ocean (pink)",4513524,2183524
2011,"Table 16PUB.pdf","Crescent City","Sablefish",150362,448974
2011,"Table 16PUB.pdf","Crescent City","Tuna, albacore",244948,335368
2011,"Table 16PUB.pdf","Crescent City","Shrimp, coonstriped",73671,299300
2011,"Table 16PUB.pdf","Crescent City","Sole, Dover",458110,190505
2011,"Table 16PUB.pdf","Crescent City","Rockfish, black",48101,83272
2011,"Table 16PUB.pdf","Crescent City","Salmon, Chinook",8288,40041
2011,"Table 16PUB.pdf","Crescent City","Lingcod",9456,20792
2011,"Table 16PUB.pdf","Crescent City","Sole, petrale",15067,19370
2011,"Table 16PUB.pdf","Crescent City","Cabezon",4872,17242
2011,"Table 16PUB.pdf","Crescent City","Thornyhead, shortspine",23100,15243
2011,"Table 16PUB.pdf","Crescent City","Rockfish, blue",11007,14448
2011,"Table 16PUB.pdf","Crescent City","Sole, rex",41383,14070
2011,"Table 16PUB.pdf","Crescent City","Thornyhead, longspine",26767,13959
2011,"Table 16PUB.pdf","Crescent City","Skate, longnose",21447,8499
2011,"Table 16PUB.pdf","Crescent City","Rockfish, quillback",1737,8492
