"year","filename","port","species","landings","value"
2001,"landings01_table16pub.pdf","Crescent City","Crab, Dungeness",1112953,2585158
2001,"landings01_table16pub.pdf","Crescent City","Sablefish",556829,632186
2001,"landings01_table16pub.pdf","Crescent City","Shrimp, Pacific Ocean",1865995,492208
2001,"landings01_table16pub.pdf","Crescent City","Shrimp, coonstriped",80725,300080
2001,"landings01_table16pub.pdf","Crescent City","Thornyhead, longspine",268839,286158
2001,"landings01_table16pub.pdf","Crescent City","Tuna, albacore",366155,284682
2001,"landings01_table16pub.pdf","Crescent City","Sole, Dover",702233,262031
2001,"landings01_table16pub.pdf","Crescent City","Rockfish, black",132779,148778
2001,"landings01_table16pub.pdf","Crescent City","Whiting, Pacific",4426439,144768
2001,"landings01_table16pub.pdf","Crescent City","Shark, thresher",81213,108340
2001,"landings01_table16pub.pdf","Crescent City","Sole, petrale",98225,86527
2001,"landings01_table16pub.pdf","Crescent City","Thornyhead, shortspine",61963,76367
2001,"landings01_table16pub.pdf","Crescent City","Rockfish, widow",159098,71581
2001,"landings01_table16pub.pdf","Crescent City","Sole, English",173518,62479
2001,"landings01_table16pub.pdf","Crescent City","Skate, unspecified",293749,58874
2001,"landings01_table16pub.pdf","Crescent City","Sole, rex",128235,57706
2001,"landings01_table16pub.pdf","Crescent City","Rockfish, quillback",15520,53731
2001,"landings01_table16pub.pdf","Crescent City","Lingcod",39279,48248
2001,"landings01_table16pub.pdf","Crescent City","Sole, sand",51331,43803
2001,"landings01_table16pub.pdf","Crescent City","Crab, box",30416,29989
2001,"landings01_table16pub.pdf","Crescent City","Salmon, chinook",17650,29463
2001,"landings01_table16pub.pdf","Crescent City","Sanddab",87646,28571
2001,"landings01_table16pub.pdf","Crescent City","Rockfish, yellowtail",51611,24108
2001,"landings01_table16pub.pdf","Crescent City","Smelt, night",68998,19865
2001,"landings01_table16pub.pdf","Crescent City","Shrimp, unspecified",64807,19442
2001,"landings01_table16pub.pdf","Crescent City","Cabezon",5082,16065
2001,"landings01_table16pub.pdf","Crescent City","Rockfish, blue",16308,15828
2001,"landings01_table16pub.pdf","Crescent City","Prawn, spot",1206,15513
2001,"landings01_table16pub.pdf","Crescent City","Greenling, kelp",3986,15229
2001,"landings01_table16pub.pdf","Crescent City","Rockfish, copper",5394,14183
2001,"landings01_table16pub.pdf","Crescent City","Rockfish, yelloweye",4572,12402
2001,"landings01_table16pub.pdf","Crescent City","Hagfishes",44167,10923
2001,"landings01_table16pub.pdf","Crescent City","Thornyheads",12184,10647
2001,"landings01_table16pub.pdf","Crescent City","Rockfish, China",1986,9850
2001,"landings01_table16pub.pdf","Crescent City","Flounder, starry",21001,9437
2001,"landings01_table16pub.pdf","Crescent City","Rockfish, group slope",21627,7953
2001,"landings01_table16pub.pdf","Crescent City","Rockfish, canary",9750,7605
2001,"landings01_table16pub.pdf","Crescent City","Rockfish, vermilion",3936,7252
2001,"landings01_table16pub.pdf","Crescent City","Anchovy, northern",5075,6344
2001,"landings01_table16pub.pdf","Crescent City","Herring, Roe",20892,6111
2001,"landings01_table16pub.pdf","Crescent City","Urchin, red",13394,5364
