"year","filename","port","species","landings","value"
2017,"Table 16PUB.pdf","Crescent City","Rockfish, black-and-yellow",14,120
2017,"Table 16PUB.pdf","Crescent City","Skate, big",242,97
2017,"Table 16PUB.pdf","Crescent City","Rockfish, brown",31,65
2017,"Table 16PUB.pdf","Crescent City","Rockfish, olive",41,51
2017,"Table 16PUB.pdf","Crescent City","Rockfish, rougheye",97,49
2017,"Table 16PUB.pdf","Crescent City","Sole, curlfin",58,29
2017,"Table 16PUB.pdf","Crescent City","Rockfish, blackgill",20,29
2017,"Table 16PUB.pdf","Crescent City","Rockfish, Pacific ocean perch",46,23
2017,"Table 16PUB.pdf","Crescent City","Rockfish, bocaccio",35,18
2017,"Table 16PUB.pdf","Crescent City","Rockfish, gopher",4,10
2017,"Table 16PUB.pdf","Crescent City","Fish, unspecified",2,3
2017,"Table 16PUB.pdf","Crescent City","Flounder, starry",5,2
2017,"Table 16PUB.pdf","Crescent City","Trawled fish, unspecified",98,0
2017,"Table 16PUB.pdf","Crescent City","Hagfishes",130,0
2017,"Table 16PUB.pdf","Crescent City","Port Totals:",5106486,7437015
2017,"Table 16PUB.pdf","Trinidad","Crab, Dungeness",445281,1499052
2017,"Table 16PUB.pdf","Trinidad","Lingcod",2179,6035
2017,"Table 16PUB.pdf","Trinidad","Sablefish",275,688
2017,"Table 16PUB.pdf","Trinidad","Rockfish, canary",43,85
2017,"Table 16PUB.pdf","Trinidad","Rockfish, vermilion",38,77
2017,"Table 16PUB.pdf","Trinidad","Rockfish, yellowtail",16,31
2017,"Table 16PUB.pdf","Trinidad","Rockfish, bocaccio",10,20
2017,"Table 16PUB.pdf","Trinidad","Skate, big",22,9
2017,"Table 16PUB.pdf","Trinidad","Skate, longnose",9,4
2017,"Table 16PUB.pdf","Trinidad","Port Totals:",447873,1505999
2017,"Table 16PUB.pdf","Shelter Cove","Crab, Dungeness",45341,171240
2017,"Table 16PUB.pdf","Shelter Cove","Lingcod",4628,14119
2017,"Table 16PUB.pdf","Shelter Cove","Rockfish, black",2545,6884
2017,"Table 16PUB.pdf","Shelter Cove","Sablefish",934,2974
2017,"Table 16PUB.pdf","Shelter Cove","Rockfish, vermilion",817,2926
2017,"Table 16PUB.pdf","Shelter Cove","Rockfish, canary",985,2882
2017,"Table 16PUB.pdf","Shelter Cove","Rockfish, blue",988,2590
2017,"Table 16PUB.pdf","Shelter Cove","Rockfish, yellowtail",765,1918
2017,"Table 16PUB.pdf","Shelter Cove","Sole, petrale",423,1692
2017,"Table 16PUB.pdf","Shelter Cove","Salmon, Chinook",170,1628
2017,"Table 16PUB.pdf","Shelter Cove","Tuna, albacore",405,1290
2017,"Table 16PUB.pdf","Shelter Cove","Rockfish, widow",427,1068
2017,"Table 16PUB.pdf","Shelter Cove","Rockfish, copper",258,994
2017,"Table 16PUB.pdf","Shelter Cove","Rockfish, brown",184,983
2017,"Table 16PUB.pdf","Shelter Cove","Sanddab",279,570
2017,"Table 16PUB.pdf","Shelter Cove","Jacksmelt",230,462
2017,"Table 16PUB.pdf","Shelter Cove","Rockfish, redbanded",125,345
2017,"Table 16PUB.pdf","Shelter Cove","Rockfish, quillback",87,337
2017,"Table 16PUB.pdf","Shelter Cove","Sole, rock",79,317
2017,"Table 16PUB.pdf","Shelter Cove","Rockfish, group slope",49,172
2017,"Table 16PUB.pdf","Shelter Cove","Rockfish, China",25,169
2017,"Table 16PUB.pdf","Shelter Cove","Rockfish, group small",50,150
2017,"Table 16PUB.pdf","Shelter Cove","Halibut, California",20,140
2017,"Table 16PUB.pdf","Shelter Cove","Rockfish, bocaccio",54,136
2017,"Table 16PUB.pdf","Shelter Cove","Rockfish, greenspotted",30,120
2017,"Table 16PUB.pdf","Shelter Cove","Rockfish, olive",44,116
2017,"Table 16PUB.pdf","Shelter Cove","Rockfish, rosy",29,113
2017,"Table 16PUB.pdf","Shelter Cove","Thornyhead, shortspine",34,102
2017,"Table 16PUB.pdf","Shelter Cove","Rockfish, unspecified",23,79
2017,"Table 16PUB.pdf","Shelter Cove","Rockfish, rosethorn",14,57
2017,"Table 16PUB.pdf","Shelter Cove","Sole, sand",13,52
2017,"Table 16PUB.pdf","Shelter Cove","Rockfish, chilipepper",20,50
2017,"Table 16PUB.pdf","Shelter Cove","Rockfish, starry",9,36
2017,"Table 16PUB.pdf","Shelter Cove","Rockfish, gopher",3,12
2017,"Table 16PUB.pdf","Shelter Cove","Greenling, kelp",4,11
2017,"Table 16PUB.pdf","Shelter Cove","Mackerel, Pacific",4,8
2017,"Table 16PUB.pdf","Shelter Cove","Skate, longnose",22,0
2017,"Table 16PUB.pdf","Fields Landing","Crab, Dungeness",1242,3571
2017,"Table 16PUB.pdf","Fields Landing","Tuna, albacore",208,832
2017,"Table 16PUB.pdf","Fields Landing","Lingcod",23,115
2017,"Table 16PUB.pdf","Fields Landing","Rockfish, olive",3,12
2017,"Table 16PUB.pdf","Fields Landing","Rockfish, canary",1,4
2017,"Table 16PUB.pdf","All Other Ports","Hagfishes",651281,386999
2017,"Table 16PUB.pdf","All Other Ports","Crab, Dungeness",9705,33145
2017,"Table 17PUB.pdf","San Francisco","Crab, Dungeness",2316341,8560751
2017,"Table 17PUB.pdf","San Francisco","Halibut, California",178512,1157536
2017,"Table 17PUB.pdf","San Francisco","Swordfish",294383,1016771
2017,"Table 17PUB.pdf","San Francisco","Salmon, Chinook",107353,995818
2017,"Table 17PUB.pdf","San Francisco","Squid, market",1217776,570710
2017,"Table 17PUB.pdf","San Francisco","Sablefish",112102,397716
2017,"Table 17PUB.pdf","San Francisco","Tuna, bigeye",118171,395746
2017,"Table 17PUB.pdf","San Francisco","Shrimp, coonstriped",55046,286031
2017,"Table 17PUB.pdf","San Francisco","Opah",136436,148953
2017,"Table 17PUB.pdf","San Francisco","Tuna, yellowfin",30779,99759
2017,"Table 17PUB.pdf","San Francisco","Rockfish, chilipepper",103197,57649
