"year","filename","port","species","landings","value"
2002,"landings02_table16pub.pdf","Eureka","Crab, Dungeness",795493,1218302
2002,"landings02_table16pub.pdf","Eureka","Tuna, albacore",1452531,954882
2002,"landings02_table16pub.pdf","Eureka","Sablefish",549914,733340
2002,"landings02_table16pub.pdf","Eureka","Shrimp, Pacific Ocean",2132298,608287
2002,"landings02_table16pub.pdf","Eureka","Sole, Dover",1499829,558763
2002,"landings02_table16pub.pdf","Eureka","Thornyhead, longspine",434875,462511
2002,"landings02_table16pub.pdf","Eureka","Sole, petrale",410613,301943
2002,"landings02_table16pub.pdf","Eureka","Whiting, Pacific",6113066,265418
2002,"landings02_table16pub.pdf","Eureka","Salmon, chinook",129100,230782
2002,"landings02_table16pub.pdf","Eureka","Thornyhead, shortspine",138797,178629
2002,"landings02_table16pub.pdf","Eureka","Sole, English",324532,116832
2002,"landings02_table16pub.pdf","Eureka","Sole, rex",160775,72228
2002,"landings02_table16pub.pdf","Eureka","Rockfish, black",50070,65790
2002,"landings02_table16pub.pdf","Eureka","Sanddab",194438,64238
2002,"landings02_table16pub.pdf","Eureka","Thornyheads",49999,57449
2002,"landings02_table16pub.pdf","Eureka","Rockfish, widow",92173,41484
2002,"landings02_table16pub.pdf","Eureka","Smelt, night",139388,37250
2002,"landings02_table16pub.pdf","Eureka","Lingcod",30121,35377
2002,"landings02_table16pub.pdf","Eureka","Smelt, surf",129528,33669
2002,"landings02_table16pub.pdf","Eureka","Rockfish, copper",12243,32178
2002,"landings02_table16pub.pdf","Eureka","Surfperch, redtail",24610,30693
2002,"landings02_table16pub.pdf","Eureka","Herring, Roe",65918,25366
2002,"landings02_table16pub.pdf","Eureka","Rockfish, group slope",38301,20566
2002,"landings02_table16pub.pdf","Eureka","Halibut, California",7514,19012
2002,"landings02_table16pub.pdf","Eureka","Rockfish, China",2928,17118
2002,"landings02_table16pub.pdf","Eureka","Rockfish, quillback",4295,15310
2002,"landings02_table16pub.pdf","Eureka","Crab, rock unspecified",11129,13966
2002,"landings02_table16pub.pdf","Eureka","Skate, unspecified",69455,11700
2002,"landings02_table16pub.pdf","Eureka","Cabezon",3887,11303
2002,"landings02_table16pub.pdf","Eureka","Rockfish, yellowtail",24354,10912
2002,"landings02_table16pub.pdf","Eureka","Grenadiers",65234,9802
2002,"landings02_table16pub.pdf","Eureka","Rockfish, brown",2804,9650
2002,"landings02_table16pub.pdf","Eureka","Rockfish, blue",10206,9608
2002,"landings02_table16pub.pdf","Eureka","Rockfish, vermilion",4254,7398
2002,"landings02_table16pub.pdf","Eureka","Shrimp, coonstriped",2167,7374
2002,"landings02_table16pub.pdf","Eureka","Shark, leopard",7372,5034
2002,"landings02_table16pub.pdf","Eureka","Rockfish, canary",10388,4728
2002,"landings02_table16pub.pdf","Eureka","Flounder, arrowtooth",27686,4522
2002,"landings02_table16pub.pdf","Eureka","Rockfish, group shelf",9273,4176
2002,"landings02_table16pub.pdf","Eureka","Flounder, starry",9169,4118
2002,"landings02_table16pub.pdf","Eureka","Rockfish, chilipepper",8540,3138
2002,"landings02_table16pub.pdf","Eureka","Sole, sand",3167,2511
2002,"landings02_table16pub.pdf","Eureka","Rockfish, darkblotched",5315,2379
2002,"landings02_table16pub.pdf","Eureka","Surfperch, unspecified",1252,1565
2002,"landings02_table16pub.pdf","Eureka","Snail, sea",2172,1436
2002,"landings02_table16pub.pdf","Eureka","Rockfish, gopher",349,1412
2002,"landings02_table16pub.pdf","Eureka","Prawn, spot",441,1323
2002,"landings02_table16pub.pdf","Eureka","Turbot",2960,1258
2002,"landings02_table16pub.pdf","Eureka","Rockfish, blackgill",897,875
2002,"landings02_table16pub.pdf","Eureka","Greenling, kelp",279,820
2002,"landings02_table16pub.pdf","Eureka","Mackerel, unspecified",382,478
2002,"landings02_table16pub.pdf","Eureka","Rockfish, redbanded",480,466
2002,"landings02_table16pub.pdf","Eureka","Rockfish, bocaccio",438,197
2002,"landings02_table16pub.pdf","Eureka","Silversides",332,100
2002,"landings02_table16pub.pdf","Eureka","Shark, sevengill",98,74
2002,"landings02_table16pub.pdf","Eureka","Rockfish, group small",29,61
2002,"landings02_table16pub.pdf","Eureka","Rockfish, Pacific ocean perch",108,47
2002,"landings02_table16pub.pdf","Eureka","Shark, shortfin mako",46,46
2002,"landings02_table16pub.pdf","Eureka","Rockfish, splitnose",105,45
2002,"landings02_table16pub.pdf","Eureka","Rockfish, grass",25,31
2002,"landings02_table16pub.pdf","Eureka","Shark, soupfin",23,23
2002,"landings02_table16pub.pdf","Eureka","Shark, blue",44,22
2002,"landings02_table16pub.pdf","Eureka","Octopus, unspecified",43,22
2002,"landings02_table16pub.pdf","Eureka","Crab, spider",17,17
2002,"landings02_table16pub.pdf","Eureka","Rockfish, greenstriped",30,12
2002,"landings02_table16pub.pdf","Eureka","Shark, thresher",27,9
2002,"landings02_table16pub.pdf","Eureka","Rockfish, black-and-yellow",5,8
2002,"landings02_table16pub.pdf","Eureka","Sole, rock",2,2
2002,"landings02_table16pub.pdf","Eureka","Mackerel, jack",321,0
2002,"landings02_table16pub.pdf","Eureka","Shark, spiny dogfish",5,0
2002,"landings02_table16pub.pdf","Eureka","Port Totals:",15268656,6330079
2002,"landings02_table16pub.pdf","Crescent City","Crab, Dungeness",1635003,2452769
2002,"landings02_table16pub.pdf","Crescent City","Sablefish",358227,406440
2002,"landings02_table16pub.pdf","Crescent City","Sole, Dover",984558,368959
2002,"landings02_table16pub.pdf","Crescent City","Thornyhead, longspine",341848,344570
2002,"landings02_table16pub.pdf","Crescent City","Shrimp, Pacific Ocean",1163805,335564
2002,"landings02_table16pub.pdf","Crescent City","Shrimp, coonstriped",78550,282578
2002,"landings02_table16pub.pdf","Crescent City","Rockfish, black",119682,198848
2002,"landings02_table16pub.pdf","Crescent City","Sole, petrale",153760,127023
2002,"landings02_table16pub.pdf","Crescent City","Shark, thresher",94866,124864
2002,"landings02_table16pub.pdf","Crescent City","Tuna, albacore",137773,106021
2002,"landings02_table16pub.pdf","Crescent City","Thornyhead, shortspine",81879,99165
2002,"landings02_table16pub.pdf","Crescent City","Sole, English",273319,98413
2002,"landings02_table16pub.pdf","Crescent City","Sole, rex",216859,97331
2002,"landings02_table16pub.pdf","Crescent City","Salmon, chinook",47941,95423
2002,"landings02_table16pub.pdf","Crescent City","Sanddab",287239,95182
2002,"landings02_table16pub.pdf","Crescent City","Lingcod",49736,70994
2002,"landings02_table16pub.pdf","Crescent City","Sole, sand",40097,33765
2002,"landings02_table16pub.pdf","Crescent City","Greenling, kelp",4542,18553
2002,"landings02_table16pub.pdf","Crescent City","Rockfish, blue",12965,17003
2002,"landings02_table16pub.pdf","Crescent City","Rockfish, quillback",4223,16276
2002,"landings02_table16pub.pdf","Crescent City","Rockfish, group slope",24419,9815
2002,"landings02_table16pub.pdf","Crescent City","Cabezon",3047,9752
2002,"landings02_table16pub.pdf","Crescent City","Rockfish, China",2042,9649
2002,"landings02_table16pub.pdf","Crescent City","Smelt, night",36356,9157
2002,"landings02_table16pub.pdf","Crescent City","Rockfish, copper",2475,8153
2002,"landings02_table16pub.pdf","Crescent City","Skate, unspecified",52138,6934
2002,"landings02_table16pub.pdf","Crescent City","Thornyheads",7099,6273
2002,"landings02_table16pub.pdf","Crescent City","Snail, sea",5623,5623
2002,"landings02_table16pub.pdf","Crescent City","Rockfish, brown",1697,5337
2002,"landings02_table16pub.pdf","Crescent City","Rockfish, grass",754,4870
2002,"landings02_table16pub.pdf","Crescent City","Herring, Roe",12277,4788
2002,"landings02_table16pub.pdf","Crescent City","Rockfish, darkblotched",10464,4617
2002,"landings02_table16pub.pdf","Crescent City","Flounder, arrowtooth",34760,4576
2002,"landings02_table16pub.pdf","Crescent City","Rockfish, vermilion",1982,3876
2002,"landings02_table16pub.pdf","Crescent City","Rockfish, canary",6216,3020
2002,"landings02_table16pub.pdf","Crescent City","Surfperch, redtail",2297,2869
2002,"landings02_table16pub.pdf","Crescent City","Flounder, starry",7377,2855
2002,"landings02_table16pub.pdf","Crescent City","Rockfish, group shelf",4612,2160
2002,"landings02_table16pub.pdf","Crescent City","Octopus, unspecified",3619,2039
2002,"landings02_table16pub.pdf","Crescent City","Rockfish, yellowtail",2419,1830
2002,"landings02_table16pub.pdf","Crescent City","Crab, rock unspecified",658,1602
2002,"landings02_table16pub.pdf","Crescent City","Tuna, bluefin",826,1277
2002,"landings02_table16pub.pdf","Crescent City","Grenadiers",8317,1268
2002,"landings02_table16pub.pdf","Crescent City","Rockfish, group nearshore",1706,1109
2002,"landings02_table16pub.pdf","Crescent City","Turbot",1379,581
2002,"landings02_table16pub.pdf","Crescent City","Swordfish",172,516
2002,"landings02_table16pub.pdf","Crescent City","Rockfish, widow",526,396
2002,"landings02_table16pub.pdf","Crescent City","Rockfish, group small",956,306
2002,"landings02_table16pub.pdf","Crescent City","Shark, sixgill",161,253
2002,"landings02_table16pub.pdf","Crescent City","Halibut, California",124,248
2002,"landings02_table16pub.pdf","Crescent City","Rockfish, black-and-yellow",91,230
2002,"landings02_table16pub.pdf","Crescent City","Shark, soupfin",123,123
2002,"landings02_table16pub.pdf","Crescent City","Halibut, Pacific",30,100
2002,"landings02_table16pub.pdf","Crescent City","Rockfish, gopher",22,97
2002,"landings02_table16pub.pdf","Crescent City","Rockfish, redbanded",60,74
2002,"landings02_table16pub.pdf","Crescent City","Shark, shortfin mako",46,58
2002,"landings02_table16pub.pdf","Crescent City","Rockfish, unspecified",114,38
2002,"landings02_table16pub.pdf","Crescent City","Sole, butter",69,28
2002,"landings02_table16pub.pdf","Crescent City","Sculpin, staghorn",8,23
2002,"landings02_table16pub.pdf","Crescent City","Shark, unspecified",2,17
2002,"landings02_table16pub.pdf","Crescent City","Rockfish, olive",12,17
2002,"landings02_table16pub.pdf","Crescent City","Eel, monkeyface",3,14
2002,"landings02_table16pub.pdf","Crescent City","Rockfish, group bolina",3,11
2002,"landings02_table16pub.pdf","Crescent City","Sole, rock",28,10
2002,"landings02_table16pub.pdf","Crescent City","Fish, unspecified",2,5
2002,"landings02_table16pub.pdf","Crescent City","Rockfish, yelloweye",6,4
2002,"landings02_table16pub.pdf","Crescent City","Sole, unspecified",2,4
2002,"landings02_table16pub.pdf","Crescent City","Surfperch, unspecified",3,3
2002,"landings02_table16pub.pdf","Crescent City","Rockfish, bocaccio",4,2
2002,"landings02_table16pub.pdf","Crescent City","Croaker, white",300,0
2002,"landings02_table16pub.pdf","Crescent City","Port Totals:",6324296,5506344
2002,"landings02_table16pub.pdf","Trinidad","Crab, Dungeness",311754,506741
2002,"landings02_table16pub.pdf","Trinidad","Rockfish, black",20638,24513
2002,"landings02_table16pub.pdf","Trinidad","Salmon, chinook",6867,12915
2002,"landings02_table16pub.pdf","Trinidad","Lingcod",579,918
2002,"landings02_table16pub.pdf","Trinidad","Cabezon",247,749
2002,"landings02_table16pub.pdf","Trinidad","Rockfish, grass",105,695
2002,"landings02_table16pub.pdf","Trinidad","Greenling, kelp",46,182
2002,"landings02_table16pub.pdf","Trinidad","Rockfish, copper",125,151
2002,"landings02_table16pub.pdf","Trinidad","Rockfish, quillback",22,108
2002,"landings02_table16pub.pdf","Trinidad","Rockfish, blue",86,68
2002,"landings02_table16pub.pdf","Trinidad","Halibut, California",30,60
2002,"landings02_table16pub.pdf","Trinidad","Rockfish, black-and-yellow",10,52
2002,"landings02_table16pub.pdf","Trinidad","Rockfish, group shelf",9,23
2002,"landings02_table16pub.pdf","Trinidad","Rockfish, China",3,18
2002,"landings02_table16pub.pdf","Trinidad","Rockfish, vermilion",10,14
2002,"landings02_table16pub.pdf","Trinidad","Sanddab",4,4
2002,"landings02_table16pub.pdf","Trinidad","Smelt, night",1,2
2002,"landings02_table16pub.pdf","Trinidad","Eel, monkeyface",4,0
2002,"landings02_table16pub.pdf","Trinidad","Rockfish, brown",9,0
2002,"landings02_table16pub.pdf","Trinidad","Port Totals:",340546,547212
2002,"landings02_table16pub.pdf","Shelter Cove","Salmon, chinook",10239,14987
2002,"landings02_table16pub.pdf","Shelter Cove","Urchin, red",8354,6279
2002,"landings02_table16pub.pdf","Shelter Cove","Rockfish, black",2338,3165
2002,"landings02_table16pub.pdf","Shelter Cove","Rockfish, blue",1908,2954
2002,"landings02_table16pub.pdf","Shelter Cove","Lingcod",1133,2448
2002,"landings02_table16pub.pdf","Shelter Cove","Crab, Dungeness",927,2307
2002,"landings02_table16pub.pdf","Shelter Cove","Cabezon",422,1258
2002,"landings02_table16pub.pdf","Shelter Cove","Crab, rock unspecified",498,896
2002,"landings02_table16pub.pdf","Shelter Cove","Rockfish, China",190,497
2002,"landings02_table16pub.pdf","Shelter Cove","Rockfish, vermilion",245,490
2002,"landings02_table16pub.pdf","Shelter Cove","Halibut, California",120,450
2002,"landings02_table16pub.pdf","Shelter Cove","Greenling, kelp",42,189
2002,"landings02_table16pub.pdf","Shelter Cove","Rockfish, chilipepper",50,100
2002,"landings02_table16pub.pdf","Shelter Cove","Rockfish, yellowtail",20,35
