"year","filename","X","X.1","X.2","X.3","X.4","X.5","P..Hueneme","X.6","X.7","X.8","X.9","X.10","X.11","X.12"
2000,"landings00_cpfv2.pdf","S. Diego","Oceanside","",NA,"Seal Bch","Redondo","Oxnard/ Southern","",NA,"Monterey","Princeton","S.Fran","Fort Bragg","Northern"
2000,"landings00_cpfv2.pdf","TotalCommon Name Mission Bay ***","Dana Harbor","Newport Beach",NA,"Long Bch S. Pedro","Mr del Rey Malibu","Ventura S. Barbara Total","Avila Bch Morro Bay",NA,"Moss Land S. Cruz","Bodega Bay","S.F Bay- Delta","Eureka Cres City",""
2000,"landings00_cpfv2.pdf","Barracuda, California  30,536","30,616","21,719",NA,"124,820","23,726","25,492  256,909","0",NA,"8","0","4","0","12"
2000,"landings00_cpfv2.pdf","Bass, barred sand  55,318","147,065","116,432",NA,"275,243","94,489","49,057  737,604","0",NA,"0","6","0","0","6"
2000,"landings00_cpfv2.pdf","Bass, kelp (calico)  42,424","27,041","30,000",NA,"102,341","35,703","39,697  277,206","0",NA,"0","0","0","0","0"
2000,"landings00_cpfv2.pdf","Bass, striped  0","0","0",NA,"0","0","0  0","0",NA,"20","637","17,844","0","18,501"
2000,"landings00_cpfv2.pdf","Bonito, Pacific  8,722","6,267","8,118",NA,"13,639","7,756","108  44,610","0",NA,"0","0","0","0","0"
2000,"landings00_cpfv2.pdf","Cabezon  60","26","55",NA,"253","241","1,052  1,687","84",NA,"44","1,030","484","88","1,730"
2000,"landings00_cpfv2.pdf","Croaker, white  1,677","288","791",NA,"2,797","624","751  6,928","0",NA,"20","45","428","0","493"
2000,"landings00_cpfv2.pdf","Fishes, unspecified^  5,347","1,772","3,447",NA,"27,671","2,287","2,257  42,781","6",NA,"540","206","839","0","1,591"
2000,"landings00_cpfv2.pdf","Flatfishes, unspecified^  425","294","1,032",NA,"88,099","3,112","2,934  95,896","53",NA,"2,808","250","614","51","3,776"
2000,"landings00_cpfv2.pdf","Greenling, kelp  0","0","0",NA,"0","0","5  5","18",NA,"1","316","42","5","382"
2000,"landings00_cpfv2.pdf","Halibut, California  431","1,703","645",NA,"2,628","2,970","2,094  10,471","117",NA,"251","317","4,709","0","5,394"
2000,"landings00_cpfv2.pdf","Invertebrates, unspecified^^  826","2,002","4,855",NA,"5,012","1","22,816  35,512","0",NA,"659","5,362","13,290","3,582","22,893"
2000,"landings00_cpfv2.pdf","Lingcod  177","2","1",NA,"93","33","940  1,246","1,443",NA,"682","4,116","2,272","940","9,453"
2000,"landings00_cpfv2.pdf","Mackerel, jack  618","430","1,136",NA,"3,149","409","178  5,920","0",NA,"294","74","82","0","450"
2000,"landings00_cpfv2.pdf","Mackerel, Pacific  16,636","19,190","15,964",NA,"36,023","17,670","5,784  111,267","9",NA,"477","28","36","261","811"
2000,"landings00_cpfv2.pdf","Other highly migratory spp^^^  113,318","4,067","6,475",NA,"5,280","15","225  129,380","4",NA,"1","0","0","0","5"
2000,"landings00_cpfv2.pdf","Rockfish, blue  0","0","0",NA,"0","0","0  0","0",NA,"19","0","0","0","19"
2000,"landings00_cpfv2.pdf","Rockfish, canary  0","0","0",NA,"0","0","3  3","140",NA,"1,074","124","0","562","1,900"
2000,"landings00_cpfv2.pdf","Rockfish, copper  0","0","0",NA,"0","0","0  0","0",NA,"102","0","0","42","144"
2000,"landings00_cpfv2.pdf","Rockfish, gopher  0","0","0",NA,"0","0","0  0","3",NA,"0","0","0","0","3"
2000,"landings00_cpfv2.pdf","Rockfish, yelloweye  0","0","0",NA,"0","0","0  0","1",NA,"0","0","0","0","1"
2000,"landings00_cpfv2.pdf","Rockfishes, unspecified^  45,472","9,271","4,921",NA,"82,479","51,750","135,875  329,768","116,176",NA,"104,489","131,405","67,653","40,453","460,176"
2000,"landings00_cpfv2.pdf","Salmon, king (chinook)  10","2","1",NA,"15","2","7  37","122",NA,"28,628","9,891","30,042","8,061","76,744"
2000,"landings00_cpfv2.pdf","Sanddab  30","1","0",NA,"4,502","0","578  5,111","0",NA,"405","74","21","0","500"
2000,"landings00_cpfv2.pdf","Scorpionfish, California  27,788","11,233","15,805",NA,"32,506","74,122","7,963  169,417","0",NA,"0","0","0","0","0"
2000,"landings00_cpfv2.pdf","Seabass, white  292","264","963",NA,"5,448","480","10,023  17,470","0",NA,"3","0","25","0","28"
2000,"landings00_cpfv2.pdf","Shark, unspecified^  123","104","185",NA,"174","61","96  743","2",NA,"201","10","491","6","710"
2000,"landings00_cpfv2.pdf","Sheephead, California  2,000","1,616","2,426",NA,"18,089","1,548","7,005  32,684","2",NA,"0","0","0","0","2"
2000,"landings00_cpfv2.pdf","Sturgeon, unspecified^  0","0","0",NA,"0","0","0  0","0",NA,"0","36","303","0","339"
2000,"landings00_cpfv2.pdf","Tuna, albacore  106,829","2,455","2,079",NA,"2,122","127","683  114,295","5,618",NA,"6,201","979","565","19","13,382"
2000,"landings00_cpfv2.pdf","Whitefish, ocean  24,933","2,975","4,910",NA,"47,614","9,424","54,199  144,055","3",NA,"1","1","0","0","5"
2000,"landings00_cpfv2.pdf","Yellowtail  77,396","4,944","5,794",NA,"11,502","220","6,112  105,968","0",NA,"0","0","0","0","0"
2000,"landings00_cpfv2.pdf","Total Landings:  561,388","273,628","247,754",NA,"891,499","326,770","375,934  2,676,973","123,801",NA,"146,928","154,907","139,744","54,070","619,450"
2000,"landings00_cpfv2.pdf","Number of Anglers:  165,447","68,551","57,502",NA,"147,559","63,765","73,538  576,362","17,768",NA,"38,371","27,533","58,751","11,630","154,053"
2000,"landings00_cpfv2.pdf","Reporting CPFVs:  78","29","22",NA,"54","13","35  231","12",NA,"20","21","45","15","113"
