"year","filename","X","X.1","X.2","X.3","X.4","X.5","P..Hueneme","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13"
2005,"landings05_cpfv2.pdf","S. Diego","Oceanside","",NA,"Seal Bch","Redondo","Oxnard/ Southern","",NA,"Monterey","Princeton","S.Fran","Fort Bragg","Northern",NA
2005,"landings05_cpfv2.pdf","TotalCommon Name Mission Bay ***","Dana Harbor","Newport Beach",NA,"Long Bch S. Pedro","Mr del Rey Malibu","Ventura S. Barbara Total","Avila Bch Morro Bay",NA,"Moss Land S. Cruz","Bodega Bay","S.F Bay- Delta","Eureka Cres City","",NA
2005,"landings05_cpfv2.pdf","Barracuda, California  17,387","12,159","16,909",NA,"36,572","18,242","3,672  104,941","0",NA,"0","0","0","0","",0
2005,"landings05_cpfv2.pdf","Bass, barred sand  76,938","53,996","60,990",NA,"115,840","72,930","24,889  405,583","0",NA,"0","0","0","0","",0
2005,"landings05_cpfv2.pdf","Bass, kelp (calico)  46,988","30,484","27,126",NA,"59,702","18,704","13,623  196,627","0",NA,"1","0","0","0","",1
2005,"landings05_cpfv2.pdf","Bass, striped  0","0","0",NA,"0","0","0  0","0",NA,"0","88","7,683","0","7,771",NA
2005,"landings05_cpfv2.pdf","Bonito, Pacific  7,938","4,121","23,250",NA,"33,101","6,403","221  75,034","0",NA,"0","0","0","0","",0
2005,"landings05_cpfv2.pdf","Cabezon  46","30","60",NA,"213","160","199  708","132",NA,"161","1,342","258","530","2,423",NA
2005,"landings05_cpfv2.pdf","Croaker, white  353","271","1,434",NA,"992","74","21  3,145","0",NA,"2","71","157","0","230",NA
2005,"landings05_cpfv2.pdf","Fishes, unspecified^  4,210","2,081","8,075",NA,"31,380","7,282","4,086  57,114","0",NA,"16","35","53","5","109",NA
2005,"landings05_cpfv2.pdf","Flatfishes, unspecified^  12","23","105",NA,"125","407","62  734","616",NA,"4,499","630","4,463","3","10,211",NA
2005,"landings05_cpfv2.pdf","Greenling, kelp  0","0","0",NA,"0","0","2  2","47",NA,"244","1,216","483","556","2,546",NA
2005,"landings05_cpfv2.pdf","Halibut, California  332","307","303",NA,"1,555","342","311  3,150","4",NA,"82","66","2,858","0","3,010",NA
2005,"landings05_cpfv2.pdf","Invertebrates, unspecified^^  10,365","7,671","5,233",NA,"7,250","347","13,800  44,666","19",NA,"2,575","13,780","11,967","17,073","45,414",NA
2005,"landings05_cpfv2.pdf","Lingcod  3,014","67","274",NA,"1,011","734","3,095  8,195","3,715",NA,"2,710","5,944","6,171","3,195","21,735",NA
2005,"landings05_cpfv2.pdf","Mackerel, jack  82","15","3",NA,"47","366","0  513","0",NA,"34","8","123","21","186",NA
2005,"landings05_cpfv2.pdf","Mackerel, Pacific  13,344","10,900","2,408",NA,"7,070","9,029","3,947  46,698","85",NA,"592","109","158","10","954",NA
2005,"landings05_cpfv2.pdf","Other highly migratory spp^^^  72,676","482","1,149",NA,"676","154","0  75,137","0",NA,"16","0","3","0","19",NA
2005,"landings05_cpfv2.pdf","Rockfish, blue  76","116","4",NA,"481","241","32,042  32,960","45,395",NA,"62,295","43,350","48,561","26,379","225,980",NA
2005,"landings05_cpfv2.pdf","Rockfish, canary  191","50","23",NA,"0","0","147  411","2",NA,"7","1","52","0","62",NA
2005,"landings05_cpfv2.pdf","Rockfish, copper  562","72","66",NA,"115","113","19,135  20,063","9,789",NA,"2,407","1,959","802","455","15,412",NA
2005,"landings05_cpfv2.pdf","Rockfish, gopher  807","29","10",NA,"35","31","2,534  3,446","8,053",NA,"9,211","10,419","1,189","1,399","30,271",NA
2005,"landings05_cpfv2.pdf","Rockfish, yelloweye  66","1","0",NA,"1","123","548  739","0",NA,"190","45","307","3","545",NA
2005,"landings05_cpfv2.pdf","Rockfishes, unspecified^  79,186","16,431","15,683",NA,"92,066","56,961","155,573  415,900","88,361",NA,"41,805","53,230","36,341","24,228","243,965",NA
2005,"landings05_cpfv2.pdf","Salmon, king (chinook)  0","1","0",NA,"0","0","3  4","238",NA,"8,420","10,120","29,014","7,920","55,712",NA
2005,"landings05_cpfv2.pdf","Sanddab  484","373","582",NA,"77,788","3,930","5,637  88,794","2,540",NA,"571","233","5,537","1","8,882",NA
2005,"landings05_cpfv2.pdf","Scorpionfish, California  30,287","10,208","14,443",NA,"15,710","24,469","655  95,772","0",NA,"0","0","0","0","",0
2005,"landings05_cpfv2.pdf","Seabass, white  195","48","156",NA,"733","176","1,567  2,875","0",NA,"0","0","7","0","",7
2005,"landings05_cpfv2.pdf","Shark, unspecified^  167","126","59",NA,"51","41","225  669","31",NA,"7","7","533","1","579",NA
2005,"landings05_cpfv2.pdf","Sheephead, California  1,473","2,146","3,612",NA,"9,263","1,898","2,516  20,908","5",NA,"0","0","0","0","",5
2005,"landings05_cpfv2.pdf","Sturgeon, unspecified^  0","0","0",NA,"0","0","0  0","0",NA,"0","0","130","0","130",NA
2005,"landings05_cpfv2.pdf","Tuna, albacore  94,679","1,018","1,028",NA,"293","665","0  97,683","136",NA,"377","38","214","0","765",NA
