species,all_2005,mexico_2005,all_2004,mexico_2004
"Barracuda, California","104,941","10,797","215,008","15,052"
"Bass, barred sand","405,583","23,542","570,045","18,937"
"Bass, giant (black) sea",1,0,41,0
"Bass, kelp (calico)","196,628","7,191","322,560","22,613"
"Bass, striped","7,771",0,"6,603",0
"Bonito, Pacific","75,034","3,320","124,789","9,058"
Cabezon,"3,131",21,"2,646",74
"Croaker, unspecified***",253,0,136,0
"Croaker, white","3,375",2,"1,323",2
Dolphinfish,"6,629","5,956","8,327","7,656"
"Fishes, unspecified***","10,166",451,"10,436",993
"Flatfishes, unspecified***","10,945",10,"44,863",4
"Greenling, kelp","2,548",0,"3,337",0
Halfmoon,"43,667",22,"30,377",43
"Halibut, California","6,160",188,"6,292",108
"Invertebrates, unspecified****","90,080",669,"52,872",363
Lingcod,"29,930","2,318","12,001","1,769"
"Mackerel, jack",699,23,284,13
"Mackerel, Pacific","47,652",693,"24,300","1,286"
"Marlin, striped",18,14,4,3
"Rockfish, blue","258,940",30,"181,325",8
"Rockfish, gopher","33,717",143,"28,535",71
"Rockfishes, unspecified***","697,097","38,046","644,403","26,728"
"Salmon, king (chinook)","55,716",6,"107,735",0
"Salmon, unspecified***",35,0,"1,516",0
Sanddab,"97,676",184,"80,351",35
"Scorpionfish, California","95,772","17,751","72,669","4,265"
"Seabass, white","2,882",126,"3,244",144
"Shark, blue",26,0,6,0
"Shark, bonito (mako)",162,41,304,54
"Shark, leopard",455,0,526,0
"Shark, unspecified***",605,72,543,5
"Sheephead, California","20,913",867,"18,028",709
"Sturgeon, unspecified***",130,0,191,0
"Tuna, albacore","98,448","82,795","182,711","162,619"
"Tuna, bluefin","5,748","5,025","3,360","2,877"
"Tuna, skipjack","5,906","3,682","4,668","3,933"
"Tuna, yellowfin","56,816","51,186","68,425","60,095"
Wahoo,"3,140","3,103","5,077","4,717"
"Whitefish, ocean","60,912","10,857","66,189","7,667"
Yellowtail,"71,654","57,638","132,144","95,444"
Total Landings:,"2,611,961","326,769","3,038,194","447,345"
Number of Anglers:,"561,944","59,624","601,551","82,343"
Reporting CPFVs:,313,94,317,97
