"year","nvessels","nvessels_nr","nvessels_r"
1970,4341,NA,NA
1971,4986,NA,NA
1972,5263,NA,NA
1973,5946,NA,NA
1974,6952,NA,NA
1975,6827,NA,NA
1976,7268,NA,NA
1977,8421,NA,NA
1978,9654,NA,NA
1979,9635,NA,NA
1980,9229,NA,NA
1981,8427,NA,NA
1982,8173,NA,NA
1983,8282,NA,NA
1984,7678,NA,NA
1985,7188,NA,NA
1986,7049,NA,NA
1987,6661,NA,NA
1988,6710,NA,NA
1989,6704,NA,NA
1990,NA,NA,6621
1991,NA,NA,6744
1992,NA,NA,6221
1993,5533,397,5136
1994,5577,411,5166
1995,5439,444,4995
1996,5358,502,4856
1997,5018,487,4531
1998,4801,460,4341
1999,4866,522,4344
2000,4750,461,4289
2001,4584,429,4155
2002,4041,361,3680
2003,3831,325,3506
2004,3630,304,3326
2005,3495,290,3205
2006,3350,288,3062
2007,3294,291,3003
2008,3217,301,2916
2009,3162,289,2873
2010,3114,302,2812
2011,3127,309,2818
2012,3146,313,2833
2013,3131,303,2828
2014,3109,288,2821
2015,3210,316,2894
2016,3123,323,2800
2017,3104,337,2767
2018,2754,296,2458
2019,3128,314,2814
2020,3194,309,2885
