"CRAB_YEAR","AGENCY_CODE","PACFIN_GROUP_PORT_CODE","PORT_DESCRIPTION","NOV_ROUND_WEIGHT_MTONS","NOV_ROUND_WEIGHT_PPP","NOV_EXVESSEL_REVENUE","NOV_CONFIDENTIAL_FLAG","DEC_ROUND_WEIGHT_MTONS","DEC_ROUND_WEIGHT_PPP","DEC_EXVESSEL_REVENUE","DEC_CONFIDENTIAL_FLAG","JAN_ROUND_WEIGHT_MTONS","JAN_ROUND_WEIGHT_PPP","JAN_EXVESSEL_REVENUE","JAN_CONFIDENTIAL_FLAG","FEB_ROUND_WEIGHT_MTONS","FEB_ROUND_WEIGHT_PPP","FEB_EXVESSEL_REVENUE","FEB_CONFIDENTIAL_FLAG","MAR_ROUND_WEIGHT_MTONS","MAR_ROUND_WEIGHT_PPP","MAR_EXVESSEL_REVENUE","MAR_CONFIDENTIAL_FLAG","APR_ROUND_WEIGHT_MTONS","APR_ROUND_WEIGHT_PPP","APR_EXVESSEL_REVENUE","APR_CONFIDENTIAL_FLAG","MAY_ROUND_WEIGHT_MTONS","MAY_ROUND_WEIGHT_PPP","MAY_EXVESSEL_REVENUE","MAY_CONFIDENTIAL_FLAG","JUN_ROUND_WEIGHT_MTONS","JUN_ROUND_WEIGHT_PPP","JUN_EXVESSEL_REVENUE","JUN_CONFIDENTIAL_FLAG","JUL_ROUND_WEIGHT_MTONS","JUL_ROUND_WEIGHT_PPP","JUL_EXVESSEL_REVENUE","JUL_CONFIDENTIAL_FLAG","AUG_ROUND_WEIGHT_MTONS","AUG_ROUND_WEIGHT_PPP","AUG_EXVESSEL_REVENUE","AUG_CONFIDENTIAL_FLAG","SEP_ROUND_WEIGHT_MTONS","SEP_ROUND_WEIGHT_PPP","SEP_EXVESSEL_REVENUE","SEP_CONFIDENTIAL_FLAG","OCT_ROUND_WEIGHT_MTONS","OCT_ROUND_WEIGHT_PPP","OCT_EXVESSEL_REVENUE","OCT_CONFIDENTIAL_FLAG","TOTAL_ROUND_WEIGHT_MTONS","TOTAL_ROUND_WEIGHT_PPP","TOTAL_EXVESSEL_REVENUE","TOTAL_CONFIDENTIAL_FLAG"
"1981","C","BDA","BODEGA BAY AREA PORTS",0,0,0,"",0,0,0,"",3.93,.91,7872,"",5.18,1.09,12476,"",5.09,1.3,14530,"",7.5,1.34,22178,"",3.58,1.34,10578,"",2.57,1.42,8050,"",1.83,1.66,6701,"",0,0,0,"",0,0,0,"",0,0,0,"",29.68,1.26,82385,""
"1981","C","BGA","FORT BRAGG AREA PORTS",0,0,0,"",0,0,0,"",52.3,.81,93562,"",26.54,1.01,58821,"",7.2,1.2,19027,"",5.51,1.24,15051,"",4.9,1.24,13408,"",1.93,1.24,5296,"",1.25,1.25,3457,"",,,,"*",0,0,0,"",0,0,0,"",99.64,.95,208623,"*"
"1981","C","CCA","CRESCENT CITY AREA PORTS",0,0,0,"",0,0,0,"",462.83,.8,820162,"",89.58,.99,194979,"",20.25,1.19,52910,"",37.09,1.23,100712,"",11.32,1.24,30950,"",1.77,1.24,4828,"",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",622.83,.88,1204541,"*"
"1981","C","ERA","EUREKA AREA PORTS",0,0,0,"",0,0,0,"",149.29,.84,275160,"",110.6,.99,241180,"",37.58,1.19,98651,"",45.73,1.24,125037,"",33.21,1.24,90819,"",6.48,1.23,17654,"",.79,1.24,2139,"",,,,"*",,,,"*",0,0,0,"",383.68,1.01,850641,"*"
"1981","C","MNA","MONTEREY AREA PORTS",0,0,0,"",0,0,0,"",,,,"*",.51,1.03,1155,"",.12,1.47,379,"",.21,1.48,692,"",.11,1.47,371,"",,,,"*",,,,"*",,,,"*",,,,"*",0,0,0,"",.95,1.24,2596,"*"
"1981","C","MRA","MORRO BAY AREA PORTS",0,0,0,"",0,0,0,"",.06,1.15,163,"",.26,1.28,721,"",.13,1.22,346,"",1.36,1.34,4001,"",1.08,1.31,3121,"",.12,.77,196,"",,,,"*",,,,"*",,,,"*",,,,"*",3.01,1.29,8547,"*"
"1981","C","SBA","SANTA BARBARA AREA PORTS",0,0,0,"",0,0,0,"",,,,"*",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",0,0,0,"*"
"1981","C","SDA","SAN DIEGO AREA PORTS",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",0,0,0,"",0,0,0,"*"
"1981","C","SFA","SAN FRANCISCO AREA PORTS",0,0,0,"",0,0,0,"",7.58,1.01,16825,"",12.18,1.22,32892,"",9.59,1.4,29666,"",12.66,1.6,44749,"",10.09,1.6,35668,"",6.51,1.72,24673,"",2.48,1.72,9428,"",0,0,0,"",0,0,0,"",0,0,0,"",61.11,1.44,193901,""
"1981","C","XXX","WITHHELD FOR CONFIDENTIALITY**",0,0,0,"",0,0,0,"",,,,"*",,,,"*",0,0,0,"",0,0,0,"",0,0,0,"",,,,"*",.21,1.24,567,"",10.8,1.1,26146,"",1.9,.84,3527,"",,,,"*",12.91,1.06,30239,"*"
