species,all_2002,mexico_2002,all_2001,mexico_2001
"Barracuda, California","208,930","16,191","266,734","13,388"
"Bass, barred sand","629,916","29,651","598,134","16,808"
"Bass, giant (black) sea",2,0,50,0
"Bass, kelp (calico)","234,906","2,025","304,169","13,053"
"Bass, striped","6,621",0,"10,939",0
"Bonito, Pacific","7,525","3,643","17,121","2,456"
Cabezon,"2,040",41,"6,047",49
"Croaker, unspecified***",518,0,787,0
"Croaker, white","2,413",47,"7,507",110
Dolphinfish,"2,705","2,408","4,227","3,472"
"Fishes, unspecified***","18,925",303,"8,084",192
"Flatfishes, unspecified***","30,260",2,"97,839",24
"Greenling, kelp",886,0,"3,151",2
Halfmoon,"80,563",12,"97,380",22
"Halibut, California","15,413",154,"20,840",166
"Invertebrates, unspecified****","245,891",22,"48,259",0
Lingcod,"37,417","3,612","11,431",575
"Mackerel, jack","1,014",114,"5,327",894
"Mackerel, Pacific","69,346",189,"108,968",453
"Marlin, striped",3,1,0,0
"Rockfish, blue","138,790",10,"71,973",10
"Rockfish, gopher","39,640",61,"35,449",9
"Rockfishes, unspecified***","552,390","21,207","660,466","20,310"
"Salmon, king (chinook)","74,872",1,"43,285",17
"Salmon, unspecified***",444,1,"1,650",0
Sanddab,"124,706",12,"36,050",43
"Scorpionfish, California","88,385","4,564","162,387","7,207"
"Seabass, white","8,585",104,"10,334",136
"Shark, blue",15,0,212,72
"Shark, bonito (mako)",213,24,239,46
"Shark, leopard",256,0,346,0
"Shark, unspecified***","1,294",3,470,47
"Sheephead, California","27,364",681,"39,170",998
"Sturgeon, unspecified***",207,0,207,0
"Tuna, albacore","317,865","192,940","241,984","149,339"
"Tuna, bluefin","33,316","20,030","21,913","18,056"
"Tuna, skipjack","2,967","1,113","8,739","4,571"
"Tuna, yellowfin","18,594","18,085","32,314","30,867"
Wahoo,"3,012","3,012","3,757","3,655"
"Whitefish, ocean","100,223","7,558","138,064","12,878"
Yellowtail,"71,294","46,485","80,541","54,317"
Total Landings:,"3,199,726","374,306","3,206,544","354,242"
Number of Anglers:,"635,459","67,919","679,405","76,932"
Reporting CPFVs:,309,76,315,91
