"X","Species","Pounds","Value","X.1"
"GO",NA,"","",NA
"Tuna, bigeye",NA,"304,063","$900,412",NA
"Prawn, spot",NA,"56,586","$779,467",NA
"Lobster, California spiny",NA,"47,144","$749,360",NA
"Swordfish",NA,"152,693","$576,449",NA
"Opah",NA,"171,451","$216,808",NA
"Crab, yellow rock",NA,"112,954","$160,070",NA
"Tuna, bluefin",NA,"50,675","$158,543",NA
"Halibut, California",NA,"18,577","$108,469",NA
"Seabass, white",NA,"17,461","$68,100",NA
"Sea urchin, red",NA,"12,515","$51,989",NA
"Sheephead, California",NA,"6,375","$35,496",NA
"Tuna, albacore",NA,"21,968","$34,131",NA
"Sablefish",NA,"3,575","$28,486",NA
"Sanddab",NA,"4,505","$25,714",NA
"Pomfret",NA,"9,696","$25,713",NA
"Tuna, yellowfin",NA,"11,649","$19,569",NA
"Crab, rock unspecified",NA,"10,914","$19,502",NA
"Whelk, Kellet's",NA,"20,977","$19,086",NA
"Mackerel, Pacific",NA,"8,599","$18,442",NA
"Wahoo",NA,"7,481","$18,026",NA
"Yellowtail",NA,"5,854","$17,301",NA
"Shark, shortfin mako",NA,"13,697","$17,115",NA
"Shark, thresher",NA,"10,695","$15,141",NA
"Dolphin (fish)",NA,"6,870","$12,717",NA
"Crab, spider",NA,"13,131","$12,503",NA
"Rockfish, vermilion",NA,"2,548","$12,022",NA
"Sea urchin, purple",NA,"776","$10,009",NA
"Rockfish, pink",NA,"1,517","$6,933",NA
"Crab, red rock",NA,"4,086","$6,335",NA
"Tuna, skipjack",NA,"7,243","$5,722",NA
"SAN DIEGO",NA,"","",NA
"Crab, brown rock",NA,"3,985","$5,634",NA
"Crab, box",NA,"1,155","$5,471",NA
"Rockfish, Mexican",NA,"1,106","$5,337",NA
"Shark, soupfin",NA,"2,618","$5,296",NA
"Shark, Pacific angel",NA,"1,907","$3,877",NA
"Rockfish, group shelf",NA,"707","$3,754",NA
"Mackerel, unspecified",NA,"1,347","$3,601",NA
"Octopus, unspecified",NA,"627","$3,551",NA
"Escolar",NA,"2,854","$2,870",NA
"Cabezon",NA,"306","$2,032",NA
"Whitefish, ocean",NA,"547","$2,027",NA
"Bonito, Pacific",NA,"1,032","$1,924",NA
"Crab, king",NA,"305","$1,779",NA
"Shark, leopard",NA,"935","$1,705",NA
"Rockfish, bocaccio",NA,"337","$1,290",NA
"Rockfish, group red",NA,"348","$1,164",NA
"Rockfish, group deep nearshore",NA,"214","$1,104",NA
"Shark, bigeye thresher",NA,"884","$925",NA
"Oilfish",NA,"466","$855",NA
"Lingcod",NA,"161","$765",NA
"Rockfish, bank",NA,"219","$757",NA
"Rockfish, speckled",NA,"160","$713",NA
"Skate, unspecified",NA,"252","$667",NA
"Louvar",NA,"79","$632",NA
"Bass, giant sea",NA,"174","$585",NA
"Rockfish, chilipepper",NA,"106","$469",NA
"Shark, sevengill",NA,"147","$398",NA
"Sardine, Pacific",NA,"125","$388",NA
"Rockfish, blackgill",NA,"208","$366",NA
