X,Species,Pounds,Value,X.1
ANCISCO,NA,,,NA
"Crab, Dungeness",NA,"1,321,723","$5,205,724 ",NA
"Salmon, Chinook",NA,"159,434","$1,276,100 ",NA
"Halibut, California",NA,"171,562","$1,170,064 ",NA
Swordfish,NA,"328,285","$1,081,505 ",NA
Sablefish,NA,"89,164","$322,263 ",NA
"Tuna, bigeye",NA,"102,071","$307,037 ",NA
"Squid, market",NA,"517,991","$257,318 ",NA
"Herring, Pacific - roe",NA,"1,372,983","$247,137 ",NA
Opah,NA,"142,475","$149,139 ",NA
"Tuna, yellowfin",NA,"48,779","$139,220 ",NA
"Rockfish, chilipepper",NA,"141,632","$68,819 ",NA
"Shrimp, coonstriped",NA,"9,197","$50,725 ",NA
Lingcod,NA,"18,005","$44,870 ",NA
"Sole, petrale",NA,"64,247","$35,626 ",NA
"Seabass, white",NA,"5,855","$35,614 ",NA
"Rockfish, bocaccio",NA,"83,011","$35,178 ",NA
"Rockfish, brown",NA,"5,827","$32,408 ",NA
"Rockfish, gopher",NA,"3,634","$20,023 ",NA
"Sole, sand",NA,"16,625","$16,660 ",NA
Thornyheads,NA,"1,988","$14,527 ",NA
"Crab, rock unspecified",NA,"2,510","$14,016 ",NA
"Shark, shortfin mako",NA,"10,362","$10,059 ",NA
"Rockfish, splitnose",NA,"46,306","$9,261 ",NA
"Anchovy, northern",NA,"3,065","$8,939 ",NA
"Tuna, albacore",NA,"43,635","$7,743 ",NA
"Sea urchin, red",NA,"1,256","$6,905 ",NA
Dolphin (fish),NA,"4,103","$5,975 ",NA
"Rockfish, blackgill",NA,"3,656","$5,543 ",NA
Wahoo,NA,"2,952","$4,128 ",NA
"Rockfish, bank",NA,"8,321","$3,761 ",NA
SAN FRANCISCO,NA,,,NA
"Rockfish, copper",NA,675,"$3,432 ",NA
"Flounder, starry",NA,"3,363","$3,368 ",NA
"Rockfish, canary",NA,"2,605","$3,337 ",NA
"Salmon, Roe (Chinook, Coho)",NA,703,"$2,965 ",NA
"Rockfish, widow",NA,"4,054","$2,772 ",NA
"Greenling, kelp",NA,873,"$2,699 ",NA
"Prickleback, monkeyface (eel)",NA,259,"$2,621 ",NA
"Rockfish, vermilion",NA,"1,049","$2,575 ",NA
"Fish, unspecified",NA,"1,069","$2,556 ",NA
Pomfret,NA,"1,388","$2,022 ",NA
"Seaperch, striped",NA,348,"$1,802 ",NA
"Rockfish, China",NA,304,"$1,775 ",NA
"Rockfish, black",NA,692,"$1,487 ",NA
"Shark, spiny dogfish",NA,"13,657","$1,408 ",NA
"Thornyhead, shortspine",NA,447,"$1,239 ",NA
"Shark, soupfin",NA,"1,612",$893 ,NA
"Rockfish, yellowtail",NA,564,$851 ,NA
Oilfish,NA,"1,556",$824 ,NA
"Skate, longnose",NA,"7,258",$811 ,NA
"Rockfish, blue",NA,340,$789 ,NA
"Skate, unspecified",NA,"7,174",$607 ,NA
"Shark, leopard",NA,580,$556 ,NA
"Rockfish, greenspotted",NA,"1,200",$528 ,NA
Cabezon,NA,177,$499 ,NA
"Rockfish, rosy",NA,170,$429 ,NA
"Rockfish, unspecified",NA,184,$428 ,NA
"Surfperch, rubberlip",NA,70,$385 ,NA
"Sanddab, Pacific",NA,"1,677",$349 ,NA
"Octopus, unspecified",NA,101,$266 ,NA
"Tuna, skipjack",NA,539,$260 ,NA
"Rockfish, group bolina",NA,39,$234 ,NA
ANCISCO,NA,,,NA
"Skate, big",NA,"2,370",$233 ,NA
"Ratfish, spotted",NA,"8,645",$233 ,NA
"Rockfish, group shelf",NA,791,$232 ,NA
"Shrimp, bay",NA,30,$210 ,NA
"Rockfish, quillback",NA,41,$203 ,NA
"Smelt, surf",NA,72,$180 ,NA
"Rockfish, black-and-yellow",NA,76,$175 ,NA
"Shark, unspecified",NA,156,$165 ,NA
"Sole, rock",NA,389,$143 ,NA
"Thornyhead, longspine",NA,31,$133 ,NA
"Surfperch, redtail",NA,43,$129 ,NA
"Eel, wolf (wolf-eel)",NA,55,$116 ,NA
"Shark, thresher",NA,71,$96 ,NA
"Sole, rex",NA,785,$96 ,NA
"Rockfish, darkblotched",NA,242,$93 ,NA
"Greenling, rock",NA,31,$93 ,NA
Sanddab,NA,"1,653",$90 ,NA
"Rockfish, greenstriped",NA,671,$83 ,NA
"Croaker, white",NA,67,$82 ,NA
"Rockfish, greenblotched",NA,123,$53 ,NA
Jacksmelt,NA,50,$50 ,NA
"Rockfish, treefish",NA,9,$45 ,NA
"Sole, Dover",NA,"1,540",$42 ,NA
"Skate, California",NA,146,$17 ,NA
"Mackerel, unspecified",NA,104,$12 ,NA
"Goby, yellowfin",NA,4,$12 ,NA
"Rockfish, redbanded",NA,76,$10 ,NA
"Rockfish, starry",NA,13,$10 ,NA
"Rockfish, flag",NA,54,$8 ,NA
"Ray, Pacific electric",NA,148,$4 ,NA
"Shark, sixgill",NA,3,$0 ,NA
ANCISCO,NA,,,
"Rockfish, cowcod",NA,189,$0 ,
"Sole, curlfin",NA,46,$0 ,
"Sole, English",NA,"1,135",$0 ,
"Flounder, arrowtooth",NA,897,$0 ,
"Rockfish, stripetail",NA,721,$0 ,
"Rockfish, shortbelly",NA,380,$0 ,
"Sole, unspecified",NA,2,$0 ,
"Sculpin, staghorn",NA,2,$0 ,
"Surfperch, unspecified",NA,3,$0 ,
"Whiting, Pacific",NA,"6,546",$0 ,
"Rockfish, group slope",NA,123,$0 ,
"Sardine, Pacific",NA,1,$0 ,
"Mackerel, jack",NA,20,$0 ,
"Turbot, hornyhead",NA,1,$0 ,
"Midshipman, plainfin",NA,10,$0 ,
"Rockfish, rosethorn",NA,1,$0 ,
"Shad, American",NA,126,$0 ,
"Shrimp, ocean (pink)",NA,20,$0 ,
Eel,NA,14,$0 ,
"Sole, slender",NA,10,$0 ,
,NA,"4,814,115","$10,634,096 ",Port Totals:
TON-HALF MOON,NA,,,
"Crab, Dungeness",NA,"801,021","$3,728,542 ",
"Salmon, Chinook",NA,"286,556","$2,522,723 ",
"Squid, market",NA,"2,512,684","$1,249,492 ",
"Halibut, California",NA,"46,204","$263,122 ",
"Prawn, spot",NA,"12,716","$216,815 ",
"Sole, petrale",NA,"177,257","$167,680 ",
"Anchovy, northern",NA,"3,157,224","$157,861 ",
