"X","Species","X.1","Pounds","Value"
"ER PORTS","",NA,"",""
"Crayfish, unspecified","",NA,"92,068","$210,520"
"Shad, threadfin","",NA,"21,981","$56,293"
"Crayfish, signal","",NA,"10,281","$20,357"
"Crayfish, red swamp","",NA,"1,227","$3,268"
"Goby, yellowfin","",NA,"123","$246"
"","Port Totals:",NA,"125,680","$290,684"
"","SACRAMENTO DELTA totals:",NA,"125,680","$290,684"
