year,filename,area,port,species,landings,revenues
2018,Table 21mbPUB.pdf,Morro Bay,,,,
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,Sablefish,"335,319","$728,962 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Crab, Dungeness","117,336","$669,860 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Thornyhead, shortspine","34,683","$250,904 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Shrimp, ocean (pink)","134,084","$156,708 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Hagfish, Pacific","144,164","$148,886 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Prawn, spot","9,425","$145,497 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, gopher","19,868","$141,002 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Hagfish, unspecified","117,068","$117,068 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Seabass, white","20,802","$109,997 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Halibut, California","16,184","$96,210 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,Swordfish,"37,134","$94,324 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, black-and-yellow","11,330","$81,000 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Squid, market","152,225","$75,951 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, grass","8,034","$75,844 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,Cabezon,"10,989","$73,780 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Salmon, Chinook","5,682","$59,333 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,Lingcod,"15,315","$40,279 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, vermilion","11,811","$26,977 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, blackgill","17,065","$25,816 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Shark, thresher","18,818","$18,597 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, brown","2,574","$16,401 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, blue","7,089","$15,268 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, bocaccio","16,160","$12,196 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Crab, red rock","7,110","$10,842 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Greenling, kelp","1,333","$9,919 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Tuna, bluefin","6,505","$9,612 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Sole, petrale","5,895","$8,756 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, copper","1,508","$7,763 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,Opah,"7,708","$7,741 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, bank","4,856","$5,557 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,MORRO BAY,,
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, treefish",573,"$4,559 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,Grenadier,"6,868","$3,265 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, canary","1,232","$3,127 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, kelp",913,"$2,811 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Shark, shortfin mako","2,398","$2,313 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Tuna, albacore","2,550","$1,901 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Crab, yellow rock","1,005","$1,686 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Crab, rock unspecified","1,070","$1,611 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Surfperch, barred",569,"$1,496 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, yellowtail",641,"$1,466 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Thornyhead, longspine","4,716","$1,391 "
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, group red",475,$960 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, chilipepper",739,$773 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Sheephead, California",196,$645 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Shark, soupfin",340,$578 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, splitnose","4,572",$403 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, olive",195,$390 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Sea urchin, red",658,$329 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Whelk, Kellet's",10,$150 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, black",50,$144 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, starry",54,$139 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Halibut, unspecified",25,$136 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, aurora",184,$117 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,Yellowtail,35,$95 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Barracuda, California",64,$85 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, China",14,$77 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Shark, Pacific angel",41,$68 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Crab, spider",184,$66 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, greenspotted",25,$64 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Whitefish, ocean",32,$63 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Octopus, unspecified",126,$63 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,BAY,NA,
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Sanddab, Pacific",192,$57 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, cowcod",48,$50 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Sole, rock",20,$46 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, flag",12,$38 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Flounder, starry",21,$35 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Sole, sand",15,$26 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, widow",5,$16 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, speckled",5,$15 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Bonito, Pacific",7,$13 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, quillback",6,$13 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Shad, American",22,$11 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Sole, Dover",107,$6 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Rockfish, darkblotched",7,$5 
2018,Table 21mbPUB.pdf,Morro Bay,Morro Bay,"Mackerel, unspecified",2,$5 
