"X","Species","X.1","Pounds","Value"
"ER PORTS",NA,"","",""
"Crayfish, unspecified",NA,"","62,206","$116,546"
"Carp",NA,"","1,163","$1,080"
"Sucker",NA,"","72","$290"
"Fish, unspecified",NA,"","90","$256"
"Shad, threadfin",NA,"","6","$36"
"Shrimp, brine",NA,"","797,150","$0"
"",NA,"Port Totals:","860,687","$118,206"
"",NA,"INLAND WATERS totals:","860,687","$118,206"
