year,filename,area,port,species,landings,value
2018,Table21fbPUB.pdf,Fort Bragg,,,,
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Crab, Dungeness","1,455,938","$4,742,921 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,Sablefish,"845,431","$1,292,065 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Salmon, Chinook","121,637","$840,292 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Sea urchin, red","199,598","$220,701 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Sole, petrale","172,841","$209,635 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Hagfish, unspecified","229,441","$193,768 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Sole, Dover","370,978","$174,598 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Rockfish, chilipepper","322,517","$149,747 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,Lingcod,"103,654","$135,968 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Thornyhead, shortspine","71,931","$125,290 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Rockfish, bocaccio","210,762","$106,549 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Tuna, albacore","22,837","$46,554 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Rockfish, blackgill","68,405","$34,831 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Thornyhead, longspine","124,275","$33,204 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Rockfish, copper","6,935","$27,169 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Rockfish, bank","44,549","$22,275 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,Cabezon,"3,625","$16,629 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Rockfish, group slope","27,550","$16,335 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Rockfish, quillback","2,339","$13,460 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Rockfish, darkblotched","26,721","$13,416 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Prawn, spot",639,"$10,856 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Rockfish, canary","7,450","$10,498 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Rockfish, vermilion","4,303","$9,291 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Hagfish, Pacific","28,628","$8,588 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Rockfish, yellowtail","4,325","$8,209 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Rockfish, gopher",946,"$7,052 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Rockfish, China",930,"$6,921 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Sole, rex","20,676","$6,585 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Rockfish, black-and-yellow",852,"$6,515 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Skate, longnose","26,252","$6,278 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,FORT BRAGG,,
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Sea urchin, purple","2,550","$3,431 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Sea cucumber, giant red","2,848","$2,848 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Sole, English","10,470","$2,577 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Greenling, kelp",365,"$2,090 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Halibut, California",264,"$1,794 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Crab, rock unspecified",299,"$1,536 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Rockfish, group shelf","1,148","$1,368 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Rockfish, brown",167,"$1,200 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Rockfish, grass",144,"$1,176 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Rockfish, rosethorn",330,"$1,163 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Octopus, unspecified","1,360","$1,052 "
2018,Table21fbPUB.pdf,Fort Bragg,Fort Bragg,"Rockfish, redbanded",999,$894 
