year,filename,area,port,species,landings,revenues
2018,Table21bbPUB.pdf,Bodega Bay,Bodega Bay,"Sole, petrale",27,$78 
2018,Table21bbPUB.pdf,Bodega Bay,Bodega Bay,"Rockfish, speckled",47,$74 
2018,Table21bbPUB.pdf,Bodega Bay,Bodega Bay,"Rockfish, brown",22,$39 
2018,Table21bbPUB.pdf,Bodega Bay,Bodega Bay,"Anchovy, northern",19,$38 
2018,Table21bbPUB.pdf,Bodega Bay,Bodega Bay,BODEGA BAY,,
2018,Table21bbPUB.pdf,Bodega Bay,Bodega Bay,"Rockfish, unspecified",8,$29 
2018,Table21bbPUB.pdf,Bodega Bay,Bodega Bay,"Salmon, Roe (Chinook, Coho)",4,$20 
2018,Table21bbPUB.pdf,Bodega Bay,Bodega Bay,Port Totals:,"1,895,841","$6,899,941 "
2018,Table21bbPUB.pdf,Bodega Bay,,,,
2018,Table21bbPUB.pdf,Bodega Bay,Bolinas,"Crab, Dungeness","37,621","$172,110 "
2018,Table21bbPUB.pdf,Bodega Bay,Bolinas,"Salmon, Chinook","3,545","$35,099 "
2018,Table21bbPUB.pdf,Bodega Bay,Bolinas,"Halibut, California","2,099","$17,066 "
2018,Table21bbPUB.pdf,Bodega Bay,Bolinas,Sablefish,"3,703","$16,180 "
2018,Table21bbPUB.pdf,Bodega Bay,Bolinas,"Rockfish, chilipepper","3,365","$8,413 "
2018,Table21bbPUB.pdf,Bodega Bay,Bolinas,"Rockfish, bocaccio","2,370","$5,212 "
2018,Table21bbPUB.pdf,Bodega Bay,Bolinas,"Crab, rock unspecified",693,"$2,945 "
2018,Table21bbPUB.pdf,Bodega Bay,Bolinas,"Rockfish, blackgill",674,"$1,685 "
2018,Table21bbPUB.pdf,Bodega Bay,Bolinas,"Rockfish, bank",390,$975 
2018,Table21bbPUB.pdf,Bodega Bay,Bolinas,"Croaker, white",341,$917 
2018,Table21bbPUB.pdf,Bodega Bay,Bolinas,"Thornyhead, shortspine",51,$332 
2018,Table21bbPUB.pdf,Bodega Bay,Bolinas,Lingcod,105,$267 
2018,Table21bbPUB.pdf,Bodega Bay,Bolinas,"Rockfish, redbanded",16,$40 
2018,Table21bbPUB.pdf,Bodega Bay,Bolinas,"Shark, spiny dogfish",10,$20 
2018,Table21bbPUB.pdf,Bodega Bay,Bolinas,Port Totals:,"54,983","$261,260 "
2018,Table21bbPUB.pdf,Bodega Bay,,,,
2018,Table21bbPUB.pdf,Bodega Bay,All other ports,"Halibut, California","8,297","$9,177 "
2018,Table21bbPUB.pdf,Bodega Bay,All other ports,Lingcod,352,"$1,251 "
2018,Table21bbPUB.pdf,Bodega Bay,All other ports,"Crab, Dungeness",140,$840 
2018,Table21bbPUB.pdf,Bodega Bay,All other ports,"Salmon, Chinook",58,$648 
2018,Table21bbPUB.pdf,Bodega Bay,All other ports,"Seabass, white",53,$53 
2018,Table21bbPUB.pdf,Bodega Bay,All other ports,"Rockfish, canary",9,$23 
2018,Table21bbPUB.pdf,Bodega Bay,All other ports,"Sole, petrale",3,$17 
2018,Table21bbPUB.pdf,Bodega Bay,All other ports,"Rockfish, vermilion",4,$11 
2018,Table21bbPUB.pdf,Bodega Bay,All other ports,"Mackerel, bullet",6,$3 
