"X","Species","Pounds","Value","X.1"
"AL ISLAND",NA,"","",NA
"Squid, market",NA,"13,007,413","$6,503,545",NA
"Sea urchin, red",NA,"870,637","$1,772,566",NA
"Tuna, yellowfin",NA,"2,449,200","$1,218,661",NA
"Prawn, spot",NA,"53,480","$764,472",NA
"Tuna, skipjack",NA,"1,723,486","$664,413",NA
"Mackerel, Pacific",NA,"2,948,287","$465,498",NA
"Lobster, California spiny",NA,"26,653","$423,118",NA
"Tuna, bigeye",NA,"95,297","$274,856",NA
"Bonito, Pacific",NA,"842,258","$255,862",NA
"Halibut, California",NA,"19,665","$96,234",NA
"Sea cucumber, warty",NA,"14,086","$76,524",NA
"Prawn, ridgeback",NA,"26,300","$72,052",NA
"Seabass, white",NA,"20,849","$71,823",NA
"Opah",NA,"62,906","$63,112",NA
"Swordfish",NA,"20,805","$61,684",NA
"Sablefish",NA,"11,615","$39,094",NA
"Sardine, Pacific",NA,"206,901","$30,603",NA
"Tuna, bluefin",NA,"23,657","$22,095",NA
"Mackerel, jack",NA,"83,923","$18,596",NA
"Wahoo",NA,"3,713","$8,611",NA
"Sea cucumber, giant red",NA,"1,623","$7,289",NA
"Thornyheads",NA,"859","$6,369",NA
"Yellowtail",NA,"2,662","$5,817",NA
"Dolphin (fish)",NA,"3,000","$5,775",NA
"Crab, yellow rock",NA,"3,119","$5,325",NA
"Tuna, albacore",NA,"4,812","$4,812",NA
"Pomfret",NA,"2,185","$4,370",NA
"Sole, English",NA,"2,865","$4,253",NA
"Shark, shortfin mako",NA,"3,006","$3,174",NA
"Escolar",NA,"2,523","$3,066",NA
"TERMINAL ISLAND",NA,"","",NA
"Whelk, Kellet's",NA,"3,667","$3,049",NA
"Mackerel, unspecified",NA,"2,684","$2,966",NA
"Sole, unspecified",NA,"2,033","$2,841",NA
"Sole, curlfin",NA,"1,543","$2,315",NA
"Hagfish, unspecified",NA,"2,160","$2,172",NA
"Ray, bat",NA,"4,422","$1,785",NA
"Shark, thresher",NA,"1,412","$1,667",NA
"Sea urchin, purple",NA,"1,242","$1,334",NA
"Sheephead, California",NA,"247","$1,257",NA
"Crab, spider",NA,"824","$882",NA
"Bass, giant sea",NA,"412","$787",NA
"Shark, soupfin",NA,"1,287","$772",NA
"Shark, bigeye thresher",NA,"730","$730",NA
"Hagfish, Pacific",NA,"562","$602",NA
"Shark, leopard",NA,"594","$580",NA
"Echinoderm, unspecified",NA,"278","$500",NA
"Shark, Pacific angel",NA,"1,472","$372",NA
"Flyingfish",NA,"725","$363",NA
"Sea urchin, white",NA,"90","$360",NA
"Crab, rock unspecified",NA,"131","$262",NA
"Sanddab",NA,"158","$237",NA
"Thornyhead, shortspine",NA,"26","$195",NA
"Flounder, arrowtooth",NA,"115","$173",NA
"Lizardfish, California",NA,"283","$158",NA
"Croaker, white",NA,"103","$101",NA
"Barracuda, California",NA,"96","$96",NA
"Crab, red rock",NA,"1,322","$62",NA
"Sole, Dover",NA,"112","$59",NA
"Snail, top",NA,"42","$42",NA
"Anchovy, northern",NA,"3,874","$39",NA
"Crab, brown rock",NA,"21","$31",NA
"AL ISLAND",NA,"","",""
"Stingray",NA,"2,681","$27",""
"Skate, California",NA,"45","$16",""
"Guitarfish, shovelnose",NA,"4","$12",""
"Skate, unspecified",NA,"58","$12",""
"Sea cucumber, unspecified",NA,"30","$0",""
"Ray, unspecified",NA,"10","$0",""
"Shrimp, mantis",NA,"1","$0",""
"",NA,"22,573,280","$12,980,521","Port Totals:"
"DRO",NA,"","",""
"Squid, market",NA,"1,893,601","$816,811",""
"Swordfish",NA,"262,909","$747,141",""
