year,filename,area,port,species,landings_lb,revenues_usd
2087,Table 17PUB.pdf,San Francisco,San Francisco,"Smelt, surf",72,$180 
2088,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, black-and-yellow",76,$175 
2089,Table 17PUB.pdf,San Francisco,San Francisco,"Shark, unspecified",156,$165 
2090,Table 17PUB.pdf,San Francisco,San Francisco,"Sole, rock",389,$143 
2091,Table 17PUB.pdf,San Francisco,San Francisco,"Thornyhead, longspine",31,$133 
2092,Table 17PUB.pdf,San Francisco,San Francisco,"Surfperch, redtail",43,$129 
2093,Table 17PUB.pdf,San Francisco,San Francisco,"Eel, wolf (wolf-eel)",55,$116 
2094,Table 17PUB.pdf,San Francisco,San Francisco,"Shark, thresher",71,$96 
2095,Table 17PUB.pdf,San Francisco,San Francisco,"Sole, rex",785,$96 
2096,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, darkblotched",242,$93 
2097,Table 17PUB.pdf,San Francisco,San Francisco,"Greenling, rock",31,$93 
2098,Table 17PUB.pdf,San Francisco,San Francisco,Sanddab,"1,653",$90 
2099,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, greenstriped",671,$83 
2100,Table 17PUB.pdf,San Francisco,San Francisco,"Croaker, white",67,$82 
2101,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, greenblotched",123,$53 
2102,Table 17PUB.pdf,San Francisco,San Francisco,Jacksmelt,50,$50 
2103,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, treefish",9,$45 
2104,Table 17PUB.pdf,San Francisco,San Francisco,"Sole, Dover","1,540",$42 
2105,Table 17PUB.pdf,San Francisco,San Francisco,"Skate, California",146,$17 
2106,Table 17PUB.pdf,San Francisco,San Francisco,"Mackerel, unspecified",104,$12 
2107,Table 17PUB.pdf,San Francisco,San Francisco,"Goby, yellowfin",4,$12 
2108,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, redbanded",76,$10 
2109,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, starry",13,$10 
2110,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, flag",54,$8 
2111,Table 17PUB.pdf,San Francisco,San Francisco,"Ray, Pacific electric",148,$4 
2112,Table 17PUB.pdf,San Francisco,San Francisco,"Shark, sixgill",3,$0 
2113,Table 17PUB.pdf,San Francisco,San Francisco,ANCISCO,,
2114,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, cowcod",189,$0 
2115,Table 17PUB.pdf,San Francisco,San Francisco,"Sole, curlfin",46,$0 
2116,Table 17PUB.pdf,San Francisco,San Francisco,"Sole, English","1,135",$0 
2117,Table 17PUB.pdf,San Francisco,San Francisco,"Flounder, arrowtooth",897,$0 
2118,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, stripetail",721,$0 
2119,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, shortbelly",380,$0 
2120,Table 17PUB.pdf,San Francisco,San Francisco,"Sole, unspecified",2,$0 
2121,Table 17PUB.pdf,San Francisco,San Francisco,"Sculpin, staghorn",2,$0 
2122,Table 17PUB.pdf,San Francisco,San Francisco,"Surfperch, unspecified",3,$0 
2123,Table 17PUB.pdf,San Francisco,San Francisco,"Whiting, Pacific","6,546",$0 
2124,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, group slope",123,$0 
2125,Table 17PUB.pdf,San Francisco,San Francisco,"Sardine, Pacific",1,$0 
2126,Table 17PUB.pdf,San Francisco,San Francisco,"Mackerel, jack",20,$0 
2127,Table 17PUB.pdf,San Francisco,San Francisco,"Turbot, hornyhead",1,$0 
2128,Table 17PUB.pdf,San Francisco,San Francisco,"Midshipman, plainfin",10,$0 
2129,Table 17PUB.pdf,San Francisco,San Francisco,"Rockfish, rosethorn",1,$0 
2130,Table 17PUB.pdf,San Francisco,San Francisco,"Shad, American",126,$0 
2131,Table 17PUB.pdf,San Francisco,San Francisco,"Shrimp, ocean (pink)",20,$0 
2132,Table 17PUB.pdf,San Francisco,San Francisco,Eel,14,$0 
2133,Table 17PUB.pdf,San Francisco,San Francisco,"Sole, slender",10,$0 
2134,Table 17PUB.pdf,San Francisco,San Francisco,Port Totals:,"4,814,115","$10,634,096 "
2135,Table 17PUB.pdf,San Francisco,,,,
2136,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Crab, Dungeness","801,021","$3,728,542 "
2137,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Salmon, Chinook","286,556","$2,522,723 "
2138,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Squid, market","2,512,684","$1,249,492 "
2139,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Halibut, California","46,204","$263,122 "
2140,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Prawn, spot","12,716","$216,815 "
2141,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Sole, petrale","177,257","$167,680 "
2142,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Anchovy, northern","3,157,224","$157,861 "
2143,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,Sablefish,"45,910","$143,597 "
2145,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Sea urchin, red","9,764","$67,775 "
2146,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Crab, rock unspecified","29,035","$60,990 "
2147,Table 17PUB.pdf,San Francisco,Princeton-Half Moon,"Rockfish, chilipepper","117,816","$53,248 "
