year,filename,area,port,species,landings_lb,revenues_usd
2018,Table 16PUB.pdf,Eureka,Crescent City,"Crab, Dungeness","7,795,272","$23,635,952 "
2018,Table 16PUB.pdf,Eureka,Crescent City,"Shrimp, ocean (pink)","4,166,033","$2,951,060 "
2018,Table 16PUB.pdf,Eureka,Crescent City,"Shrimp, coonstriped","81,557","$496,688 "
2018,Table 16PUB.pdf,Eureka,Crescent City,"Salmon, Chinook","42,119","$354,141 "
2018,Table 16PUB.pdf,Eureka,Crescent City,Sablefish,"78,865","$227,080 "
2018,Table 16PUB.pdf,Eureka,Crescent City,"Rockfish, black","86,129","$166,579 "
2018,Table 16PUB.pdf,Eureka,Crescent City,"Hagfish, unspecified","206,539","$165,231 "
2018,Table 16PUB.pdf,Eureka,Crescent City,"Tuna, albacore","103,034","$139,823 "
2018,Table 16PUB.pdf,Eureka,Crescent City,Lingcod,"17,498","$43,535 "
2018,Table 16PUB.pdf,Eureka,Crescent City,"Rockfish, copper","2,739","$11,257 "
2018,Table 16PUB.pdf,Eureka,Crescent City,Cabezon,"2,496","$10,940 "
2018,Table 16PUB.pdf,Eureka,Crescent City,"Rockfish, blue","5,900","$9,379 "
2018,Table 16PUB.pdf,Eureka,Crescent City,"Rockfish, quillback","2,035","$8,891 "
2018,Table 16PUB.pdf,Eureka,Crescent City,"Rockfish, vermilion","1,893","$4,725 "
2018,Table 16PUB.pdf,Eureka,Crescent City,"Greenling, kelp",853,"$4,263 "
2018,Table 16PUB.pdf,Eureka,Crescent City,"Crab, rock unspecified","1,014","$2,789 "
2018,Table 16PUB.pdf,Eureka,Crescent City,"Rockfish, grass",396,"$2,776 "
2018,Table 16PUB.pdf,Eureka,Crescent City,"Rockfish, China",279,"$1,800 "
2018,Table 16PUB.pdf,Eureka,Crescent City,"Rockfish, canary","1,302","$1,790 "
2018,Table 16PUB.pdf,Eureka,Crescent City,"Rockfish, redbanded","1,027","$1,538 "
2018,Table 16PUB.pdf,Eureka,Crescent City,"Rockfish, yellowtail",535,$765 
2018,Table 16PUB.pdf,Eureka,Crescent City,"Smelt, night","1,167",$700 
2018,Table 16PUB.pdf,Eureka,Crescent City,"Halibut, California",84,$680 
2018,Table 16PUB.pdf,Eureka,Crescent City,"Tuna, skipjack",244,$610 
2018,Table 16PUB.pdf,Eureka,Crescent City,"Surfperch, redtail",398,$543 
2018,Table 16PUB.pdf,Eureka,Crescent City,"Rockfish, group shelf",105,$469 
2018,Table 16PUB.pdf,Eureka,Crescent City,"Mackerel, Pacific",41,$449 
2018,Table 16PUB.pdf,Eureka,Crescent City,"Rockfish, widow",291,$365 
2018,Table 16PUB.pdf,Eureka,Crescent City,"Rockfish, black-and-yellow",53,$353 
2018,Table 16PUB.pdf,Eureka,Crescent City,"Halibut, Pacific",42,$252 
2018,Table 16PUB.pdf,Eureka,Crescent City,"Rockfish, blackgill",167,$245 
2018,Table 16PUB.pdf,Eureka,Crescent City,"Rockfish, darkblotched",143,$215 
2018,Table 16PUB.pdf,Eureka,Crescent City,"Rockfish, brown",98,$176 
2018,Table 16PUB.pdf,Eureka,Crescent City,"Rockfish, group slope",96,$168 
2018,Table 16PUB.pdf,Eureka,Crescent City,"Rockfish, gopher",93,$137 
2018,Table 16PUB.pdf,Eureka,Crescent City,"Rockfish, rougheye",34,$51 
2018,Table 16PUB.pdf,Eureka,Crescent City,"Rockfish, bocaccio",15,$23 
2018,Table 16PUB.pdf,Eureka,Crescent City,Thornyheads,7,$11 
2018,Table 16PUB.pdf,Eureka,Crescent City,"Rockfish, olive",4,$8 
2018,Table 16PUB.pdf,Eureka,Crescent City,"Rockfish, starry",3,$4 
2018,Table 16PUB.pdf,Eureka,Crescent City,"Rockfish, rosy",4,$0 
