year,filename,area,port,species,landings_lb,revenues_usd
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Sardine, Pacific","149,309","$6,730 "
2018,Table 18PUB.pdf,Monterey,Moss Landing,Grenadier,"22,751","$5,779 "
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Tuna, albacore","3,316","$4,974 "
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, blue","1,508","$3,875 "
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, blackgill","3,206","$3,674 "
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, vermilion","1,170","$3,536 "
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, starry",953,"$3,133 "
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, grass",318,"$3,040 "
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Whitefish, ocean",782,"$2,022 "
2018,Table 18PUB.pdf,Monterey,Moss Landing,Sanddab,634,"$1,960 "
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Thornyhead, longspine","1,334","$1,867 "
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, China",213,"$1,861 "
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, bocaccio",888,"$1,513 "
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, treefish",154,"$1,438 "
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, canary",512,"$1,312 "
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, black",264,"$1,071 "
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Bonito, Pacific",320,$959 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, yellowtail",343,$878 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, kelp",102,$874 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Tuna, bluefin",271,$839 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, greenspotted",423,$726 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, olive",229,$684 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, brown",71,$429 
2018,Table 18PUB.pdf,Monterey,Moss Landing,ANDING,,
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Shrimp, ocean (pink)",76,$379 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Crab, rock unspecified",178,$370 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, widow",122,$206 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Surfperch, barred",50,$194 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Sole, petrale",117,$179 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, quillback",22,$136 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Skate, longnose","1,257",$125 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Sheephead, California",17,$113 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, aurora",101,$106 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Sole, Dover","1,303",$96 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, chilipepper",104,$91 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Halibut, unspecified",20,$90 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Whiting, Pacific",422,$90 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, rosy",41,$87 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, redbanded",40,$65 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, greenblotched",63,$63 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Flounder, unspecified",25,$50 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, greenstriped",47,$47 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Flounder, starry",33,$37 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, unspecified",4,$36 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, group shelf",4,$33 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, group bolina",7,$21 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Sole, sand",10,$19 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Crab, tanner",121,$14 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Skate, big",182,$13 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Prickleback, monkeyface (eel)",3,$9 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Rockfish, group rosefish",4,$4 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Sanddab, Pacific",3,$3 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Octopus, unspecified",12,$0 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Shark, unspecified",10,$0 
2018,Table 18PUB.pdf,Monterey,Moss Landing,MOSS LANDING,,
2018,Table 18PUB.pdf,Monterey,Moss Landing,Jellyfish,"13,590",$0 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Crab, spider",10,$0 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Mackerel, Pacific",119,$0 
2018,Table 18PUB.pdf,Monterey,Moss Landing,"Crab, red rock",25,$0 
