year,filename,area,port,species,landings_lb,revenues_usd
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Skate, longnose................................................................","27,164","$10,821 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,Cabezon..............................................................................,"1,984","$8,177 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Thornyhead, shortspine..................................................","15,286","$8,173 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Sole, rex..............................................................................","21,779","$8,087 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, vermilion...........................................................","2,492","$5,876 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Shark, shortfin mako........................................................","5,283","$5,283 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Greenling, kelp..................................................................",592,"$3,490 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, China.................................................................",444,"$3,357 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, canary...............................................................","2,311","$3,123 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, group slope.....................................................","3,742","$2,652 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Shark, thresher..................................................................","2,505","$2,562 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, group shelf......................................................","3,744","$2,428 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Sole, English......................................................................","4,076","$1,304 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, grass.................................................................",137,"$1,172 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, yellowtail..........................................................",690,"$1,017 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Flounder, arrowtooth........................................................","6,685","$1,015 "
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Skate, unspecified...........................................................","1,847",$739 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,Louvar..................................................................................,67,$536 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, darkblotched...................................................","1,087",$507 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Surfperch, redtail..............................................................",463,$463 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Halibut, Pacific..................................................................",60,$420 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, widow................................................................",337,$396 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, redbanded........................................................",182,$280 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Thornyhead, longspine...................................................",791,$253 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Smelt, night........................................................................",433,$238 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,Sanddab..............................................................................,359,$226 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, black-and-yellow...........................................",14,$120 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Skate, big............................................................................",242,$97 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, brown................................................................",31,$65 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, olive...................................................................",41,$51 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, rougheye..........................................................",97,$49 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Sole, curlfin........................................................................",58,$29 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, blackgill............................................................",20,$29 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, Pacific ocean perch......................................",46,$23 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, bocaccio..........................................................",35,$18 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Rockfish, gopher...............................................................",4,$10 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Fish, unspecified..............................................................",2,$3 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Flounder, starry.................................................................",5,$2 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,"Trawled fish, unspecified...............................................",98,$0 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,Hagfishes...........................................................................,130,$0 
2017,Table 16PUB.pdf,Eureka,CRESCENT CITY,Port Totals:,"5,106,486","$7,437,015 "
2017,Table 16PUB.pdf,Eureka,,,,
2017,Table 16PUB.pdf,Eureka,TRINIDAD,"Crab, Dungeness..............................................................","445,281","$1,499,052 "
2017,Table 16PUB.pdf,Eureka,TRINIDAD,Lingcod................................................................................,"2,179","$6,035 "
2017,Table 16PUB.pdf,Eureka,TRINIDAD,Sablefish.............................................................................,275,$688 
2017,Table 16PUB.pdf,Eureka,TRINIDAD,"Rockfish, canary...............................................................",43,$85 
2017,Table 16PUB.pdf,Eureka,TRINIDAD,"Rockfish, vermilion...........................................................",38,$77 
2017,Table 16PUB.pdf,Eureka,TRINIDAD,"Rockfish, yellowtail..........................................................",16,$31 
2017,Table 16PUB.pdf,Eureka,TRINIDAD,"Rockfish, bocaccio..........................................................",10,$20 
2017,Table 16PUB.pdf,Eureka,TRINIDAD,"Skate, big............................................................................",22,$9 
2017,Table 16PUB.pdf,Eureka,TRINIDAD,"Skate, longnose................................................................",9,$4 
2017,Table 16PUB.pdf,Eureka,TRINIDAD,Port Totals:,"447,873","$1,505,999 "
2017,Table 16PUB.pdf,Eureka,,,,
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Crab, Dungeness..............................................................","45,341","$171,240 "
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,Lingcod................................................................................,"4,628","$14,119 "
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Rockfish, black..................................................................","2,545","$6,884 "
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,Sablefish.............................................................................,934,"$2,974 "
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Rockfish, vermilion...........................................................",817,"$2,926 "
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Rockfish, canary...............................................................",985,"$2,882 "
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Rockfish, blue....................................................................",988,"$2,590 "
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Rockfish, yellowtail..........................................................",765,"$1,918 "
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Sole, petrale.......................................................................",423,"$1,692 "
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Salmon, Chinook...............................................................",170,"$1,628 "
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Tuna, albacore..................................................................",405,"$1,290 "
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Rockfish, widow................................................................",427,"$1,068 "
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Rockfish, copper...............................................................",258,$994 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Rockfish, brown................................................................",184,$983 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,Sanddab..............................................................................,279,$570 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,Jacksmelt............................................................................,230,$462 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Rockfish, redbanded........................................................",125,$345 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Rockfish, quillback...........................................................",87,$337 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Sole, rock............................................................................",79,$317 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Rockfish, group slope.....................................................",49,$172 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Rockfish, China.................................................................",25,$169 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Rockfish, group small......................................................",50,$150 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Halibut, California.............................................................",20,$140 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Rockfish, bocaccio..........................................................",54,$136 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Rockfish, greenspotted...................................................",30,$120 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Rockfish, olive...................................................................",44,$116 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Rockfish, rosy...................................................................",29,$113 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Thornyhead, shortspine..................................................",34,$102 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Rockfish, unspecified......................................................",23,$79 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Rockfish, rosethorn..........................................................",14,$57 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Sole, sand..........................................................................",13,$52 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Rockfish, chilipepper.......................................................",20,$50 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Rockfish, starry.................................................................",9,$36 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Rockfish, gopher...............................................................",3,$12 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Greenling, kelp..................................................................",4,$11 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Mackerel, Pacific..............................................................",4,$8 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,"Skate, longnose................................................................",22,$0 
2017,Table 16PUB.pdf,Eureka,SHELTER COVE,Port Totals:,"60,116","$216,739 "
2017,Table 16PUB.pdf,Eureka,,,,
2017,Table 16PUB.pdf,Eureka,FIELDS LANDING,"Crab, Dungeness..............................................................","1,242","$3,571 "
2017,Table 16PUB.pdf,Eureka,FIELDS LANDING,"Tuna, albacore..................................................................",208,$832 
2017,Table 16PUB.pdf,Eureka,FIELDS LANDING,Lingcod................................................................................,23,$115 
2017,Table 16PUB.pdf,Eureka,FIELDS LANDING,"Rockfish, olive...................................................................",3,$12 
2017,Table 16PUB.pdf,Eureka,FIELDS LANDING,"Rockfish, canary...............................................................",1,$4 
2017,Table 16PUB.pdf,Eureka,FIELDS LANDING,Port Totals:,"1,477","$4,534 "
2017,Table 16PUB.pdf,Eureka,,,,
2017,Table 16PUB.pdf,Eureka,ALL OTHER PORTS,Hagfishes...........................................................................,"651,281","$386,999 "
2017,Table 16PUB.pdf,Eureka,ALL OTHER PORTS,"Crab, Dungeness..............................................................","9,705","$33,145 "
