"X","Species","Pounds","Value","X.1"
"NT CITY",NA,"","",NA
"Crab, Dungeness",NA,"7,795,272","$23,635,952",NA
"Shrimp, ocean (pink)",NA,"4,166,033","$2,951,060",NA
"Shrimp, coonstriped",NA,"81,557","$496,688",NA
"Salmon, Chinook",NA,"42,119","$354,141",NA
"Sablefish",NA,"78,865","$227,080",NA
"Rockfish, black",NA,"86,129","$166,579",NA
"Hagfish, unspecified",NA,"206,539","$165,231",NA
"Tuna, albacore",NA,"103,034","$139,823",NA
"Lingcod",NA,"17,498","$43,535",NA
"Rockfish, copper",NA,"2,739","$11,257",NA
"Cabezon",NA,"2,496","$10,940",NA
"Rockfish, blue",NA,"5,900","$9,379",NA
"Rockfish, quillback",NA,"2,035","$8,891",NA
"Rockfish, vermilion",NA,"1,893","$4,725",NA
"Greenling, kelp",NA,"853","$4,263",NA
"Crab, rock unspecified",NA,"1,014","$2,789",NA
"Rockfish, grass",NA,"396","$2,776",NA
"Rockfish, China",NA,"279","$1,800",NA
"Rockfish, canary",NA,"1,302","$1,790",NA
"Rockfish, redbanded",NA,"1,027","$1,538",NA
"Rockfish, yellowtail",NA,"535","$765",NA
"Smelt, night",NA,"1,167","$700",NA
"Halibut, California",NA,"84","$680",NA
"Tuna, skipjack",NA,"244","$610",NA
"Surfperch, redtail",NA,"398","$543",NA
"Rockfish, group shelf",NA,"105","$469",NA
"Mackerel, Pacific",NA,"41","$449",NA
"Rockfish, widow",NA,"291","$365",NA
"Rockfish, black-and-yellow",NA,"53","$353",NA
"Halibut, Pacific",NA,"42","$252",NA
"CRESCENT CITY",NA,"","",""
"Rockfish, blackgill",NA,"167","$245",""
"Rockfish, darkblotched",NA,"143","$215",""
"Rockfish, brown",NA,"98","$176",""
"Rockfish, group slope",NA,"96","$168",""
"Rockfish, gopher",NA,"93","$137",""
"Rockfish, rougheye",NA,"34","$51",""
"Rockfish, bocaccio",NA,"15","$23",""
"Thornyheads",NA,"7","$11",""
"Rockfish, olive",NA,"4","$8",""
"Rockfish, starry",NA,"3","$4",""
"Rockfish, rosy",NA,"4","$0",""
"Rockfish, unspecified",NA,"50","$0",""
"Salmon",NA,"8","$0",""
"",NA,"12,600,661","$28,246,457","Port Totals:"
"EUREKA",NA,"","",""
"Crab, Dungeness",NA,"3,612,260","$10,947,004",""
"Sole, Dover",NA,"3,165,601","$1,488,619",""
"Sablefish",NA,"549,313","$1,058,106",""
"Sole, petrale",NA,"890,748","$984,128",""
"Shrimp, ocean (pink)",NA,"785,893","$551,652",""
"Lingcod",NA,"324,800","$321,712",""
"Salmon, Chinook",NA,"36,509","$294,860",""
"Tuna, albacore",NA,"118,585","$194,648",""
"Thornyhead, shortspine",NA,"201,594","$189,635",""
"Rockfish, widow",NA,"517,867","$180,880",""
"Smelt, night",NA,"279,095","$166,631",""
"Rockfish, canary",NA,"301,729","$143,447",""
"Thornyhead, longspine",NA,"216,988","$121,102",""
"Rockfish, group shelf",NA,"215,160","$92,727",""
"Skate, longnose",NA,"213,210","$57,292",""
"Halibut, California",NA,"9,077","$57,112",""
"Sole, rex",NA,"127,191","$45,298",NA
"Sole, English",NA,"110,092","$27,431",NA
"Hagfish, unspecified",NA,"30,766","$24,613",NA
"Halibut, Pacific",NA,"2,766","$19,052",NA
"Rockfish, group slope",NA,"25,825","$13,978",NA
"Rockfish, darkblotched",NA,"34,747","$13,444",NA
"Rockfish, unspecified",NA,"28,020","$12,622",NA
"Skate, big",NA,"48,189","$12,226",NA
"Rockfish, black",NA,"6,145","$11,541",NA
"Rockfish, yellowtail",NA,"21,712","$10,576",NA
"Surfperch, redtail",NA,"8,644","$8,548",NA
"Sanddab, Pacific",NA,"13,428","$8,057",NA
"Rockfish, copper",NA,"3,013","$6,991",NA
"Flounder, arrowtooth",NA,"52,131","$5,211",NA
"Rockfish, chilipepper",NA,"11,311","$5,061",NA
"Rockfish, quillback",NA,"1,121","$3,419",NA
"Sanddab",NA,"4,767","$2,468",NA
"Rockfish, bocaccio",NA,"4,713","$1,992",NA
"Rockfish, vermilion",NA,"1,099","$1,962",NA
"Smelt, surf",NA,"2,410","$1,446",NA
"Rockfish, redbanded",NA,"667","$1,060",NA
"Rockfish, blue",NA,"602","$982",NA
"Crab, red rock",NA,"254","$762",NA
"Skate, unspecified",NA,"1,900","$747",NA
"Cabezon",NA,"233","$466",NA
"Rockfish, rougheye",NA,"489","$416",NA
"Grenadier",NA,"4,599","$342",NA
"Flounder, starry",NA,"341","$121",NA
"Rockfish, group nearshore",NA,"64","$93",NA
"Sole, curlfin",NA,"238","$71",NA
"Rockfish, shortraker",NA,"120","$56",NA
"Mackerel, jack",NA,"4","$42",""
"Rockfish, blackgill",NA,"46","$32",""
"Rockfish, flag",NA,"21","$32",""
"Rockfish, Pacific ocean perch",NA,"70","$28",""
"Rockfish, brown",NA,"6","$12",""
"Sole, slender",NA,"5","$0",""
"Trawled fish, unspecified",NA,"4,718","$0",""
"Octopus, unspecified",NA,"5","$0",""
"Mackerel, unspecified",NA,"20","$0",""
"Fish, unspecified",NA,"4,532","$0",""
"Shark, spiny dogfish",NA,"317","$0",""
"Whiting, Pacific",NA,"437","$0",""
"Rockfish, aurora",NA,"128","$0",""
"Rockfish, greenstriped",NA,"61","$0",""
"",NA,"11,996,394","$17,090,750","Port Totals:"
"LANDING",NA,"","",""
"Crab, Dungeness",NA,"1,071,816","$3,169,782",""
"Smelt, night",NA,"624","$374",""
"",NA,"1,072,440","$3,170,156","Port Totals:"
"D",NA,"","",""
"Crab, Dungeness",NA,"855,603","$2,859,955",""
"Salmon, Chinook",NA,"6,232","$26,580",""
"Lingcod",NA,"2,018","$6,602",""
"Tuna, albacore",NA,"1,170","$1,610",""
"Crab, rock unspecified",NA,"215","$591",""
"Rockfish, black",NA,"141","$212",""
"Rockfish, group shelf",NA,"36","$99",""
"Rockfish, vermilion",NA,"9","$27",""
"Rockfish, canary",NA,"9","$21",""
"",NA,"865,432","$2,895,697","Port Totals:"
"SHELTER COVE",NA,"","",NA
"Crab, Dungeness",NA,"95,287","$316,248",NA
"Lingcod",NA,"5,502","$17,662",NA
"Salmon, Chinook",NA,"1,751","$12,254",NA
"Rockfish, black",NA,"2,867","$7,944",NA
"Sablefish",NA,"1,801","$6,037",NA
"Rockfish, yellowtail",NA,"2,296","$5,813",NA
"Rockfish, vermilion",NA,"1,221","$4,848",NA
"Rockfish, canary",NA,"1,608","$4,709",NA
"Rockfish, blue",NA,"1,729","$4,536",NA
"Sole, petrale",NA,"1,098","$4,266",NA
"Rockfish, copper",NA,"434","$1,727",NA
"Tuna, albacore",NA,"421","$1,684",NA
"Rockfish, rosy",NA,"202","$725",NA
"Rockfish, quillback",NA,"161","$619",NA
"Seaperch, striped",NA,"148","$426",NA
"Rockfish, widow",NA,"163","$408",NA
"Jacksmelt",NA,"176","$352",NA
"Shark, thresher",NA,"152","$304",NA
"Rockfish, olive",NA,"72","$221",NA
"Rockfish, brown",NA,"48","$186",NA
"Surfperch, barred",NA,"70","$175",NA
"Sanddab",NA,"72","$151",NA
"Rockfish, bocaccio",NA,"41","$103",NA
"Halibut, California",NA,"8","$56",NA
"Surfperch, walleye",NA,"18","$45",NA
"Cabezon",NA,"11","$43",NA
"Rockfish, chilipepper",NA,"9","$23",NA
"Rockfish, China",NA,"4","$21",NA
"Rockfish, greenspotted",NA,"2","$8",NA
"Sole, rock",NA,"1","$3",NA
"",NA,"117,370","$391,591","Port Totals:"
"Crab, Dungeness",NA,"26,113","$83,151",""
"",NA,"26,113","$83,151","Port Totals:"
"H",NA,"","",""
"Crab, Dungeness",NA,"13,008","$41,715",""
"Halibut, California",NA,"22","$154",""
"",NA,"13,030","$41,869","Port Totals:"
"ER PORTS",NA,"","",""
"Hagfish, unspecified",NA,"322,419","$220,455",""
"Hagfish, Pacific",NA,"85,343","$49,499",""
"Crab, Dungeness",NA,"4,588","$15,075",""
"Salmon, Chinook",NA,"324","$3,093",""
"Halibut, California",NA,"307","$2,611",""
"",NA,"412,981","$290,734","Port Totals:"
"",NA,"27,104,422","$52,210,406","EUREKA totals:"
