year,filename,area,port,species,landings,revenues
2018,Table 21iwPUB.pdf,Inland Waters,All Other Ports,,,
2018,Table 21iwPUB.pdf,Inland Waters,All Other Ports,"Crayfish, unspecified","62,206","$116,546 "
2018,Table 21iwPUB.pdf,Inland Waters,All Other Ports,Carp,"1,163","$1,080 "
2018,Table 21iwPUB.pdf,Inland Waters,All Other Ports,Sucker,72,$290 
2018,Table 21iwPUB.pdf,Inland Waters,All Other Ports,"Fish, unspecified",90,$256 
2018,Table 21iwPUB.pdf,Inland Waters,All Other Ports,"Shad, threadfin",6,$36 
2018,Table 21iwPUB.pdf,Inland Waters,All Other Ports,"Shrimp, brine","797,150",$0 
2018,Table 21iwPUB.pdf,Inland Waters,All Other Ports,Port Totals:,"860,687","$118,206 "
2018,Table 21iwPUB.pdf,Inland Waters,All Other Ports,INLAND WATERS totals:,"860,687","$118,206 "
