"Flounder, starry......",0,0,0,0,0,0,0,712,0,0,0,0,712
"Salmon, chinook.......",0,7513,589173,288523,101060,28720,12241,258200,277558,74258,0,0,1637246
"Salmon, chum..........",0,0,0,0,0,0,0,0,3,112,0,0,115
"Salmon, coho..........",0,0,0,0,0,0,8,13803,479165,185987,154,0,679117
"Salmon, sockeye.......",0,0,0,0,0,1200,1377,0,0,0,0,0,2577
"Shad, American........",0,0,0,0,11500,14026,0,0,0,0,0,0,25526
Smelt (eulachon)......,161,632,155,0,0,0,0,0,0,0,0,0,948
"Sturgeon, green.......",0,0,0,0,0,9,0,32,234,240,0,0,515
"Sturgeon, white.......",57578,25199,8062,1889,4694,3002,1730,105957,27949,74191,0,0,310251
TOTAL,57739,33344,597390,290412,117254,46957,15356,378704,784909,334788,154,0,2657007
"Salmon, chinook.......",0,0,0,0,92897,5095,49840,26816,500764,43777,0,0,719189
"Salmon, chum..........",0,0,0,0,0,0,51,0,0,0,0,0,51
"Salmon, coho..........",0,0,0,0,0,0,25,49,14108,2647,0,0,16829
"Salmon, sockeye.......",0,0,0,0,0,0,1027,0,0,0,0,0,1027
Steelhead.............,0,0,70,0,67,0,71,140,817,0,0,0,1165
"Sturgeon, white.......",0,10365,22443,0,0,0,0,0,0,0,0,0,32808
Walleye...............,0,0,55,0,0,0,0,0,0,0,0,0,55
TOTAL0,10365,22568,0,92964,5095,51014,27005,515689,46424,0,0,771124
"--------------------------------------------------------------------------------------------------------------------------------------------------------",,,,,,,,,,,,
TOTAL57739,43709,619958,290412,210218,52052,66370,405709,1300598,381212,154,0,3428131
