"year","filename","port_complex","area","category","species","check","January","February","March","April","May","June","July","August","September","October","November","December","Total"
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Fishes","","","","","","","","","","","","","",""
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Anchovy, northern","","0","0","0","0","99,050","131,122","26,603","22","0","0","0","0","256,796"
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Barracuda, California","","0","7","0","0","0","154","0","0","0","0","0","0","161"
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Butterfish (Pacific pompano)","","2","2","49","56","0","0","88","32","0","13","2","0","244"
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Cabezon","","0","5","89","0","356","612","442","806","689","164","66","507","3,735"
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Cod, Pacific","","0","0","0","0","0","0","0","3","0","0","0","0","3"
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Corvina, shortfin","","0","0","0","0","0","12","0","0","0","0","0","0","12"
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Croaker, unspecifed","","0","0","0","0","0","119","0","0","0","0","0","0","119"
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Croaker, white","","1,934","2,670","5,687","7,669","4,200","3,748","5,143","2,127","772","806","429","4,113","39,297"
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Eel, monkeyface (prickleback)","","14","0","35","0","24","0","0","0","0","0","0","0","73"
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Flounder, arrowtooth","","0","0","0","0","0","230","0","0","0","208","0","0","438"
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Flounder, starry","","2,461","8,003","2,971","4,671","1,469","4,561","2,914","653","109","3,758","2,630","1,169","35,368"
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Flounder, unspecified","","1,464","251","1,017","861","186","1,665","982","1,010","517","2,150","103","859","11,066"
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Goby, yellowfin","","0","3","0","0","0","0","0","0","34","124","34","34","229"
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Goby, zebra","","0","0","0","0","0","0","63","0","0","0","0","0","63"
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Greenling, kelp","","11","0","0","0","27","35","114","417","293","252","160","84","1,393"
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Grenadier","","100","275","325","590","159","0","3,710","2,229","3,079","0","1,165","2,597","14,229"
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Grunion, California","","0","0","0","0","0","0","0","0","0","0","73","0","73"
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Hagfishes","","0","0","0","0","0","0","0","0","0","22","0","0","22"
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Halibut, California","","19,121","70,461","42,754","31,850","5,848","41,256","35,235","10,681","2,184","10,266","7,067","7,664","284,389"
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Halibut, unspecified","","6,088","13","0","226","14","82","383","0","0","0","0","0","6,805"
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Herring, Pacific - roe on kelp","","137,257","47,380","3,331","0","0","0","0","0","0","0","1,065","192","189,225"
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Herring, Pacific - roe","","4,650,079","1,196,946","401,217","327","0","0","0","0","0","0","35,501","992,127","7,276,197"
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Herring, Pacific","","0","13","0","0","0","0","0","0","0","0","0","0","13"
2000,"landings00_table10.pdf","San Francisco","California Waters","Fishes","Jacksmelt","","0","0","0","0","0","0","0","0","8","0","73","0","81"
