species,all_2017,mexico_2017,all_2016,mexico_2016
"Barracuda, California","17,530",484,"11,803",742
"Bass, barred sand","22,164",72,"11,375",212
"Bass, giant (black) sea",4,2,1,1
"Bass, kelp (calico)","77,968","1,812","122,132",953
"Bass, striped","8,730",0,"7,795",0
"Bonito, Pacific","78,781","5,506","92,453","3,041"
Cabezon,"2,102",0,"3,482",2
"Croaker, unspecified***",261,0,207,30
"Croaker, white",221,0,188,11
Dolphinfish,"15,039","12,600","4,415","3,904"
"Fishes, unspecified***","13,848","1,247","12,844","1,521"
"Flatfishes, unspecified***","2,780",7,"1,497",11
"Greenling, kelp","2,275",0,"3,173",0
Halfmoon,"13,286",0,"40,125",17
"Halibut, California","9,432",15,"4,190",39
"Invertebrates, unspecified****","107,757",0,"169,945",0
Lingcod,"83,223",596,"104,112",702
"Mackerel, jack","1,053",0,901,0
"Mackerel, Pacific","15,599",23,"14,646",0
"Marlin, striped",10,3,7,4
"Rockfish, blue","224,797",28,"181,315",57
"Rockfish, gopher","26,947",43,"49,822",102
"Rockfishes, unspecified***","1,254,603","10,752","1,190,662","14,168"
"Salmon, king (Chinook)","32,035",0,"19,310",0
"Salmon, unspecified***",44,0,49,0
Sanddab,"91,241",1,"112,538",3
"Scorpionfish, California","94,192",231,"82,691",823
"Seabass, white","3,454",30,"2,144",137
"Shark, blue",91,0,17,16
"Shark, bonito (mako)",107,4,78,4
"Shark, leopard",809,0,"1,617",0
"Shark, unspecified***",258,0,262,1
"Sheephead, California","25,822",351,"25,722",249
"Sturgeon, unspecified***",14,0,7,0
"Tuna, albacore","1,070",0,55,1
"Tuna, bluefin","14,232","3,713","10,012","1,141"
"Tuna, skipjack","4,865","2,969",401,287
"Tuna, yellowfin","76,024","63,603","74,887","52,565"
Wahoo,"4,465","4,462","12,303","12,303"
"Whitefish, ocean","234,095","1,063","121,018","1,632"
Yellowtail,"144,365","81,722","150,466","69,821"
Total Landings:,"2,705,593","191,339","2,640,667","164,500"
Number of Fishers:,"501,478","16,321","516,492","15,821"
Reporting CPFV's,359,51,390,62
