species,all_2015,mexico_2015,all_2014,mexico_2014
"Barracuda, California","18,758",504,"24,289","2,017"
"Bass, barred sand","31,997",163,"39,918",379
"Bass, giant (black) sea",0,0,0,0
"Bass, kelp (calico)","109,475","1,538","90,903","3,730"
"Bass, striped","19,689",0,"5,469",0
"Bonito, Pacific","117,026","2,955","96,658","6,188"
Cabezon,"4,725",14,"3,808",46
"Croaker, unspecified***",96,2,315,1
"Croaker, white",608,9,"1,034",23
Dolphinfish,"36,394","22,233","22,091","17,281"
"Fishes, unspecified***","22,901",712,"34,921",714
"Flatfishes, unspecified***",882,1,823,0
"Greenling, kelp","3,255",0,"2,738",0
Halfmoon,"14,885",1,"25,260",62
"Halibut, California","3,682",126,"4,334",206
"Invertebrates, unspecified****","53,952",0,"112,957",2
Lingcod,"114,594","1,815","77,215","2,262"
"Mackerel, jack",549,0,450,54
"Mackerel, Pacific","36,739",2,"48,435",157
"Marlin, striped",37,7,9,6
"Rockfish, blue","244,122",228,"202,492",194
"Rockfish, gopher","45,168",64,"47,418",428
"Rockfishes, unspecified***","1,279,680","18,312","1,289,786","25,424"
"Salmon, king (Chinook)","21,839",0,"28,495",0
"Salmon, unspecified***",143,0,13,0
Sanddab,"205,382",37,"381,991",80
"Scorpionfish, California","89,434",418,"140,263","1,990"
"Seabass, white","1,904",157,"5,520",120
"Shark, blue",11,0,4,0
"Shark, bonito (mako)",44,0,158,3
"Shark, leopard",760,0,766,0
"Shark, unspecified***",564,0,808,0
"Sheephead, California","22,707",599,"34,878",664
"Sturgeon, unspecified***",45,0,13,0
"Tuna, albacore",134,0,95,0
"Tuna, bluefin","21,345",272,"26,312","7,851"
"Tuna, skipjack","35,299","8,601","16,028","3,396"
"Tuna, yellowfin","201,363","92,991","255,104","147,209"
Wahoo,"10,699","10,531","6,178","6,170"
"Whitefish, ocean","71,026","2,765","57,304","3,397"
Yellowtail,"248,468","116,524","176,056","104,178"
Total Landings:,"3,090,381","281,581","3,261,309","334,232"
Number of Fishers:,"624,451","23,993","576,540","37,063"
Reporting CPFV's,406,82,408,91
