"year","filename","port","species","type","January","Feburary","March","April","May","June","July","August","September","October","November","December","Total"
"2014","Commercial food fish landings by port 2014.pdf","01-COLUMBIA RIVER","Total","landings","716","23,114","8,650","23,516","42,331","70,398","58,307","404,645","2,340,650","407,804","106","","3,380,237"
"2014","Commercial food fish landings by port 2014.pdf","01-COLUMBIA RIVER","","value","2,506","55,339","78,505","192,573","170,496","306,210","186,389","781,118","3,075,856","523,113","191","","5,372,296"
"2014","Commercial food fish landings by port 2014.pdf","01-COLUMBIA RIVER","Salmon eggs","landings","","","15","","7","7","","","36","","","","65"
"2014","Commercial food fish landings by port 2014.pdf","01-COLUMBIA RIVER","","value","","","75","","14","14","","","72","","","","175"
"2014","Commercial food fish landings by port 2014.pdf","01-COLUMBIA RIVER","Salmon, chinook","landings","","179","5,602","23,516","31,808","59,637","51,602","393,776","1,155,167","124,491","","","1,845,778"
"2014","Commercial food fish landings by port 2014.pdf","01-COLUMBIA RIVER","","value","","2,892","72,172","192,573","167,760","297,966","172,861","765,920","1,720,682","176,328","","","3,569,154"
"2014","Commercial food fish landings by port 2014.pdf","01-COLUMBIA RIVER","Salmon, chum","landings","","","","","","","","","","41","","","41"
"2014","Commercial food fish landings by port 2014.pdf","01-COLUMBIA RIVER","","value","","","","","","","","","","21","","","21"
"2014","Commercial food fish landings by port 2014.pdf","01-COLUMBIA RIVER","Salmon, coho","landings","","","2","","","5","","5,743","1,172,202","278,828","106","","1,456,886"
"2014","Commercial food fish landings by port 2014.pdf","01-COLUMBIA RIVER","","value","","","2","","","10","","7,565","1,340,470","342,688","191","","1,690,926"
"2014","Commercial food fish landings by port 2014.pdf","01-COLUMBIA RIVER","Salmon, pink","landings","","","","","","","","5","","","","","5"
"2014","Commercial food fish landings by port 2014.pdf","01-COLUMBIA RIVER","","value","","","","","","","","1","","","","","1"
"2014","Commercial food fish landings by port 2014.pdf","01-COLUMBIA RIVER","Salmon, sockeye","landings","","","","","","2,077","2,246","98","","","","","4,421"
"2014","Commercial food fish landings by port 2014.pdf","01-COLUMBIA RIVER","","value","","","","","","4,294","4,200","147","","","","","8,641"
"2014","Commercial food fish landings by port 2014.pdf","01-COLUMBIA RIVER","Shad, American","landings","","","","","10,167","7,951","","","","","","","18,118"
"2014","Commercial food fish landings by port 2014.pdf","01-COLUMBIA RIVER","","value","","","","","1,711","1,798","","","","","","","3,509"
"2014","Commercial food fish landings by port 2014.pdf","01-COLUMBIA RIVER","Smelt (eulachon)","landings","","13,434","1,958","","","","","","","","","","15,392"
"2014","Commercial food fish landings by port 2014.pdf","01-COLUMBIA RIVER","","value","","18,793","2,765","","","","","","","","","","21,558"
"2014","Commercial food fish landings by port 2014.pdf","01-COLUMBIA RIVER","Steelhead","landings","","42","575","","349","721","4,459","5,023","13,237","4,444","","","28,850"
"2014","Commercial food fish landings by port 2014.pdf","01-COLUMBIA RIVER","","value","","126","1,725","","1,011","2,128","9,328","7,485","14,624","4,076","","","40,503"
"2014","Commercial food fish landings by port 2014.pdf","01-COLUMBIA RIVER","Sturgeon, white","landings","716","9,459","498","","","","","","","","","","10,673"
"2014","Commercial food fish landings by port 2014.pdf","01-COLUMBIA RIVER","","value","2,506","33,528","1,766","","","","","","","","","","37,800"
"2014","Commercial food fish landings by port 2014.pdf","01-COLUMBIA RIVER","Walleye","landings","","","","","","","","","8","","","","8"
"2014","Commercial food fish landings by port 2014.pdf","01-COLUMBIA RIVER","","value","","","","","","","","","8","","","","8"
"2014","Commercial food fish landings by port 2014.pdf","02-ASTORIA","Total","landings","2,030,487","1,082,906","1,724,342","2,116,947","4,108,722","11,026,614","31,098,482","25,497,139","32,596,037","10,735,571","2,848,925","3,216,065","128,082,237"
"2014","Commercial food fish landings by port 2014.pdf","02-ASTORIA","","value","3,517,861","1,465,799","1,282,124","1,256,521","3,148,888","2,704,193","6,739,360","6,295,244","6,391,221","2,263,427","796,882","6,859,070","42,720,590"
"2014","Commercial food fish landings by port 2014.pdf","02-ASTORIA","Barracudinas","landings","","","","","","","1","","7","","","","8"
"2014","Commercial food fish landings by port 2014.pdf","02-ASTORIA","","value","","","","","","","0","","0","","","","0"
"2014","Commercial food fish landings by port 2014.pdf","02-ASTORIA","Cod, Pacific","landings","470","420","1,485","6,021","136,781","49,616","57,790","64,458","23,173","9,559","2,905","1,708","354,386"
"2014","Commercial food fish landings by port 2014.pdf","02-ASTORIA","","value","251","214","795","3,334","61,448","27,187","33,492","36,713","13,310","5,365","1,551","798","184,458"
