year,filename,port_complex,area,category,species,check,January,February,March,April,May,June,July,August,September,October,November,December,Total,Extra
2010,Table 10.pdf,San Francisco,California Waters,Fishes,Fishes,,,,,,,,,,,,,,,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Anchovy, northern",,0,0,0,0,400,0,0,0,"37,925","38,024",0,0,"76,349",
2010,Table 10.pdf,San Francisco,California Waters,Fishes,Cabezon,,15,0,0,0,11,36,32,261,15,2,48,7,427,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,Carp,,0,0,0,0,0,491,0,0,0,0,0,0,491,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Corvina, shortfin",,0,0,37,0,0,0,0,0,0,0,0,0,37,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Croaker, unspecifed",,0,90,0,0,0,0,0,40,4,218,86,42,479,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Croaker, white",,0,0,1,0,0,35,203,0,28,0,3,0,270,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,Dolphin (fish),,0,0,0,0,0,0,0,0,0,"6,322",0,0,"6,322",
2010,Table 10.pdf,San Francisco,California Waters,Fishes,Escolar,,0,0,0,0,0,0,0,0,0,656,0,373,"1,029",
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Fish, unspecified",,0,0,0,0,0,0,0,0,0,30,0,0,30,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Flounder, starry",,"2,076","2,390","3,624","3,020",378,573,"1,157","1,073","5,085","4,890",886,0,"25,153",
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Flounder, unspecified",,0,0,0,0,0,0,0,0,63,0,0,0,63,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Goby, yellowfin",,10,0,0,0,0,0,0,0,0,0,12,0,22,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Greenling, kelp",,0,0,0,0,0,30,25,48,39,9,0,0,151,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,Grenadier,,0,0,0,0,0,0,0,0,0,0,0,26,26,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Halibut, California",,"13,215","21,985","24,457","12,507","15,185","21,186","59,323","49,261","19,368","7,013","1,172",21,"244,692",
2010,Table 10.pdf,San Francisco,California Waters,Fishes,Lingcod,,46,112,127,380,849,843,"2,524","2,346","2,435",795,258,147,"10,863",
2010,Table 10.pdf,San Francisco,California Waters,Fishes,Oilfish,,352,245,491,0,0,0,0,0,0,0,0,0,"1,088",
2010,Table 10.pdf,San Francisco,California Waters,Fishes,Opah,,0,50,86,0,0,0,0,0,0,"3,460",0,705,"4,301",
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, China",,47,22,0,0,13,12,188,136,121,30,73,50,691,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, bank",,21,0,103,236,"1,794",0,56,0,105,0,0,45,"2,360",
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, black-and-yellow",,0,0,0,0,13,51,193,184,31,20,0,12,504,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, black",,14,0,0,0,23,82,177,274,371,270,52,159,"1,423",
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, blackgill",,3,0,213,0,0,270,328,6,74,149,14,0,"1,057",
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, blue",,6,7,0,0,0,19,40,66,103,133,33,9,415,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, bocaccio",,18,0,0,0,0,0,88,0,0,0,0,0,106,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, brown",,127,61,0,0,200,614,"1,314","1,341","1,108",750,414,345,"6,273",
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, canary",,0,0,8,93,10,2,50,0,34,2,87,0,286,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, chilipepper",,"4,579","5,054","7,406","23,348","25,561","10,854","22,576","17,803","53,655","29,636","29,596","7,695","237,763",
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, copper",,26,20,0,0,34,33,90,131,158,82,31,21,625,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, darkblotched",,0,0,0,0,0,0,0,0,80,596,100,0,776,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, gopher",,184,30,0,0,184,160,516,753,801,263,241,197,"3,330",
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, grass",,0,0,0,0,25,84,34,161,2,33,2,10,351,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, greenspotted",,0,0,0,0,0,0,30,3,0,0,0,0,33,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, group bolina",,35,0,0,0,0,30,0,0,0,0,0,0,65,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, group gopher",,35,0,0,0,0,0,0,0,0,0,0,0,35,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, group nearshore",,0,0,0,0,17,10,0,0,0,0,0,0,27,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,Fishes,,,,,,,,,,,,,,,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, group red",,0,2,0,0,0,0,0,0,0,0,0,0,2,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, group shelf",,20,0,0,0,26,19,3,21,0,0,28,0,117,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, group slope",,52,"2,537",95,"1,938",92,18,135,210,95,53,"3,371",0,"8,596",
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, olive",,0,23,0,32,0,3,27,10,63,64,4,0,226,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, quillback",,2,0,0,0,0,0,8,0,2,0,0,0,12,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, rosy",,0,36,0,0,0,4,8,0,88,67,14,10,228,
2010,Table 10.pdf,San Francisco,California Waters,Fishes,"Rockfish, splitnose",,"1,552","3,604",636,"2,010","3,167",635,197,"1,604","1,103","7,166","6,969",235,"28,878",
