"source","table","year","port_complex","port","type","species","landings_lb","value_usd"
"FB 149","Table 16",1968,"Eureka","Eureka","Landings","Market crab",6035833,1293000
"FB 149","Table 16",1968,"Eureka","Eureka","Landings","Salmon",1327935,735306
"FB 149","Table 16",1968,"Eureka","Eureka","Landings","Albacore tuna",1481330,277851
"FB 149","Table 16",1968,"Eureka","Eureka","Landings","Dover sole",1981019,134780
"FB 149","Table 16",1968,"Eureka","Eureka","Landings","Giant Pacific oyster",365180,84904
"FB 149","Table 16",1968,"Eureka","Eureka","Landings","English sole",480052,42597
"FB 149","Table 16",1968,"Eureka","Eureka","Landings","Petrale sole",305635,39233
"FB 149","Table 16",1968,"Eureka","Eureka","Landings","Rex sole",407489,34716
"FB 149","Table 16",1968,"Eureka","Eureka","Landings","Sablefish",333617,28657
"FB 149","Table 16",1968,"Eureka","Eureka","Landings","Rockfish",458670,24427
"FB 149","Table 16",1968,"Eureka","Eureka","Landings","Ocean shrimp",131200,14431
"FB 149","Table 16",1968,"Eureka","Eureka","Landings","Lingcod",124413,9936
"FB 149","Table 16",1968,"Eureka","Eureka","Landings","Sanddab",77997,6799
"FB 149","Table 16",1968,"Eureka","Eureka","Landings","Perch",30462,5456
"FB 149","Table 16",1968,"Eureka","Eureka","Landings","Flounder",104407,5276
"FB 149","Table 16",1968,"Eureka","Eureka","Landings","All other species",103633,6668
"FB 149","Table 16",1968,"Eureka","Eureka","Landings","Port totals",13748872,2744037
"FB 149","Table 16",1968,"Eureka","Crescent City","Landings","Market crab",6371474,1364901
"FB 149","Table 16",1968,"Eureka","Crescent City","Landings","Salmon",1070743,538914
"FB 149","Table 16",1968,"Eureka","Crescent City","Landings","Ocean shrimp",1952760,214791
"FB 149","Table 16",1968,"Eureka","Crescent City","Landings","Albacore tuna",935215,175417
"FB 149","Table 16",1968,"Eureka","Crescent City","Landings","English sole",1052699,93410
"FB 149","Table 16",1968,"Eureka","Crescent City","Landings","Dover sole",1013724,68969
"FB 149","Table 16",1968,"Eureka","Crescent City","Landings","Petrale sole",525394,67442
"FB 149","Table 16",1968,"Eureka","Crescent City","Landings","Rockfish",405133,22316
"FB 149","Table 16",1968,"Eureka","Crescent City","Landings","Rex sole",237381,20224
"FB 149","Table 16",1968,"Eureka","Crescent City","Landings","Lingcod",224693,17944
"FB 149","Table 16",1968,"Eureka","Crescent City","Landings","Sablefish",174453,14985
"FB 149","Table 16",1968,"Eureka","Crescent City","Landings","Flounder",218923,11062
"FB 149","Table 16",1968,"Eureka","Crescent City","Landings","Sanddab",60226,5250
"FB 149","Table 16",1968,"Eureka","Crescent City","Landings","All other species",106373,5216
"FB 149","Table 16",1968,"Eureka","Crescent City","Landings","Port totals",14349191,2620841
"FB 149","Table 16",1968,"Eureka","Fort Bragg","Landings","Salmon",1237900,686549
"FB 149","Table 16",1968,"Eureka","Fort Bragg","Landings","Market crab",1198340,256709
"FB 149","Table 16",1968,"Eureka","Fort Bragg","Landings","Albacore tuna",1018243,190991
"FB 149","Table 16",1968,"Eureka","Fort Bragg","Landings","Dover sole",1265283,86084
"FB 149","Table 16",1968,"Eureka","Fort Bragg","Landings","Sablefish",833269,71577
"FB 149","Table 16",1968,"Eureka","Fort Bragg","Landings","Rockfish",1181560,67712
"FB 149","Table 16",1968,"Eureka","Fort Bragg","Landings","English sole",499248,44300
"FB 149","Table 16",1968,"Eureka","Fort Bragg","Landings","Petrale sole",339364,43563
"FB 149","Table 16",1968,"Eureka","Fort Bragg","Landings","Rex sole",257102,21904
"FB 149","Table 16",1968,"Eureka","Fort Bragg","Landings","Lingcod",266946,21318
"FB 149","Table 16",1968,"Eureka","Fort Bragg","Landings","Miscellaneous (animal food)",498790,9976
"FB 149","Table 16",1968,"Eureka","Fort Bragg","Landings","All other species",95015,7422
"FB 149","Table 16",1968,"Eureka","Fort Bragg","Landings","Port totals",8691060,1508105
"FB 149","Table 16",1968,"Eureka","Fields Landing","Landings","Dover sole",3931498,267482
"FB 149","Table 16",1968,"Eureka","Fields Landing","Landings","Market crab",967707,207303
"FB 149","Table 16",1968,"Eureka","Fields Landing","Landings","English sole",1326804,117733
"FB 149","Table 16",1968,"Eureka","Fields Landing","Landings","Petrale sole",805389,103384
"FB 149","Table 16",1968,"Eureka","Fields Landing","Landings","Rex sole",617967,52648
"FB 149","Table 16",1968,"Eureka","Fields Landing","Landings","Rockfish",858739,46551
"FB 149","Table 16",1968,"Eureka","Fields Landing","Landings","Sablefish",409345,35162
"FB 149","Table 16",1968,"Eureka","Fields Landing","Landings","Miscellaneous (animal food)",1392981,27860
"FB 149","Table 16",1968,"Eureka","Fields Landing","Landings","Salmon",32214,18091
"FB 149","Table 16",1968,"Eureka","Fields Landing","Landings","Lingcod",166769,13318
"FB 149","Table 16",1968,"Eureka","Fields Landing","Landings","Whitebait smelt",134434,11405
"FB 149","Table 16",1968,"Eureka","Fields Landing","Landings","Flounder",204356,10326
"FB 149","Table 16",1968,"Eureka","Fields Landing","Landings","Sanddab",116227,10132
"FB 149","Table 16",1968,"Eureka","Fields Landing","Landings","Smelt",95942,6326
"FB 149","Table 16",1968,"Eureka","Fields Landing","Landings","All other species",27059,4763
"FB 149","Table 16",1968,"Eureka","Fields Landing","Landings","Port totals",11087431,932484
"FB 149","Table 16",1968,"Eureka","Trinidad","Landings","Market crab",596915,127871
"FB 149","Table 16",1968,"Eureka","Trinidad","Landings","Salmon",136979,65457
"FB 149","Table 16",1968,"Eureka","Trinidad","Landings","All other species",1544,290
"FB 149","Table 16",1968,"Eureka","Trinidad","Landings","Port totals",735438,193618
"FB 149","Table 16",1968,"Eureka","Albion","Landings","Salmon",154990,86631
"FB 149","Table 16",1968,"Eureka","Albion","Landings","All other species",5603,1199
"FB 149","Table 16",1968,"Eureka","Albion","Landings","Port totals",160593,87830
"FB 149","Table 16",1968,"Eureka","Point Arena","Landings","Salmon",103582,56766
"FB 149","Table 16",1968,"Eureka","Point Arena","Landings","All other species",455,83
"FB 149","Table 16",1968,"Eureka","Point Arena","Landings","Port totals",104037,56849
"FB 149","Table 16",1968,"Eureka","Eureka Area Totals","Landings","Totals",48876622,8143764
"FB 149","Table 17",1968,"San Francisco","Bodega Bay","Landings","Salmon",971563,597989
"FB 149","Table 17",1968,"San Francisco","Bodega Bay","Landings","Albacore tuna",410616,76986
"FB 149","Table 17",1968,"San Francisco","Bodega Bay","Landings","Market crab",184701,62509
"FB 149","Table 17",1968,"San Francisco","Bodega Bay","Landings","English sole",436208,36394
"FB 149","Table 17",1968,"San Francisco","Bodega Bay","Landings","Ocean shrimp",178075,19597
"FB 149","Table 17",1968,"San Francisco","Bodega Bay","Landings","Rockfish",141968,15771
"FB 149","Table 17",1968,"San Francisco","Bodega Bay","Landings","Petrale sole",103099,14436
"FB 149","Table 17",1968,"San Francisco","Bodega Bay","Landings","Smelt",80332,8563
"FB 149","Table 17",1968,"San Francisco","Bodega Bay","Landings","All other species",279353,20225
"FB 149","Table 17",1968,"San Francisco","Bodega Bay","Landings","Port totals",2785915,852470
"FB 149","Table 17",1968,"San Francisco","San Francisco","Landings","Salmon",265340,167243
"FB 149","Table 17",1968,"San Francisco","San Francisco","Landings","Market crab",381162,128997
"FB 149","Table 17",1968,"San Francisco","San Francisco","Landings","English sole",1039930,86765
"FB 149","Table 17",1968,"San Francisco","San Francisco","Landings","Petrale sole",326190,45675
"FB 149","Table 17",1968,"San Francisco","San Francisco","Landings","Rockfish",380545,30883
"FB 149","Table 17",1968,"San Francisco","San Francisco","Landings","California halibut",101047,23908
"FB 149","Table 17",1968,"San Francisco","San Francisco","Landings","Sand sole",161066,19216
"FB 149","Table 17",1968,"San Francisco","San Francisco","Landings","Sanddab",193174,16079
"FB 149","Table 17",1968,"San Francisco","San Francisco","Landings","Flounder",163010,10963
"FB 149","Table 17",1968,"San Francisco","San Francisco","Landings","Rex sole",117795,10087
"FB 149","Table 17",1968,"San Francisco","San Francisco","Landings","Lingcod",108264,8541
"FB 149","Table 17",1968,"San Francisco","San Francisco","Landings","Dover sole",136874,8040
"FB 149","Table 17",1968,"San Francisco","San Francisco","Landings","Albacore tuna",28741,5389
"FB 149","Table 17",1968,"San Francisco","San Francisco","Landings","Sablefish",119884,4828
"FB 149","Table 17",1968,"San Francisco","San Francisco","Landings","All other species",159682,8169
"FB 149","Table 17",1968,"San Francisco","San Francisco","Landings","Port totals",3682704,574783
"FB 149","Table 17",1968,"San Francisco","Point Reyes","Landings","Salmon",324295,204095
"FB 149","Table 17",1968,"San Francisco","Point Reyes","Landings","Market crab",104265,35287
"FB 149","Table 17",1968,"San Francisco","Point Reyes","Landings","Giant Pacific oyster",118272,27498
"FB 149","Table 17",1968,"San Francisco","Point Reyes","Landings","English sole",218080,18195
"FB 149","Table 17",1968,"San Francisco","Point Reyes","Landings","Petrale sole",61086,8554
"FB 149","Table 17",1968,"San Francisco","Point Reyes","Landings","All other species",289894,24122
"FB 149","Table 17",1968,"San Francisco","Point Reyes","Landings","Port totals",1115892,317751
"FB 149","Table 17",1968,"San Francisco","Sausalito","Landings","Salmon",285277,179418
"FB 149","Table 17",1968,"San Francisco","Sausalito","Landings","Albacore tuna",336657,63119
"FB 149","Table 17",1968,"San Francisco","Sausalito","Landings","Market crab",47952,16228
"FB 149","Table 17",1968,"San Francisco","Sausalito","Landings","Pacific herring",32300,6553
"FB 149","Table 17",1968,"San Francisco","Sausalito","Landings","All other species",58180,3232
"FB 149","Table 17",1968,"San Francisco","Sausalito","Landings","Port totals",760366,268550
"FB 149","Table 17",1968,"San Francisco","Princeton","Landings","Salmon",243861,154036
"FB 149","Table 17",1968,"San Francisco","Princeton","Landings","Market crab",115149,38970
"FB 149","Table 17",1968,"San Francisco","Princeton","Landings","California halibut",78235,18511
"FB 149","Table 17",1968,"San Francisco","Princeton","Landings","All other species",57592,6853
"FB 149","Table 17",1968,"San Francisco","Princeton","Landings","Port totals",494837,218370
"FB 149","Table 17",1968,"San Francisco","Oakland","Landings","Salmon",98514,61476
"FB 149","Table 17",1968,"San Francisco","Oakland","Landings","Albacore tuna",187150,35088
"FB 149","Table 17",1968,"San Francisco","Oakland","Landings","All other species",7974,2303
"FB 149","Table 17",1968,"San Francisco","Oakland","Landings","Port totals",293638,98867
"FB 149","Table 17",1968,"San Francisco","Tomales Bay","Landings","Eastern oyster",16166,47928
"FB 149","Table 17",1968,"San Francisco","Tomales Bay","Landings","Giant Pacific oyster",20906,4861
"FB 149","Table 17",1968,"San Francisco","Tomales Bay","Landings","All other species",51226,9693
"FB 149","Table 17",1968,"San Francisco","Tomales Bay","Landings","Port totals",88298,62482
"FB 149","Table 17",1968,"San Francisco","Clear Lake","Landings","Hardhead",236041,22646
"FB 149","Table 17",1968,"San Francisco","Clear Lake","Landings","Carp",266748,22485
"FB 149","Table 17",1968,"San Francisco","Clear Lake","Landings","All other species",220,8
"FB 149","Table 17",1968,"San Francisco","Clear Lake","Landings","Port totals",503009,45139
"FB 149","Table 17",1968,"San Francisco","Berkeley","Landings","Salmon",9573,6049
"FB 149","Table 17",1968,"San Francisco","Berkeley","Landings","All other species",2380,629
"FB 149","Table 17",1968,"San Francisco","Berkeley","Landings","Port totals",11953,6678
"FB 149","Table 17",1968,"San Francisco","All Other Ports","Landings","All species",51612,6297
"FB 149","Table 17",1968,"San Francisco","All Other Ports","Landings","Totals",51612,6297
"FB 149","Table 17",1968,"San Francisco","San Francisco Area Totals","Landings","Totals",9788224,2451387
"FB 149","Table 18",1968,"Monterey","Monterey","Landings","Squid",12048841,329403
"FB 149","Table 18",1968,"Monterey","Monterey","Landings","Rockfish",1777278,122270
"FB 149","Table 18",1968,"Monterey","Monterey","Landings","Salmon",172030,114136
