year,filename,port_complex,area,category,species,check,January,February,March,April,May,June,July,August,September,October,November,December,Total
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,Fishes,,,,,,,,,,,,,,
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,"Anchovy, northern",,0,0,0,0,0,0,14,15,0,0,0,0,29
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,"Barracuda, California",,6,0,0,0,0,0,0,0,0,0,0,0,6
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,"Blackfish, Sacramento",,0,0,0,0,0,0,0,0,0,0,0,2,2
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,Butterfish (Pacific pompano),,0,13,0,0,9,2,0,0,0,0,0,0,24
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,Cabezon,,0,0,0,0,37,149,179,34,763,0,0,0,"1,162"
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,Carp,,903,0,506,0,0,0,0,0,0,0,834,"3,568","5,811"
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,"Croaker, unspecifed",,"4,153","3,302","1,945",74,29,259,359,"2,302","2,193",902,"1,146",562,"17,225"
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,"Croaker, white",,204,6,0,0,235,179,67,103,35,0,136,0,965
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,"Eel, monkeyface (prickleback)",,0,0,0,0,0,0,0,0,0,0,38,0,38
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,"Flounder, arrowtooth",,"1,609",0,0,0,0,0,13,0,0,0,0,0,"1,622"
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,"Flounder, starry",,"8,443","18,137","7,684","7,497","1,906","3,816","5,316","3,939","3,182","3,195",358,191,"63,664"
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,"Flounder, unspecified",,166,271,0,0,119,0,0,0,0,0,0,0,556
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,"Goby, yellowfin",,0,3,0,0,0,0,0,7,0,69,0,0,79
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,"Greenling, kelp",,0,0,0,0,0,15,20,0,0,0,0,0,35
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,"Halibut, California",,"86,727","135,813","79,121","37,486","23,764","39,477","104,629","57,482","27,184","11,446","9,057","3,813","616,000"
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,"Herring, Pacific - roe",,"129,796","159,685",0,0,0,0,0,0,0,0,0,0,"289,481"
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,Jacksmelt,,5,31,8,1,0,0,14,439,"1,631",238,501,0,"2,869"
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,Lingcod,,570,"1,162","2,074",446,"2,555","1,442","2,995","2,336","2,659","1,516",0,0,"17,756"
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,"Mackerel, Pacific",,0,0,0,0,0,0,21,2,19,0,0,0,43
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,"Mackerel, jack",,82,0,0,0,0,0,15,21,0,0,0,0,118
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,Opah,,0,0,0,0,0,0,0,36,0,0,0,0,36
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, China",,21,129,0,0,0,60,3,64,152,43,107,17,596
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, bank",,0,0,0,0,0,36,0,547,0,0,0,0,583
2005,landings05_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, black-and-yellow",,0,3,0,0,0,107,206,249,71,84,76,139,935
