species,all_2006,mexico_2006,all_2005,mexico_2005
"Barracuda, California","114,123","7,307","105,047","10,798"
"Bass, barred sand","276,903","17,892","407,316","23,644"
"Bass, giant (black) sea",692,0,1,0
"Bass, kelp (calico)","264,567","9,104","196,798","7,195"
"Bass, striped","2,613",0,"7,783",0
"Bonito, Pacific","201,703","27,259","75,353","3,321"
Cabezon,"2,074",19,"3,132",21
"Croaker, unspecified***",385,0,253,0
"Croaker, white","2,168",2,"3,375",2
Dolphinfish,"45,694","34,393","6,654","5,981"
"Fishes, unspecified***","8,331","1,252","10,166",451
"Flatfishes, unspecified***","4,753",8,"10,945",10
"Greenling, kelp","2,280",0,"2,505",0
Halfmoon,"54,854",49,"43,735",22
"Halibut, California","5,903",40,"6,163",188
"Invertebrates, unspecified****","69,676",37,"90,246",669
Lingcod,"35,321","1,740","29,931","2,318"
"Mackerel, jack","3,167",7,699,23
"Mackerel, Pacific","49,618",452,"47,836",693
"Marlin, striped",15,13,18,14
"Rockfish, blue","323,915",685,"258,960",30
"Rockfish, gopher","28,404",91,"33,772",143
"Rockfishes, unspecified***","776,060","32,054","697,364","38,046"
"Salmon, king (chinook)","32,289",10,"55,716",6
"Salmon, unspecified***",12,0,35,0
Sanddab,"98,169","1,055","97,713",184
"Scorpionfish, California","202,159","4,787","95,808","17,751"
"Seabass, white","6,560",183,"2,882",126
"Shark, blue",25,7,26,0
"Shark, bonito (mako)",239,63,162,41
"Shark, leopard",987,0,455,0
"Shark, unspecified***",568,2,605,72
"Sheephead, California","30,669",660,"20,933",867
"Sturgeon, unspecified***",301,0,130,0
"Tuna, albacore","21,020","17,655","98,611","82,863"
"Tuna, bluefin","7,363","6,014","5,748","5,025"
"Tuna, skipjack","4,614","2,894","5,906","3,682"
"Tuna, yellowfin","46,411","41,307","56,816","51,186"
Wahoo,"3,673","3,654","3,140","3,103"
"Whitefish, ocean","60,565","6,563","60,927","10,857"
Yellowtail,"172,166","127,406","71,655","57,638"
Total Landings:,"2,961,009","344,664","2,615,320","326,970"
Number of Anglers:,"580,985","63,744","562,555","59,624"
Reporting CPFVs:,306,87,314,94
