"year","filename","X","X.1","X.2","X.3","X.4","X.5","P..Hueneme","X.6","X.7","X.8","X.9","X.10","X.11","X.12"
2006,"landings06_cpfv2.pdf","S. Diego","Oceanside","",NA,"Seal Bch","Redondo","Oxnard/ Southern","",NA,"Monterey","Princeton","S.Fran","Fort Bragg","Northern"
2006,"landings06_cpfv2.pdf","TotalCommon Name Mission Bay ***","Dana Harbor","Newport Beach",NA,"Long Bch S. Pedro","Mr del Rey Malibu","Ventura S. Barbara Total","Avila Bch Morro Bay",NA,"Moss Land S. Cruz","Bodega Bay","S.F Bay- Delta","Eureka Cres City",""
2006,"landings06_cpfv2.pdf","Barracuda, California  24,707","5,193","14,761",NA,"51,814","11,002","6,645  114,122","0",NA,"0","0","1","0","1"
2006,"landings06_cpfv2.pdf","Bass, barred sand  48,505","40,146","57,955",NA,"97,590","25,154","7,537  276,887","0",NA,"0","0","0","16","16"
2006,"landings06_cpfv2.pdf","Bass, kelp (calico)  48,175","48,333","37,906",NA,"68,568","30,020","31,564  264,566","1",NA,"0","0","0","0","1"
2006,"landings06_cpfv2.pdf","Bass, striped  0","0","0",NA,"0","0","0  0","0",NA,"0","0","2,613","0","2,613"
2006,"landings06_cpfv2.pdf","Bonito, Pacific  53,319","12,504","39,637",NA,"70,134","22,330","3,725  201,649","52",NA,"0","0","1","1","54"
2006,"landings06_cpfv2.pdf","Cabezon  60","48","116",NA,"209","126","178  737","135",NA,"54","568","217","363","1,337"
2006,"landings06_cpfv2.pdf","Croaker, white  300","37","704",NA,"850","19","33  1,943","1",NA,"33","24","167","0","225"
2006,"landings06_cpfv2.pdf","Fishes, unspecified^  5,420","2,709","7,167",NA,"41,677","8,528","2,202  67,703","16",NA,"37","38","121","21","233"
2006,"landings06_cpfv2.pdf","Flatfishes, unspecified^  25","19","368",NA,"304","75","263  1,054","36",NA,"643","108","2,908","4","3,699"
2006,"landings06_cpfv2.pdf","Greenling, kelp  22","0","9",NA,"2","0","40  73","54",NA,"187","411","454","1,097","2,203"
2006,"landings06_cpfv2.pdf","Halibut, California  167","564","304",NA,"612","175","966  2,788","4",NA,"30","39","3,042","0","3,115"
2006,"landings06_cpfv2.pdf","Invertebrates, unspecified^^  684","6","31",NA,"2,158","391","14,144  17,414","0",NA,"2,492","19,990","14,690","15,090","52,262"
2006,"landings06_cpfv2.pdf","Lingcod  2,444","30","141",NA,"1,399","574","3,417  8,005","3,130",NA,"932","6,988","12,132","4,098","27,280"
2006,"landings06_cpfv2.pdf","Mackerel, jack  7","70","115",NA,"65","0","100  357","0",NA,"2,526","23","257","4","2,810"
