year,filename,port_complex,area,category,species,check,January,February,March,April,May,June,July,August,September,October,November,December,Total,Extra
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,Fishes,,,,,,,,,,,,,,,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Anchovy, northern",,0,0,0,0,0,"155,400",0,0,0,0,0,0,"155,400",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Barracuda, California",,0,0,0,0,3,0,0,46,24,0,0,0,73,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,Butterfish (Pacific pompano),,0,0,0,0,11,60,5,0,0,0,0,0,76,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,Cabezon,,23,213,0,0,73,249,531,92,289,213,100,0,"1,783",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,Carp,,977,0,0,0,0,0,0,0,0,0,0,"2,327","3,304",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Croaker, unspecifed",,35,331,0,142,88,204,759,"1,914",761,403,483,22,"5,141",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Croaker, white",,0,0,0,0,276,648,"1,387",99,59,0,0,122,"2,591",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Eel, monkeyface (prickleback)",,0,0,18,0,0,0,0,0,0,0,0,0,18,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Flounder, arrowtooth",,155,0,0,0,0,0,0,0,0,619,0,0,774,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Flounder, starry",,"5,458","5,582","4,054","8,640","4,614","3,087","2,443","9,513","3,681",579,"2,267","1,608","51,526",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Flounder, unspecified",,0,0,0,0,36,47,0,178,160,35,0,0,456,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Goby, yellowfin",,0,0,0,5,2,0,0,0,0,0,0,18,25,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Greenling, kelp",,5,17,0,0,8,10,12,0,0,0,0,0,52,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,Grenadier,,0,0,0,0,0,0,0,0,0,0,15,0,15,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Halibut, California",,"92,619","38,834","23,689","56,970","24,432","46,331","38,523","53,524","9,796","5,792","2,647","5,032","398,189",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Herring, Pacific - roe on kelp",,0,0,0,0,0,0,0,0,0,0,0,520,520,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Herring, Pacific - roe",,"1,029,128","454,002",0,0,0,0,0,0,0,0,0,"7,724","1,490,853",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,Jacksmelt,,0,0,0,16,3,0,6,152,"1,387",8,0,0,"1,572",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,Lingcod,,841,832,633,"1,424","2,102","3,586","4,730","2,262","2,479","3,452","1,272",166,"23,778",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Mackerel, Pacific",,0,0,0,0,0,6,250,411,166,16,0,0,849,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Mackerel, jack",,0,0,0,0,12,0,0,62,23,0,0,0,97,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Midshipman, plainfin",,0,0,0,0,0,11,0,0,0,0,0,0,11,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Mudsucker, longjaw",,0,0,0,0,0,0,0,0,0,0,0,21,21,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,Opah,,0,0,0,0,0,0,0,13,0,0,213,0,226,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, China",,35,89,0,0,1,42,53,24,66,94,3,0,407,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, bank",,0,247,0,0,0,0,0,"3,309","1,267",521,0,0,"5,344",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, black-and-yellow",,0,14,0,0,11,250,46,90,169,180,12,13,784,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, black",,153,125,0,0,142,581,411,401,295,885,242,74,"3,308",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, blackgill",,98,0,0,0,102,62,372,"1,910","4,439","6,745",195,0,"13,922",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, blue",,132,402,0,0,103,213,227,408,965,640,289,79,"3,457",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, bocaccio",,15,0,0,0,20,32,13,0,5,52,0,0,137,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, brown",,0,179,0,0,75,549,431,535,433,730,177,2,"3,110",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, canary",,99,0,0,0,0,202,193,186,74,"1,380",81,90,"2,305",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, chilipepper",,292,0,30,79,942,"2,090","1,099","5,110","11,119","1,499",956,499,"23,715",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, copper",,25,63,0,0,1,20,29,22,43,55,26,0,284,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, darkblotched",,0,0,0,0,1,0,0,456,0,0,0,0,457,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,Fishes,,,,,,,,,,,,,,,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, flag",,0,0,0,0,21,0,0,0,0,0,0,0,21,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, gopher",,0,43,0,0,73,596,261,371,375,500,205,0,"2,424",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, grass",,0,62,0,0,18,128,18,41,57,202,96,4,625,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, group bolina",,11,93,0,7,300,971,"1,209",697,610,751,835,178,"5,662",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, group gopher",,31,85,0,0,28,553,159,289,188,277,207,86,"1,902",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, group red",,0,160,0,0,0,0,89,0,47,0,11,0,307,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, group rosefish",,781,"7,675",0,0,0,"5,327","4,100","3,742",945,"5,095","5,598",269,"33,532",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, group shelf",,0,0,544,0,419,"1,920",0,0,0,199,0,0,"3,082",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, group slope",,335,570,0,0,185,"2,587","14,155",45,458,392,0,420,"19,147",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, group small",,0,0,0,3,3,129,107,"1,639",0,0,0,0,"1,881",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, kelp",,0,0,0,0,0,12,0,0,0,0,0,0,12,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, olive",,0,6,0,0,30,48,34,136,52,34,62,18,419,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, quillback",,80,77,0,0,0,0,0,2,94,238,90,0,581,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, rosethorn",,0,38,0,0,0,0,0,0,0,0,0,0,38,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, rosy",,0,0,0,0,0,2,0,1,3,0,28,0,34,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, splitnose",,0,0,0,0,0,0,0,"8,390",0,259,"2,634",598,"11,881",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, starry",,0,15,0,0,0,1,0,0,0,0,0,0,16,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, treefish",,0,0,0,0,0,0,0,0,0,0,3,0,3,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, unspecified",,0,257,0,0,170,33,192,69,0,0,11,0,732,
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, vermilion",,8,128,0,0,318,518,552,687,476,423,227,1,"3,337",
2006,landings06_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, widow",,8,0,0,0,0,40,0,0,57,23,0,0,128,
