Species,all_2013,mexico_2013,all_2012,mexico_2012
"Barracuda, California","38,573","4,003","57,534","6,227"
"Bass, barred sand","67,887","11,511","101,632","3,307"
"Bass, giant (black) sea",0,0,0,0
"Bass, kelp (calico)","45,169","2,898","140,131","3,656"
"Bass, striped","1,171",0,"1,056",0
"Bonito, Pacific","10,018",375,"1,329",75
Cabezon,"3,592",49,"3,316",47
"Croaker, unspecified***",276,0,230,0
"Croaker, white","1,447",3,"1,757",44
Dolphinfish,"17,300","15,493","36,293","29,956"
"Fishes, unspecified***","19,916",636,"26,527",433
"Flatfishes, unspecified***","1,461",0,"5,299",0
"Greenling, kelp","1,621",0,"2,556",0
Halfmoon,"30,541",343,"48,802",89
"Halibut, California","3,851",241,"3,964",234
"Invertebrates, unspecified****","116,931",5,"97,268",0
Lingcod,"62,089","2,842","39,842","2,371"
"Mackerel, jack",456,87,"1,404",0
"Mackerel, Pacific","19,162",116,"18,100",37
"Marlin, striped",11,5,5,3
"Rockfish, blue","143,200",286,"63,904",52
"Rockfish, gopher","39,148",998,"52,453",561
"Rockfishes, unspecified***","1,516,988","46,871","1,143,737","18,600"
"Salmon, king (Chinook)","40,266",0,"39,865",0
"Salmon, unspecified***",62,0,4,0
Sanddab,"270,984",445,"257,637",35
"Scorpionfish, California","195,262","7,467","167,083","3,766"
"Seabass, white","4,914",243,"4,323",128
"Shark, blue",9,0,15,0
"Shark, bonito (mako)",128,8,221,82
"Shark, leopard",529,0,209,1
"Shark, unspecified***",605,1,251,2
"Sheephead, California","32,373",766,"32,257",506
"Sturgeon, unspecified***",128,0,109,0
"Tuna, albacore","2,855",23,"6,036","1,698"
"Tuna, bluefin","63,214","56,710","40,013","34,386"
"Tuna, skipjack","1,052",993,843,771
"Tuna, yellowfin","53,681","50,219","86,778","80,387"
Wahoo,"6,065","6,065","4,987","4,987"
"Whitefish, ocean","62,402","8,299","48,175","2,346"
Yellowtail,"169,520","148,147","125,617","111,768"
Total Landings:,"3,044,857","366,148","2,661,562","306,555"
Number of Fishers:,"542,400","59,524","508,426","50,179"
Reporting CPFV's,355,96,337,87
