"year","filename","Common.Name","S..Diego","Oceanside","Newport","Seal.Bch","Redondo","P.Hueneme","Southern","Avila.Bch","Monterey","Princeton","S..Fran","Fort.Bragg","Northern.Total"
2013,"CPFV 2.pdf","","Mission","Dana Harbor","Beach","Long Bch","Mr del Rey","Oxnard/Ventura","Total","Morro Bay","Moss Land","Bodega Bay","S.F. Bay- Delta","Eureka",""
2013,"CPFV 2.pdf","","Bay ***","","","S. Pedro","Malibu","S. Barbara","","","S. Cruz","","","Cres City",""
2013,"CPFV 2.pdf","Barracuda, California","6,247","1,355","4,033","24,332","229","2,372","38,568","0","0","0","0","0","0"
2013,"CPFV 2.pdf","Bass, barred sand","23,907","5,292","10,092","21,258","5,861","1,473","67,883","0","0","0","0","0","0"
2013,"CPFV 2.pdf","Bass, kelp (calico)","11,574","7,557","3,536","14,139","1,961","6,394","45,161","0","0","0","0","0","0"
2013,"CPFV 2.pdf","Bass, striped","0","0","0","0","0","0","0","0","0","0","1,169","0","1,169"
2013,"CPFV 2.pdf","Bonito, Pacific","609","351","4,924","4,059","7","38","9,988","0","5","0","23","2","30"
2013,"CPFV 2.pdf","Cabezon","117","82","161","521","52","1,136","2,069","629","10","258","118","505","1,520"
2013,"CPFV 2.pdf","Croaker, white","671","61","63","572","0","72","1,439","3","0","5","0","0","8"
2013,"CPFV 2.pdf","Fishes, unspecified^","7,515","3,620","10,589","30,208","2,686","2,116","56,734","5","23","5","74","12","119"
2013,"CPFV 2.pdf","Flatfishes, unspecified^","5","13","17","90","60","243","428","77","152","34","646","112","1,021"
2013,"CPFV 2.pdf","Greenling, kelp","0","0","1","0","0","2","3","74","28","368","356","791","1,617"
2013,"CPFV 2.pdf","Halibut, California","448","147","811","332","214","836","2,788","4","88","10","949","0","1,051"
2013,"CPFV 2.pdf","Invertebrates, unspecified^^","4,919","10,832","5,252","4,391","1,012","12,540","38,946","2,014","15,210","15,627","27,173","17,961","77,985"
2013,"CPFV 2.pdf","Lingcod","4,033","53","330","3,031","3,053","18,363","28,863","8,515","8,625","4,657","8,496","2,914","33,207"
2013,"CPFV 2.pdf","Mackerel, jack","227","54","14","27","1","133","456","0","0","0","0","0","0"
2013,"CPFV 2.pdf","Mackerel, Pacific","7,253","4,455","2,559","3,456","1,232","93","19,048","0","109","4","0","1","114"
2013,"CPFV 2.pdf","Other highly migratory spp^^^","132,869","559","1,238","583","0","2","135,251","0","2","5","0","0","7"
2013,"CPFV 2.pdf","Rockfish, blue","764","13","192","639","432","11,558","13,598","30,363","43,394","22,343","25,102","8,380","129,582"
2013,"CPFV 2.pdf","Rockfish, canary","176","4","99","297","0","65","641","57","50","0","6","3","116"
2013,"CPFV 2.pdf","Rockfish, copper","4,960","687","1,978","2,303","1,083","66,885","77,896","7,192","3,033","1,792","1,896","373","14,286"
2013,"CPFV 2.pdf","Rockfish, gopher","4,194","135","213","378","62","7,924","12,906","17,187","4,436","3,460","557","602","26,242"
2013,"CPFV 2.pdf","Rockfish, yelloweye","110","8","22","0","200","0","340","0","232","0","328","1","561"
2013,"CPFV 2.pdf","Rockfishes, unspecified^","153,171","43,676","79,238","198,263","190,227","297,504","962,079","111,320","96,579","80,532","142,286","29,973","460,690"
2013,"CPFV 2.pdf","Salmon, king (Chinook)","7","1","0","1","1","4","14","375","1,330","7,067","23,296","7,307","39,375"
2013,"CPFV 2.pdf","Sanddab","702","20,435","58,370","113,489","15,917","24,044","232,957","1,026","29,706","3,056","4,224","15","38,027"
2013,"CPFV 2.pdf","Scorpionfish, California","11,966","7,057","63,674","68,240","40,596","3,729","195,262","0","0","0","0","0","0"
2013,"CPFV 2.pdf","Seabass, white","321","56","116","693","15","3,703","4,904","0","0","0","1","0","1"
2013,"CPFV 2.pdf","Shark, unspecified^","42","217","49","156","162","23","649","2","4","3","611","2","622"
2013,"CPFV 2.pdf","Sheephead, California","2,765","1,878","4,758","14,381","1,067","7,516","32,365","7","0","0","0","0","7"
2013,"CPFV 2.pdf","Tuna, albacore","23","0","0","0","0","0","23","82","515","625","853","757","2,832"
2013,"CPFV 2.pdf","Whitefish, ocean","11,094","2,008","10,325","18,762","1,051","19,117","62,357","10","35","0","0","0","45"
2013,"CPFV 2.pdf","Yellowtail","160,731","1,695","3,272","2,539","194","1,081","169,512","0","0","0","0","0","0"
2013,"CPFV 2.pdf","Total Landings:","551,420","112,301","265,926","527,140","267,375","488,966","2,213,128","178,942","203,566","139,857","238,285","69,711","830,361"
2013,"CPFV 2.pdf","Number of Fishers:","127,559","43,388","58,355","79,740","47,326","64,307","420,675","21,202","21,943","18,827","46,908","12,134","121,014"
2013,"CPFV 2.pdf","Reporting CPFV's:","106","24","16","58","17","32","253","9","19","32","63","24","147"
