"year","filename","port","species","landings_lb","landings_kg","landings_mt","value_usd"
2000,"landings00_table16pub.pdf","Crescent City","Rockfish, Pacific ocean perch",2042,926.235737954102,0.926235737954102,671
2000,"landings00_table16pub.pdf","Crescent City","Rockfish, darkblotched",1571,712.593704371153,0.712593704371153,610
2000,"landings00_table16pub.pdf","Crescent City","Turbot",1131,513.013036055872,0.513013036055872,505
2000,"landings00_table16pub.pdf","Crescent City","Shark, bigeye thresher",733,332.48324971614,0.33248324971614,440
2000,"landings00_table16pub.pdf","Crescent City","Rockfish, black-and-yellow",79,35.8338018111528,0.0358338018111528,426
2000,"landings00_table16pub.pdf","Crescent City","Shark, soupfin",395,179.169009055764,0.179169009055764,395
2000,"landings00_table16pub.pdf","Crescent City","Rockfish, group nearshore",711,322.504216300376,0.322504216300376,387
2000,"landings00_table16pub.pdf","Crescent City","Shark, shortfin mako",233,105.687035721501,0.105687035721501,338
2000,"landings00_table16pub.pdf","Crescent City","Louvar",77,34.9266169551743,0.0349266169551743,270
2000,"landings00_table16pub.pdf","Crescent City","Halibut, California",133,60.3277929225738,0.0603277929225738,266
2000,"landings00_table16pub.pdf","Crescent City","Shark, blue",82,37.1945790951207,0.0371945790951207,163
2000,"landings00_table16pub.pdf","Crescent City","Rockfish, bocaccio",351,159.210942224236,0.159210942224236,160
2000,"landings00_table16pub.pdf","Crescent City","Surfperch, unspecified",87,39.462541235067,0.039462541235067,158
2000,"landings00_table16pub.pdf","Crescent City","Octopus, unspecified",280,127.005879836997,0.127005879836997,140
2000,"landings00_table16pub.pdf","Crescent City","Rockfish, gopher",34,15.4221425516354,0.0154221425516354,98
2000,"landings00_table16pub.pdf","Crescent City","Rockfish, blackgill",138,62.5957550625201,0.0625957550625201,62
2000,"landings00_table16pub.pdf","Crescent City","Opah",160,72.5747884782842,0.0725747884782842,44
2000,"landings00_table16pub.pdf","Crescent City","Rockfish, rosethorn",8,3.62873942391421,0.00362873942391421,24
2000,"landings00_table16pub.pdf","Crescent City","Rockfish, redbanded",7,3.17514699592493,0.00317514699592493,23
2000,"landings00_table16pub.pdf","Crescent City","Snail, sea",42,19.0508819755496,0.0190508819755496,21
2000,"landings00_table16pub.pdf","Crescent City","Rockfish, bank",51,23.1332138274531,0.0231332138274531,20
2000,"landings00_table16pub.pdf","Crescent City","Rockfish, cowcod",32,14.5149576956568,0.0145149576956568,14
2000,"landings00_table16pub.pdf","Crescent City","Triggerfish",3,1.36077728396783,0.00136077728396783,11
2000,"landings00_table16pub.pdf","Crescent City","Rockfish, aurora",31,14.0613652676676,0.0140613652676676,9
