year,harvest_t
1999,41942.85714
2000,41942.85714
2001,40114.28571
2002,26400
2003,50628.57143
2004,42400
2005,72571.42857
2006,4000
2007,4457.142857
2008,4457.142857
2009,4457.142857
2010,4000
2011,3085.714286
2012,2628.571429
2013,3542.857143
2014,4000
2015,3542.857143
2016,3542.857143
2017,3085.714286
2018,2628.571429
2019,1257.142857
