Species,all_2016,mexico_2016,all_2015,mexico_2015
"Barracuda, California","11,454",721,"18,780",504
"Bass, barred sand","11,124",212,"32,633",163
"Bass, giant (black) sea",1,1,0,0
"Bass, kelp (calico)","119,524",931,"110,870","1,538"
"Bass, striped","7,794",0,"19,689",0
"Bonito, Pacific","91,124","2,330","119,459","2,955"
Cabezon,"3,480",2,"4,733",14
"Croaker, unspecified***",207,30,96,2
"Croaker, white",187,11,608,9
Dolphinfish,"3,893","3,443","36,470","22,233"
"Fishes, unspecified***","12,857","1,521","22,643",708
"Flatfishes, unspecified***","1,488",11,886,1
"Greenling, kelp","3,170",0,"3,256",0
Halfmoon,"40,125",17,"15,021",1
"Halibut, California","4,131",39,"3,692",126
"Invertebrates, unspecified****","169,545",0,"53,960",0
Lingcod,"101,151",680,"114,866","1,815"
"Mackerel, jack",901,0,549,0
"Mackerel, Pacific","14,646",0,"36,964",2
"Marlin, striped",7,4,38,7
"Rockfish, blue","181,167",57,"245,956",228
"Rockfish, gopher","49,779",64,"45,235",64
"Rockfishes, unspecified***","1,166,996","13,047","1,293,290","18,312"
"Salmon, king (Chinook)","19,238",0,"21,841",0
"Salmon, unspecified***",49,0,143,0
Sanddab,"112,318",3,"205,402",37
"Scorpionfish, California","75,474",683,"89,863",422
"Seabass, white","1,952",136,"1,909",157
"Shark, blue",17,16,11,0
"Shark, bonito (mako)",78,4,46,0
"Shark, leopard","1,617",0,761,0
"Shark, unspecified***",261,1,565,0
"Sheephead, California","25,415",241,"22,804",599
"Sturgeon, unspecified***",7,0,45,0
"Tuna, albacore",55,1,134,0
"Tuna, bluefin","9,335","1,123","21,431",272
"Tuna, skipjack",381,267,"35,492","8,601"
"Tuna, yellowfin","70,449","50,612","201,814","92,991"
Wahoo,"12,303","12,303","10,699","10,531"
"Whitefish, ocean","119,768","1,616","71,834","2,765"
Yellowtail,"145,982","67,324","249,544","116,524"
Total Landings:,"2,589,450","157,451","3,114,032","281,581"
Number of Fishers:,"505,422","15,095","630,120","23,993"
Reporting CPFV's,387,61,385,82
